node,imu_samples,uwb_sweeps,first_imu_host_s,last_imu_host_s
BSF3C79,278394,11601,159270.649326,160662.698326
BSFC2CC,278417,11601,159270.604326,160662.653326
BSF44AD,278414,11601,159270.645326,160662.693326
BSF6C53,278412,11601,159270.633326,160662.683326
BSF8BC4,278395,11601,159270.63832600001,160662.688326
BSF1120,278408,11601,159270.623326,160662.674326
BSF31CC,278407,11600,159270.618326,160662.618326
BSFAA61,278430,11601,159270.628326,160662.678326
BSFB165,278430,11601,159270.609326,160662.658326
BSFEC35,278419,11601,159270.613326,160662.663326
