node,status
BSF3C79,not_anatomically_interpreted_assignment_ambiguous
BSFC2CC,not_anatomically_interpreted_assignment_ambiguous
BSF44AD,not_anatomically_interpreted_assignment_ambiguous
BSF6C53,not_anatomically_interpreted_assignment_ambiguous
BSF8BC4,not_anatomically_interpreted_assignment_ambiguous
BSF1120,not_anatomically_interpreted_assignment_ambiguous
BSF31CC,not_anatomically_interpreted_assignment_ambiguous
BSFAA61,not_anatomically_interpreted_assignment_ambiguous
BSFB165,not_anatomically_interpreted_assignment_ambiguous
BSFEC35,not_anatomically_interpreted_assignment_ambiguous
