node,samples,effective_hz,sequence_gaps,duplicates,timestamp_reversals,gyro_bias_x_rad_s,gyro_bias_y_rad_s,gyro_bias_z_rad_s,gravity_x_g,gravity_y_g,gravity_z_g,acc_noise_g,gyro_noise_dps,saturation_samples,temp_mean_c
BSF3C79,278394,199.98054752371348,0,0,0,0.0025599635978386663,-0.0026565031873540396,0.0012976252411411099,0.04902252197265625,0.9975164794921875,0.11027801513671875,0.005385194179251157,1.6304023500275073,0,35.52669015855226
BSFC2CC,278417,199.99509925232334,0,0,0,-0.010613362734238265,-0.004378902622362788,0.0010273143904980682,-0.0436065673828125,0.9418463134765624,0.3380657958984375,0.008882099451492452,2.4459695557895427,0,37.98767086779902
BSF44AD,278414,199.98996203579765,0,0,0,0.005052016587880321,-0.004157194461613687,-0.005707820006312337,-0.098294677734375,0.9685635375976562,0.25885955810546873,0.0028763265821771787,1.2972678443126944,0,37.15941181118766
BSF6C53,278412,199.98510457159927,0,0,0,-0.003006189638034095,-0.009886859926113021,0.005870344017930639,0.12861696639150944,0.9816906815055031,0.1508881191037736,0.0015742949474879993,1.0973741960796795,0,35.15655309397583
BSF8BC4,278395,199.97552229614152,0,0,0,-0.003103248460214831,-0.0013908358792938736,-0.009998838312702506,-0.0845416259765625,0.985208740234375,0.18034637451171875,0.0029753797752451266,2.1273969033208617,0,33.92362344869699
BSF1120,278408,199.98551922875777,0,0,0,-0.0008329036309222822,-0.01203016443416046,0.0048070057675930235,0.23171600341796875,-0.9720098876953125,-0.0059588623046875,0.010058105291036318,2.818889224079349,0,35.35733800752852
BSF31CC,278407,199.99012383276033,0,0,0,0.008615326126406336,-0.00301403256369718,-0.0009707222173338813,0.0172076416015625,0.9553189086914062,-0.306002197265625,0.016769720511017733,3.0981790345462072,0,36.04497458756425
BSFAA61,278430,200.0,0,0,0,-0.0021070796549180347,-0.008428318619672165,-0.009931748427505573,-0.31772368808962265,-0.9366723786360063,-0.14801278744103774,0.009440608565934585,2.2186000424091303,0,34.21304672628668
BSFB165,278430,200.0,0,0,0,0.008261791491698289,-0.0057670753405665905,-0.00716789807394826,-0.265487060546875,-0.95831787109375,-0.11321807861328125,0.008300641351137956,2.348075821992813,0,35.54589232482132
BSFEC35,278419,199.9902182086161,0,0,0,0.0036498622739535983,-0.008726513101917154,0.003957457379857759,0.3087384033203125,-0.93185546875,-0.18510284423828124,0.009084855956739324,2.8693576548335904,0,35.312667885453216
