chunk_id,stage,seed_id,row_spec,R,L,I,T,status,max_tracks,max_frames
agreement_0000,agreement,S04,R2:L0:I0:T6,R2,L0,I0,T6,done,2,200
agreement_0000,agreement,S04,R2:L2:I3:T6,R2,L2,I3,T6,done,2,200
agreement_0001,agreement,S04,R4:L8:I1+I2+I3+I8:T8,R4,L8,I1+I2+I3+I8,T8,done,2,200
agreement_0001,agreement,S04,R4:L14:I1+I2+I3+I8:T8,R4,L14,I1+I2+I3+I8,T8,done,2,200
partial_raw_0000,partial_raw,S04,R2:L0:I0:T6,R2,L0,I0,T6,done,0,0
partial_raw_0000,partial_raw,S04,R2:L0:I0:T8,R2,L0,I0,T8,done,0,0
partial_raw_0001,partial_raw,S04,R2:L0:I1:T6,R2,L0,I1,T6,done,0,0
partial_raw_0001,partial_raw,S04,R2:L0:I1:T8,R2,L0,I1,T8,done,0,0
partial_raw_0002,partial_raw,S04,R2:L0:I3:T6,R2,L0,I3,T6,done,0,0
partial_raw_0002,partial_raw,S04,R2:L0:I3:T8,R2,L0,I3,T8,done,0,0
partial_raw_0003,partial_raw,S04,R2:L0:I4:T6,R2,L0,I4,T6,done,0,0
partial_raw_0003,partial_raw,S04,R2:L0:I4:T8,R2,L0,I4,T8,done,0,0
partial_raw_0004,partial_raw,S04,R2:L0:I7:T6,R2,L0,I7,T6,done,0,0
partial_raw_0004,partial_raw,S04,R2:L0:I7:T8,R2,L0,I7,T8,done,0,0
partial_raw_0005,partial_raw,S04,R2:L0:I8:T6,R2,L0,I8,T6,done,0,0
partial_raw_0005,partial_raw,S04,R2:L0:I8:T8,R2,L0,I8,T8,done,0,0
partial_raw_0006,partial_raw,S04,R2:L0:I1+I3+I7:T6,R2,L0,I1+I3+I7,T6,done,0,0
partial_raw_0006,partial_raw,S04,R2:L0:I1+I3+I7:T8,R2,L0,I1+I3+I7,T8,done,0,0
partial_raw_0007,partial_raw,S04,R2:L0:I1+I2+I3+I8:T6,R2,L0,I1+I2+I3+I8,T6,done,0,0
partial_raw_0007,partial_raw,S04,R2:L0:I1+I2+I3+I8:T8,R2,L0,I1+I2+I3+I8,T8,done,0,0
partial_raw_0008,partial_raw,S04,R2:L1:I0:T6,R2,L1,I0,T6,done,0,0
partial_raw_0008,partial_raw,S04,R2:L1:I0:T8,R2,L1,I0,T8,done,0,0
partial_raw_0009,partial_raw,S04,R2:L1:I1:T6,R2,L1,I1,T6,done,0,0
partial_raw_0009,partial_raw,S04,R2:L1:I1:T8,R2,L1,I1,T8,done,0,0
partial_raw_0010,partial_raw,S04,R2:L1:I3:T6,R2,L1,I3,T6,done,0,0
partial_raw_0010,partial_raw,S04,R2:L1:I3:T8,R2,L1,I3,T8,done,0,0
partial_raw_0011,partial_raw,S04,R2:L1:I4:T6,R2,L1,I4,T6,done,0,0
partial_raw_0011,partial_raw,S04,R2:L1:I4:T8,R2,L1,I4,T8,done,0,0
partial_raw_0012,partial_raw,S04,R2:L1:I7:T6,R2,L1,I7,T6,done,0,0
partial_raw_0012,partial_raw,S04,R2:L1:I7:T8,R2,L1,I7,T8,done,0,0
partial_raw_0013,partial_raw,S04,R2:L1:I8:T6,R2,L1,I8,T6,done,0,0
partial_raw_0013,partial_raw,S04,R2:L1:I8:T8,R2,L1,I8,T8,done,0,0
partial_raw_0014,partial_raw,S04,R2:L1:I1+I3+I7:T6,R2,L1,I1+I3+I7,T6,done,0,0
partial_raw_0014,partial_raw,S04,R2:L1:I1+I3+I7:T8,R2,L1,I1+I3+I7,T8,done,0,0
partial_raw_0015,partial_raw,S04,R2:L1:I1+I2+I3+I8:T6,R2,L1,I1+I2+I3+I8,T6,done,0,0
partial_raw_0015,partial_raw,S04,R2:L1:I1+I2+I3+I8:T8,R2,L1,I1+I2+I3+I8,T8,done,0,0
partial_raw_0016,partial_raw,S04,R2:L2:I0:T6,R2,L2,I0,T6,done,0,0
partial_raw_0016,partial_raw,S04,R2:L2:I0:T8,R2,L2,I0,T8,done,0,0
partial_raw_0017,partial_raw,S04,R2:L2:I1:T6,R2,L2,I1,T6,done,0,0
partial_raw_0017,partial_raw,S04,R2:L2:I1:T8,R2,L2,I1,T8,done,0,0
partial_raw_0018,partial_raw,S04,R2:L2:I3:T6,R2,L2,I3,T6,done,0,0
partial_raw_0018,partial_raw,S04,R2:L2:I3:T8,R2,L2,I3,T8,done,0,0
partial_raw_0019,partial_raw,S04,R2:L2:I4:T6,R2,L2,I4,T6,done,0,0
partial_raw_0019,partial_raw,S04,R2:L2:I4:T8,R2,L2,I4,T8,done,0,0
partial_raw_0020,partial_raw,S04,R2:L2:I7:T6,R2,L2,I7,T6,done,0,0
partial_raw_0020,partial_raw,S04,R2:L2:I7:T8,R2,L2,I7,T8,done,0,0
partial_raw_0021,partial_raw,S04,R2:L2:I8:T6,R2,L2,I8,T6,done,0,0
partial_raw_0021,partial_raw,S04,R2:L2:I8:T8,R2,L2,I8,T8,done,0,0
partial_raw_0022,partial_raw,S04,R2:L2:I1+I3+I7:T6,R2,L2,I1+I3+I7,T6,done,0,0
partial_raw_0022,partial_raw,S04,R2:L2:I1+I3+I7:T8,R2,L2,I1+I3+I7,T8,done,0,0
partial_raw_0023,partial_raw,S04,R2:L2:I1+I2+I3+I8:T6,R2,L2,I1+I2+I3+I8,T6,done,0,0
partial_raw_0023,partial_raw,S04,R2:L2:I1+I2+I3+I8:T8,R2,L2,I1+I2+I3+I8,T8,done,0,0
partial_raw_0024,partial_raw,S04,R2:L3:I0:T6,R2,L3,I0,T6,done,0,0
partial_raw_0024,partial_raw,S04,R2:L3:I0:T8,R2,L3,I0,T8,done,0,0
partial_raw_0025,partial_raw,S04,R2:L3:I1:T6,R2,L3,I1,T6,done,0,0
partial_raw_0025,partial_raw,S04,R2:L3:I1:T8,R2,L3,I1,T8,done,0,0
partial_raw_0026,partial_raw,S04,R2:L3:I3:T6,R2,L3,I3,T6,done,0,0
partial_raw_0026,partial_raw,S04,R2:L3:I3:T8,R2,L3,I3,T8,done,0,0
partial_raw_0027,partial_raw,S04,R2:L3:I4:T6,R2,L3,I4,T6,done,0,0
partial_raw_0027,partial_raw,S04,R2:L3:I4:T8,R2,L3,I4,T8,done,0,0
partial_raw_0028,partial_raw,S04,R2:L3:I7:T6,R2,L3,I7,T6,done,0,0
partial_raw_0028,partial_raw,S04,R2:L3:I7:T8,R2,L3,I7,T8,done,0,0
partial_raw_0029,partial_raw,S04,R2:L3:I8:T6,R2,L3,I8,T6,done,0,0
partial_raw_0029,partial_raw,S04,R2:L3:I8:T8,R2,L3,I8,T8,done,0,0
partial_raw_0030,partial_raw,S04,R2:L3:I1+I3+I7:T6,R2,L3,I1+I3+I7,T6,done,0,0
partial_raw_0030,partial_raw,S04,R2:L3:I1+I3+I7:T8,R2,L3,I1+I3+I7,T8,done,0,0
partial_raw_0031,partial_raw,S04,R2:L3:I1+I2+I3+I8:T6,R2,L3,I1+I2+I3+I8,T6,done,0,0
partial_raw_0031,partial_raw,S04,R2:L3:I1+I2+I3+I8:T8,R2,L3,I1+I2+I3+I8,T8,done,0,0
partial_raw_0032,partial_raw,S04,R2:L4:I0:T6,R2,L4,I0,T6,done,0,0
partial_raw_0032,partial_raw,S04,R2:L4:I0:T8,R2,L4,I0,T8,done,0,0
partial_raw_0033,partial_raw,S04,R2:L4:I1:T6,R2,L4,I1,T6,done,0,0
partial_raw_0033,partial_raw,S04,R2:L4:I1:T8,R2,L4,I1,T8,done,0,0
partial_raw_0034,partial_raw,S04,R2:L4:I3:T6,R2,L4,I3,T6,done,0,0
partial_raw_0034,partial_raw,S04,R2:L4:I3:T8,R2,L4,I3,T8,done,0,0
partial_raw_0035,partial_raw,S04,R2:L4:I4:T6,R2,L4,I4,T6,done,0,0
partial_raw_0035,partial_raw,S04,R2:L4:I4:T8,R2,L4,I4,T8,done,0,0
partial_raw_0036,partial_raw,S04,R2:L4:I7:T6,R2,L4,I7,T6,done,0,0
partial_raw_0036,partial_raw,S04,R2:L4:I7:T8,R2,L4,I7,T8,done,0,0
partial_raw_0037,partial_raw,S04,R2:L4:I8:T6,R2,L4,I8,T6,done,0,0
partial_raw_0037,partial_raw,S04,R2:L4:I8:T8,R2,L4,I8,T8,done,0,0
partial_raw_0038,partial_raw,S04,R2:L4:I1+I3+I7:T6,R2,L4,I1+I3+I7,T6,done,0,0
partial_raw_0038,partial_raw,S04,R2:L4:I1+I3+I7:T8,R2,L4,I1+I3+I7,T8,done,0,0
partial_raw_0039,partial_raw,S04,R2:L4:I1+I2+I3+I8:T6,R2,L4,I1+I2+I3+I8,T6,done,0,0
partial_raw_0039,partial_raw,S04,R2:L4:I1+I2+I3+I8:T8,R2,L4,I1+I2+I3+I8,T8,done,0,0
partial_raw_0040,partial_raw,S04,R2:L5:I0:T6,R2,L5,I0,T6,done,0,0
partial_raw_0040,partial_raw,S04,R2:L5:I0:T8,R2,L5,I0,T8,done,0,0
partial_raw_0041,partial_raw,S04,R2:L5:I1:T6,R2,L5,I1,T6,done,0,0
partial_raw_0041,partial_raw,S04,R2:L5:I1:T8,R2,L5,I1,T8,done,0,0
partial_raw_0042,partial_raw,S04,R2:L5:I3:T6,R2,L5,I3,T6,done,0,0
partial_raw_0042,partial_raw,S04,R2:L5:I3:T8,R2,L5,I3,T8,done,0,0
partial_raw_0043,partial_raw,S04,R2:L5:I4:T6,R2,L5,I4,T6,done,0,0
partial_raw_0043,partial_raw,S04,R2:L5:I4:T8,R2,L5,I4,T8,done,0,0
partial_raw_0044,partial_raw,S04,R2:L5:I7:T6,R2,L5,I7,T6,done,0,0
partial_raw_0044,partial_raw,S04,R2:L5:I7:T8,R2,L5,I7,T8,done,0,0
partial_raw_0045,partial_raw,S04,R2:L5:I8:T6,R2,L5,I8,T6,done,0,0
partial_raw_0045,partial_raw,S04,R2:L5:I8:T8,R2,L5,I8,T8,done,0,0
partial_raw_0046,partial_raw,S04,R2:L5:I1+I3+I7:T6,R2,L5,I1+I3+I7,T6,done,0,0
partial_raw_0046,partial_raw,S04,R2:L5:I1+I3+I7:T8,R2,L5,I1+I3+I7,T8,done,0,0
partial_raw_0047,partial_raw,S04,R2:L5:I1+I2+I3+I8:T6,R2,L5,I1+I2+I3+I8,T6,done,0,0
partial_raw_0047,partial_raw,S04,R2:L5:I1+I2+I3+I8:T8,R2,L5,I1+I2+I3+I8,T8,done,0,0
partial_raw_0048,partial_raw,S04,R2:L7:I0:T6,R2,L7,I0,T6,done,0,0
partial_raw_0048,partial_raw,S04,R2:L7:I0:T8,R2,L7,I0,T8,done,0,0
partial_raw_0049,partial_raw,S04,R2:L7:I1:T6,R2,L7,I1,T6,done,0,0
partial_raw_0049,partial_raw,S04,R2:L7:I1:T8,R2,L7,I1,T8,done,0,0
partial_raw_0050,partial_raw,S04,R2:L7:I3:T6,R2,L7,I3,T6,done,0,0
partial_raw_0050,partial_raw,S04,R2:L7:I3:T8,R2,L7,I3,T8,done,0,0
partial_raw_0051,partial_raw,S04,R2:L7:I4:T6,R2,L7,I4,T6,done,0,0
partial_raw_0051,partial_raw,S04,R2:L7:I4:T8,R2,L7,I4,T8,done,0,0
partial_raw_0052,partial_raw,S04,R2:L7:I7:T6,R2,L7,I7,T6,done,0,0
partial_raw_0052,partial_raw,S04,R2:L7:I7:T8,R2,L7,I7,T8,done,0,0
partial_raw_0053,partial_raw,S04,R2:L7:I8:T6,R2,L7,I8,T6,done,0,0
partial_raw_0053,partial_raw,S04,R2:L7:I8:T8,R2,L7,I8,T8,done,0,0
partial_raw_0054,partial_raw,S04,R2:L7:I1+I3+I7:T6,R2,L7,I1+I3+I7,T6,done,0,0
partial_raw_0054,partial_raw,S04,R2:L7:I1+I3+I7:T8,R2,L7,I1+I3+I7,T8,done,0,0
partial_raw_0055,partial_raw,S04,R2:L7:I1+I2+I3+I8:T6,R2,L7,I1+I2+I3+I8,T6,done,0,0
partial_raw_0055,partial_raw,S04,R2:L7:I1+I2+I3+I8:T8,R2,L7,I1+I2+I3+I8,T8,done,0,0
partial_raw_0056,partial_raw,S04,R2:L8:I0:T6,R2,L8,I0,T6,done,0,0
partial_raw_0056,partial_raw,S04,R2:L8:I0:T8,R2,L8,I0,T8,done,0,0
partial_raw_0057,partial_raw,S04,R2:L8:I1:T6,R2,L8,I1,T6,done,0,0
partial_raw_0057,partial_raw,S04,R2:L8:I1:T8,R2,L8,I1,T8,done,0,0
partial_raw_0058,partial_raw,S04,R2:L8:I3:T6,R2,L8,I3,T6,done,0,0
partial_raw_0058,partial_raw,S04,R2:L8:I3:T8,R2,L8,I3,T8,done,0,0
partial_raw_0059,partial_raw,S04,R2:L8:I4:T6,R2,L8,I4,T6,done,0,0
partial_raw_0059,partial_raw,S04,R2:L8:I4:T8,R2,L8,I4,T8,done,0,0
partial_raw_0060,partial_raw,S04,R2:L8:I7:T6,R2,L8,I7,T6,done,0,0
partial_raw_0060,partial_raw,S04,R2:L8:I7:T8,R2,L8,I7,T8,done,0,0
partial_raw_0061,partial_raw,S04,R2:L8:I8:T6,R2,L8,I8,T6,done,0,0
partial_raw_0061,partial_raw,S04,R2:L8:I8:T8,R2,L8,I8,T8,done,0,0
partial_raw_0062,partial_raw,S04,R2:L8:I1+I3+I7:T6,R2,L8,I1+I3+I7,T6,done,0,0
partial_raw_0062,partial_raw,S04,R2:L8:I1+I3+I7:T8,R2,L8,I1+I3+I7,T8,done,0,0
partial_raw_0063,partial_raw,S04,R2:L8:I1+I2+I3+I8:T6,R2,L8,I1+I2+I3+I8,T6,done,0,0
partial_raw_0063,partial_raw,S04,R2:L8:I1+I2+I3+I8:T8,R2,L8,I1+I2+I3+I8,T8,done,0,0
partial_raw_0064,partial_raw,S04,R2:L10:I0:T6,R2,L10,I0,T6,done,0,0
partial_raw_0064,partial_raw,S04,R2:L10:I0:T8,R2,L10,I0,T8,done,0,0
partial_raw_0065,partial_raw,S04,R2:L10:I1:T6,R2,L10,I1,T6,done,0,0
partial_raw_0065,partial_raw,S04,R2:L10:I1:T8,R2,L10,I1,T8,done,0,0
partial_raw_0066,partial_raw,S04,R2:L10:I3:T6,R2,L10,I3,T6,done,0,0
partial_raw_0066,partial_raw,S04,R2:L10:I3:T8,R2,L10,I3,T8,done,0,0
partial_raw_0067,partial_raw,S04,R2:L10:I4:T6,R2,L10,I4,T6,done,0,0
partial_raw_0067,partial_raw,S04,R2:L10:I4:T8,R2,L10,I4,T8,done,0,0
partial_raw_0068,partial_raw,S04,R2:L10:I7:T6,R2,L10,I7,T6,done,0,0
partial_raw_0068,partial_raw,S04,R2:L10:I7:T8,R2,L10,I7,T8,done,0,0
partial_raw_0069,partial_raw,S04,R2:L10:I8:T6,R2,L10,I8,T6,done,0,0
partial_raw_0069,partial_raw,S04,R2:L10:I8:T8,R2,L10,I8,T8,done,0,0
partial_raw_0070,partial_raw,S04,R2:L10:I1+I3+I7:T6,R2,L10,I1+I3+I7,T6,done,0,0
partial_raw_0070,partial_raw,S04,R2:L10:I1+I3+I7:T8,R2,L10,I1+I3+I7,T8,done,0,0
partial_raw_0071,partial_raw,S04,R2:L10:I1+I2+I3+I8:T6,R2,L10,I1+I2+I3+I8,T6,done,0,0
partial_raw_0071,partial_raw,S04,R2:L10:I1+I2+I3+I8:T8,R2,L10,I1+I2+I3+I8,T8,done,0,0
partial_raw_0072,partial_raw,S04,R2:L11:I0:T6,R2,L11,I0,T6,done,0,0
partial_raw_0072,partial_raw,S04,R2:L11:I0:T8,R2,L11,I0,T8,done,0,0
