row_spec,seed_id,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s,chunk_id,gpu_device,child_run_id
R2:L0:I0:T6,S04,simulate_imu_prior,0.0999000910087488,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_agreement_0000_cuda0
R2:L0:I0:T6,S04,cpu_golden,0.2381797920097597,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_agreement_0000_cuda0
R2:L0:I0:T6,S04,torch_gpu,0.7596047729894053,0.0,1.0,0.7596047729894053,0.7596047729894053,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_agreement_0000_cuda0
R2:L2:I3:T6,S04,simulate_imu_prior,0.9612606859882362,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_agreement_0000_cuda0
R2:L2:I3:T6,S04,cpu_golden,0.3210269379778765,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_agreement_0000_cuda0
R2:L2:I3:T6,S04,torch_gpu,0.4994630519940983,0.0,1.0,0.4994630519940983,0.4994630519940983,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_agreement_0000_cuda0
R4:L8:I1+I2+I3+I8:T8,S04,simulate_imu_prior,1.0427215190138668,,,,,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_agreement_0001_cuda0
R4:L8:I1+I2+I3+I8:T8,S04,cpu_golden,0.3309062449843623,,,,,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_agreement_0001_cuda0
R4:L8:I1+I2+I3+I8:T8,S04,torch_gpu,0.7582265689852647,0.0,1.0,0.7582265689852647,0.7582265689852647,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_agreement_0001_cuda0
R4:L14:I1+I2+I3+I8:T8,S04,simulate_imu_prior,1.0317292130202986,,,,,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_agreement_0001_cuda0
R4:L14:I1+I2+I3+I8:T8,S04,cpu_golden,0.3358157429902348,,,,,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_agreement_0001_cuda0
R4:L14:I1+I2+I3+I8:T8,S04,torch_gpu,0.5384808620146941,0.0,1.0,0.5384808620146941,0.5384808620146941,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_agreement_0001_cuda0
R2:L0:I0:T6,S04,simulate_imu_prior,0.107088813005248,,,,,partial_raw_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0000_cuda0
R2:L0:I0:T6,S04,cpu_golden,20.292531181999948,,,,,partial_raw_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0000_cuda0
R2:L0:I0:T6,S04,torch_gpu,2.188376653997693,0.0,1.0,2.188376653997693,2.188376653997693,partial_raw_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0000_cuda0
R2:L0:I0:T8,S04,simulate_imu_prior,0.1125601770181674,,,,,partial_raw_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0000_cuda0
R2:L0:I0:T8,S04,cpu_golden,27.206941039010417,,,,,partial_raw_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0000_cuda0
R2:L0:I0:T8,S04,torch_gpu,3.058627638994949,0.0,1.0,3.058627638994949,3.058627638994949,partial_raw_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0000_cuda0
R2:L0:I1:T6,S04,simulate_imu_prior,0.155946874001529,,,,,partial_raw_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0001_cuda0
R2:L0:I1:T6,S04,cpu_golden,23.414942878996957,,,,,partial_raw_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0001_cuda0
R2:L0:I1:T6,S04,torch_gpu,3.0406191450019837,0.0,1.0,3.0406191450019837,3.0406191450019837,partial_raw_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0001_cuda0
R2:L0:I1:T8,S04,simulate_imu_prior,0.1552825120161287,,,,,partial_raw_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0001_cuda0
R2:L0:I1:T8,S04,cpu_golden,20.44296187799773,,,,,partial_raw_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0001_cuda0
R2:L0:I1:T8,S04,torch_gpu,3.232141660992056,0.0,1.0,3.232141660992056,3.232141660992056,partial_raw_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0001_cuda0
R2:L0:I3:T6,S04,simulate_imu_prior,0.1063901290181092,,,,,partial_raw_0002,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0002_cuda1
R2:L0:I3:T6,S04,cpu_golden,31.36433906899765,,,,,partial_raw_0002,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0002_cuda1
R2:L0:I3:T6,S04,torch_gpu,2.9133961869811174,0.0,1.0,2.9133961869811174,2.9133961869811174,partial_raw_0002,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0002_cuda1
R2:L0:I3:T8,S04,simulate_imu_prior,0.147589900996536,,,,,partial_raw_0002,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0002_cuda1
R2:L0:I3:T8,S04,cpu_golden,27.986223725019958,,,,,partial_raw_0002,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0002_cuda1
R2:L0:I3:T8,S04,torch_gpu,3.103039784997236,0.0,1.0,3.103039784997236,3.103039784997236,partial_raw_0002,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0002_cuda1
R2:L0:I4:T6,S04,simulate_imu_prior,0.1534807349962648,,,,,partial_raw_0003,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0003_cuda1
R2:L0:I4:T6,S04,cpu_golden,21.09789385399199,,,,,partial_raw_0003,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0003_cuda1
R2:L0:I4:T6,S04,torch_gpu,2.3612400279962458,0.0,1.0,2.3612400279962458,2.3612400279962458,partial_raw_0003,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0003_cuda1
R2:L0:I4:T8,S04,simulate_imu_prior,0.1286091080110054,,,,,partial_raw_0003,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0003_cuda1
R2:L0:I4:T8,S04,cpu_golden,25.153972686995985,,,,,partial_raw_0003,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0003_cuda1
R2:L0:I4:T8,S04,torch_gpu,2.0462822600093205,0.0,1.0,2.0462822600093205,2.0462822600093205,partial_raw_0003,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0003_cuda1
R2:L0:I7:T6,S04,simulate_imu_prior,0.1454744999937247,,,,,partial_raw_0004,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0004_cuda1
R2:L0:I7:T6,S04,cpu_golden,26.327238145982847,,,,,partial_raw_0004,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0004_cuda1
R2:L0:I7:T6,S04,torch_gpu,2.198132096993504,0.0,1.0,2.198132096993504,2.198132096993504,partial_raw_0004,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0004_cuda1
R2:L0:I7:T8,S04,simulate_imu_prior,0.111080219008727,,,,,partial_raw_0004,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0004_cuda1
R2:L0:I7:T8,S04,cpu_golden,26.527891359990463,,,,,partial_raw_0004,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0004_cuda1
R2:L0:I7:T8,S04,torch_gpu,2.6760260430164635,0.0,1.0,2.6760260430164635,2.6760260430164635,partial_raw_0004,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0004_cuda1
R2:L0:I8:T6,S04,simulate_imu_prior,0.1535293510241899,,,,,partial_raw_0005,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0005_cuda1
R2:L0:I8:T6,S04,cpu_golden,20.50646269498975,,,,,partial_raw_0005,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0005_cuda1
R2:L0:I8:T6,S04,torch_gpu,3.2692178779980168,0.0,1.0,3.2692178779980168,3.2692178779980168,partial_raw_0005,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0005_cuda1
R2:L0:I8:T8,S04,simulate_imu_prior,0.1601978309918195,,,,,partial_raw_0005,cuda:1,phase4_GPUCPU_FULLFACTORY_S04_2x1080ti_20260605T151945Z_partial_raw_0005_cuda1
