host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
0.171471,1777241397.359199,894,,BS2DCE,,0,timeout,0,3009,50,2,2
0.171578,1777241397.359306,894,,BS2DCE,,1,ok,2514,2514,100,4,0
0.171578,1777241397.359306,894,,BS2DCE,,2,ok,3082,3082,100,4,0
0.171578,1777241397.359306,894,,BS2DCE,,3,ok,3067,3067,100,4,0
0.190361,1777241397.378089,894,,BS2DCE,,4,ok,2489,2489,100,4,0
0.190361,1777241397.378089,894,,BS2DCE,,5,ok,2310,2310,100,4,0
0.190361,1777241397.378089,894,,BS2DCE,,6,ok,3167,3167,100,4,0
0.252296,1777241397.440024,625,,BSF66F,,0,ok,3389,3389,100,5,0
0.252296,1777241397.440024,625,,BSF66F,,1,ok,2738,2738,100,5,0
0.252296,1777241397.440024,625,,BSF66F,,2,ok,2461,2461,80,4,1
0.371274,1777241397.559002,895,,BS2DCE,,0,ok,2340,2340,60,3,2
0.371274,1777241397.559002,895,,BS2DCE,,1,ok,2684,2684,100,5,0
0.409586,1777241397.597314,626,,BSF66F,,4,ok,3251,3251,100,6,0
0.409586,1777241397.597314,626,,BSF66F,,5,ok,2510,2510,100,6,0
0.45545,1777241397.643178,895,,BS2DCE,,2,ok,3099,3099,100,5,0
0.45545,1777241397.643178,895,,BS2DCE,,3,ok,2699,2699,100,5,0
0.45545,1777241397.643178,895,,BS2DCE,,4,ok,2819,2819,100,5,0
0.456908,1777241397.644636,895,,BS2DCE,,5,reject,2895,2310,80,4,1
0.456908,1777241397.644636,895,,BS2DCE,,6,ok,3112,3112,100,5,0
0.456908,1777241397.644636,895,,BS2DCE,,7,reject,2809,3312,80,4,1
0.49221,1777241397.679938,10,,BSDC91,,0,ok,3124,3124,100,3,0
0.49221,1777241397.679938,10,,BSDC91,,1,ok,3145,3145,100,3,0
0.49221,1777241397.679938,10,,BSDC91,,2,ok,3127,3127,100,3,0
0.494516,1777241397.682244,10,,BSDC91,,3,ok,2618,2618,100,3,0
0.494516,1777241397.682244,10,,BSDC91,,4,ok,2984,2984,100,3,0
0.494516,1777241397.682244,10,,BSDC91,,5,ok,3107,3107,100,3,0
0.663272,1777241397.851,627,,BSF66F,,0,ok,3316,3316,100,6,0
0.667036,1777241397.854764,627,,BSF66F,,1,ok,2799,2799,100,6,0
0.667036,1777241397.854764,627,,BSF66F,,2,ok,2460,2460,83,5,1
0.667036,1777241397.854764,627,,BSF66F,,3,ok,3188,3188,100,6,0
0.723343,1777241397.911071,11,,BSDC91,,0,ok,3142,3142,100,4,0
0.725857,1777241397.913585,11,,BSDC91,,1,reject,2343,3145,75,3,1
0.725857,1777241397.913585,11,,BSDC91,,2,ok,3065,3065,100,4,0
0.725857,1777241397.913585,11,,BSDC91,,3,reject,3460,2618,75,3,1
0.728353,1777241397.916081,11,,BSDC91,,4,ok,2853,2853,100,4,0
0.728353,1777241397.916081,11,,BSDC91,,5,reject,2007,3107,75,3,1
0.728353,1777241397.916081,11,,BSDC91,,6,ok,2620,2620,100,4,0
