host_elapsed_s,listener_t_ms,seq,pan,src,dst,code,q,level,cir,rxpacc,fp1,len
0.034,3471572,60618,0xdeca,0xb101,0xa102,0xe0,20957,7,2419,123,6939,12
0.087,3471626,60619,0xdeca,0xb102,0xa100,0xe0,19039,7,2162,122,7245,12
0.208,3471746,60620,0xdeca,0xb103,0xa104,0xe0,20671,7,2425,124,7510,12
0.231,3471769,60621,0xdeca,0xb101,0xa102,0xe0,16928,7,1768,117,4465,12
0.284,3471823,60622,0xdeca,0xb102,0xa102,0xe0,17705,7,2077,124,7338,12
0.405,3471944,60623,0xdeca,0xb103,0xa100,0xe0,21288,7,2378,121,7519,12
0.418,3471956,60624,0xdeca,0xa103,0xb103,0xe1,18728,7,2197,124,1670,20
0.435,3471974,60625,0xdeca,0xb101,0xa102,0xe0,17264,7,1834,118,7158,12
0.484,3472022,60626,0xdeca,0xb102,0xa102,0xe0,19759,7,2318,124,7523,12
0.605,3472143,60627,0xdeca,0xb103,0xa104,0xe0,21945,7,2492,122,7664,12
0.617,3472155,60628,0xdeca,0xa107,0xb103,0xe1,18026,7,2047,122,5967,20
0.635,3472173,60629,0xdeca,0xb101,0xa102,0xe0,18836,7,2139,122,6945,12
0.683,3472222,60630,0xdeca,0xb102,0xa100,0xe0,17353,7,2003,123,6991,12
0.696,3472234,60631,0xdeca,0xa107,0xb102,0xe1,18987,7,2086,120,6792,20
0.807,3472345,60632,0xdeca,0xb103,0xa100,0xe0,16660,7,1740,117,6560,12
0.834,3472368,60633,0xdeca,0xb101,0xa100,0xe0,21848,7,2481,122,7636,12
0.844,3472380,60634,0xdeca,0xb101,0xa107,0xe0,18267,7,2143,124,7590,12
0.885,3472424,60635,0xdeca,0xb102,0xa100,0xe0,17336,7,1873,119,7371,12
1.005,3472543,60636,0xdeca,0xb103,0xa104,0xe0,17354,7,1875,119,7221,12
1.018,3472555,60637,0xdeca,0xa107,0xb103,0xe1,18421,7,1957,118,6179,20
1.035,3472573,60638,0xdeca,0xb101,0xa102,0xe0,19974,7,2158,119,7337,12
1.083,3472622,60639,0xdeca,0xb102,0xa100,0xe0,18987,7,2086,120,6186,12
1.096,3472634,60640,0xdeca,0xa104,0xb102,0xe1,17048,7,1936,122,2282,20
1.207,3472745,60641,0xdeca,0xb103,0xa100,0xe0,16077,7,1737,119,6944,12
1.229,3472768,60642,0xdeca,0xb101,0xa100,0xe0,18030,7,2014,121,5826,12
1.242,3472780,60643,0xdeca,0xa105,0xb101,0xe1,17665,7,2039,123,7674,20
1.285,3472824,60644,0xdeca,0xb102,0xa100,0xe0,18548,7,2141,123,6641,12
1.406,3472945,60645,0xdeca,0xb103,0xa104,0xe0,17457,7,2015,123,6144,12
1.429,3472967,60646,0xdeca,0xb101,0xa100,0xe0,22095,8,2592,124,7658,12
1.442,3472980,60647,0xdeca,0xa107,0xb101,0xe1,19429,7,2064,118,6865,20
1.485,3473024,60648,0xdeca,0xb102,0xa100,0xe0,19032,7,2091,120,7386,12
1.606,3473144,60649,0xdeca,0xb103,0xa100,0xe0,18193,7,2100,123,6887,12
1.642,3473167,60650,0xdeca,0xb101,0xa102,0xe0,17419,7,1882,119,7264,12
1.685,3473224,60651,0xdeca,0xb102,0xa100,0xe0,19897,7,2186,120,7135,12
1.806,3473344,60652,0xdeca,0xb103,0xa104,0xe0,19964,7,2342,124,7949,12
1.818,3473357,60653,0xdeca,0xa107,0xb103,0xe1,19077,7,2202,123,5874,20
1.836,3473375,60654,0xdeca,0xb101,0xa100,0xe0,16590,7,712,75,4139,12
1.885,3473423,60655,0xdeca,0xb102,0xa102,0xe0,20527,7,2293,121,2620,12
1.898,3473435,60656,0xdeca,0xa107,0xb102,0xe1,15330,7,380,57,1939,20
2.006,3473544,60657,0xdeca,0xb103,0xa100,0xe0,17128,7,1945,122,7188,12
2.029,3473567,60658,0xdeca,0xb101,0xa100,0xe0,19197,7,2180,122,5334,12
2.041,3473580,60659,0xdeca,0xa107,0xb101,0xe1,18556,7,1938,117,6466,20
2.085,3473623,60660,0xdeca,0xb102,0xa102,0xe0,19109,7,2030,118,564,12
2.206,3473744,60661,0xdeca,0xb103,0xa104,0xe0,20216,7,2221,120,7564,12
2.218,3473756,60662,0xdeca,0xa107,0xb103,0xe1,19640,7,2122,119,7271,20
2.236,3473774,60663,0xdeca,0xa102,0xb101,0xe1,17206,7,1859,119,6486,20
2.285,3473823,60664,0xdeca,0xb102,0xa100,0xe0,17722,7,1947,120,6872,12
2.297,3473836,60665,0xdeca,0xb102,0xa107,0xe0,17891,7,1933,119,7394,12
2.366,3473905,60666,0xdeca,0xb102,0xa100,0xe0,16878,7,1793,118,7233,12
2.410,3473948,60667,0xdeca,0xb103,0xa100,0xe0,16435,7,1746,118,7174,12
2.433,3473971,60668,0xdeca,0xb101,0xa100,0xe0,19983,7,2159,119,7364,12
2.486,3474025,60669,0xdeca,0xb102,0xa100,0xe0,16633,7,1858,121,7499,12
2.607,3474146,60670,0xdeca,0xb103,0xa104,0xe0,19776,7,2320,124,7734,12
2.630,3474169,60671,0xdeca,0xb101,0xa100,0xe0,19819,7,2325,124,7701,12
2.685,3474222,60672,0xdeca,0xb102,0xa100,0xe0,17090,7,1909,121,3469,12
2.696,3474235,60673,0xdeca,0xa104,0xb102,0xe1,19731,7,2204,121,540,20
2.807,3474345,60674,0xdeca,0xb103,0xa100,0xe0,18026,7,1915,118,7068,12
2.829,3474368,60675,0xdeca,0xb101,0xa100,0xe0,18817,7,2172,123,7348,12
2.883,3474422,60676,0xdeca,0xb102,0xa100,0xe0,18056,7,2017,121,6829,12
2.896,3474434,60677,0xdeca,0xa104,0xb102,0xe1,17412,7,1913,120,1405,20
3.005,3474543,60678,0xdeca,0xb103,0xa104,0xe0,17968,7,2074,123,7550,12
3.017,3474556,60679,0xdeca,0xb103,0xa107,0xe0,17206,7,1859,119,7211,12
3.030,3474568,60680,0xdeca,0xb101,0xa100,0xe0,20775,7,2207,118,7239,12
3.083,3474622,60681,0xdeca,0xb102,0xa100,0xe0,18582,7,1974,118,6769,12
3.096,3474634,60682,0xdeca,0xa107,0xb102,0xe1,17704,7,1849,117,6639,20
3.207,3474745,60683,0xdeca,0xb103,0xa100,0xe0,17143,7,1915,121,7242,12
3.229,3474768,60684,0xdeca,0xb101,0xa102,0xe0,19578,7,2151,120,7074,12
3.242,3474780,60685,0xdeca,0xa107,0xb101,0xe1,17679,7,2074,124,5851,20
3.286,3474824,60686,0xdeca,0xb102,0xa102,0xe0,21235,7,2372,121,7235,12
3.406,3474945,60687,0xdeca,0xb103,0xa104,0xe0,17304,7,1965,122,7609,12
3.429,3474968,60688,0xdeca,0xb101,0xa102,0xe0,19954,7,2229,121,7380,12
3.441,3474980,60689,0xdeca,0xb101,0xa107,0xe0,18610,7,1977,118,6965,12
3.485,3475024,60690,0xdeca,0xb102,0xa102,0xe0,19077,7,2238,124,7241,12
3.606,3475144,60691,0xdeca,0xb103,0xa100,0xe0,17257,7,1896,120,6629,12
3.628,3475167,60692,0xdeca,0xb101,0xa100,0xe0,19843,7,2108,118,6542,12
3.641,3475179,60693,0xdeca,0xa107,0xb101,0xe1,17969,7,2108,124,7019,20
3.686,3475223,60694,0xdeca,0xb102,0xa100,0xe0,19673,7,2090,118,7308,12
3.697,3475236,60695,0xdeca,0xb102,0xa107,0xe0,19496,7,2142,120,6922,12
3.808,3475346,60696,0xdeca,0xb103,0xa104,0xe0,17894,7,1966,120,7037,12
3.830,3475369,60697,0xdeca,0xb101,0xa100,0xe0,20619,7,2380,123,6592,12
3.884,3475423,60698,0xdeca,0xb102,0xa100,0xe0,21217,7,2449,123,7485,12
3.896,3475435,60699,0xdeca,0xa107,0xb102,0xe1,18844,7,2036,119,5475,20
4.019,3475545,60700,0xdeca,0xb103,0xa100,0xe0,16801,7,1971,124,7415,12
4.032,3475570,60701,0xdeca,0xb101,0xa100,0xe0,20535,7,2409,124,6862,12
4.085,3475624,60702,0xdeca,0xb102,0xa100,0xe0,19137,7,2209,123,7702,12
4.207,3475744,60703,0xdeca,0xb103,0xa104,0xe0,17767,7,1952,120,7218,12
4.220,3475757,60704,0xdeca,0xb103,0xa105,0xe0,20558,7,2373,123,7635,12
4.231,3475769,60705,0xdeca,0xb101,0xa100,0xe0,20038,7,2313,123,7307,12
4.284,3475823,60706,0xdeca,0xb102,0xa100,0xe0,18987,7,2086,120,7420,12
4.405,3475944,60707,0xdeca,0xb103,0xa100,0xe0,20516,7,2254,120,7582,12
4.428,3475967,60708,0xdeca,0xb101,0xa100,0xe0,16106,7,1711,118,7315,12
4.483,3476021,60709,0xdeca,0xb102,0xa100,0xe0,21164,7,2523,125,3112,12
4.495,3476033,60710,0xdeca,0xb102,0xa104,0xe0,15697,7,1696,119,2127,12
4.605,3476144,60711,0xdeca,0xb103,0xa104,0xe0,19188,7,2179,122,7634,12
4.628,3476167,60712,0xdeca,0xb101,0xa100,0xe0,18843,7,1968,117,7473,12
4.640,3476179,60713,0xdeca,0xa107,0xb101,0xe1,18493,7,2100,122,7398,20
4.684,3476223,60714,0xdeca,0xb102,0xa100,0xe0,18089,7,2088,123,7168,12
4.697,3476235,60715,0xdeca,0xb102,0xa107,0xe0,18508,7,1933,117,6869,12
4.807,3476346,60716,0xdeca,0xb103,0xa100,0xe0,17045,7,2032,125,7198,12
4.830,3476369,60717,0xdeca,0xb101,0xa102,0xe0,19035,7,1988,117,7302,12
4.884,3476422,60718,0xdeca,0xb102,0xa102,0xe0,17443,7,1853,118,6699,12
5.008,3476547,60719,0xdeca,0xb103,0xa104,0xe0,16705,7,1897,122,7162,12
5.031,3476570,60720,0xdeca,0xb101,0xa102,0xe0,20426,7,2435,125,4485,12
5.086,3476624,60721,0xdeca,0xb102,0xa102,0xe0,17251,7,1927,121,2722,12
5.206,3476744,60722,0xdeca,0xb103,0xa100,0xe0,17145,7,1947,122,7434,12
5.228,3476767,60723,0xdeca,0xb101,0xa100,0xe0,17320,7,1840,118,7142,12
5.241,3476780,60724,0xdeca,0xa107,0xb101,0xe1,18209,7,2034,121,6196,20
5.285,3476824,60725,0xdeca,0xb102,0xa100,0xe0,19478,7,2285,124,6911,12
5.406,3476945,60726,0xdeca,0xb103,0xa104,0xe0,17378,7,1815,117,6983,12
5.429,3476967,60727,0xdeca,0xb101,0xa100,0xe0,17058,7,1843,119,7268,12
5.487,3477026,60728,0xdeca,0xb102,0xa100,0xe0,21161,7,2248,118,7086,12
5.608,3477147,60729,0xdeca,0xb103,0xa100,0xe0,18349,7,2118,123,7589,12
5.631,3477169,60730,0xdeca,0xb101,0xa100,0xe0,19233,7,2220,123,7603,12
5.685,3477223,60731,0xdeca,0xb102,0xa100,0xe0,20774,7,2437,124,7131,12
5.805,3477344,60732,0xdeca,0xb103,0xa104,0xe0,17215,7,1798,117,6930,12
5.828,3477367,60733,0xdeca,0xb101,0xa100,0xe0,18996,7,2122,121,7432,12
5.841,3477379,60734,0xdeca,0xb101,0xa105,0xe0,15078,7,387,58,3007,12
5.884,3477423,60735,0xdeca,0xb102,0xa100,0xe0,18405,7,2090,122,6719,12
6.008,3477547,60736,0xdeca,0xb103,0xa100,0xe0,19351,7,2126,120,7614,12
6.031,3477570,60737,0xdeca,0xb101,0xa100,0xe0,18366,7,2120,123,7288,12
6.085,3477624,60738,0xdeca,0xb102,0xa100,0xe0,17707,7,1978,121,4464,12
6.206,3477744,60739,0xdeca,0xb103,0xa104,0xe0,19465,7,2103,119,7502,12
