capture_id,uwb_time_s,uwb_relative_distance_mm,opti_relative_distance_mm,signed_relative_distance_error_mm,abs_relative_distance_error_mm
R01,0.002044,1009.1875332425459,979.68646526991,29.50106797263595,29.50106797263595
R01,0.070511,1022.9774001657626,979.6655533705665,43.31184679519606,43.31184679519606
R01,0.16326,1017.4868117929578,979.8502114819332,37.63660031102461,37.63660031102461
R01,0.295635,1012.2403604612545,979.0331620090429,33.207198452211514,33.207198452211514
R01,0.454647,1044.2290147613778,979.8901999592065,64.33881480217133,64.33881480217133
R01,0.466995,1048.90353734044,979.7947546220753,69.10878271836464,69.10878271836464
R01,0.572952,1147.8301033204518,979.5866286629681,168.24347465748372,168.24347465748372
R01,0.670406,1165.3259250566161,980.1862711909894,185.13965386562677,185.13965386562677
R01,0.760465,1184.3656078969327,980.0171749070076,204.34843298992507,204.34843298992507
R01,0.865366,1173.4242303775466,980.0272476523282,193.39698272521832,193.39698272521832
R01,0.963248,1096.7373665062903,980.2092281600457,116.52813834624465,116.52813834624465
R01,1.067871,1169.1150036757635,980.2426643082555,188.87233936750806,188.87233936750806
R01,1.172952,1118.968460064883,980.7180368067693,138.25042325811364,138.25042325811364
R01,1.270613,1191.034681626254,980.5121779591374,210.52250366711667,210.52250366711667
R01,1.430799,1127.8839143489697,980.710100824446,147.17381352452367,147.17381352452367
R01,1.466199,1153.9984486442213,980.3309860335936,173.6674626106277,173.6674626106277
R01,1.56289,1290.705609099458,980.2548743977209,310.450734701737,310.450734701737
R01,1.668021,1142.45432449137,980.2828391634224,162.1714853279476,162.1714853279476
R01,1.773485,1125.888775910099,979.5732068461053,146.31556906399362,146.31556906399362
R01,1.890118,947.6920650658215,979.3533736597832,-31.661308593961735,31.661308593961735
R01,1.965775,971.2833684142446,979.6062337114867,-8.32286529724206,8.32286529724206
R01,2.0953,1053.5431974898688,979.3110152836797,74.23218220618912,74.23218220618912
R01,2.162538,1116.574516626543,979.5840861103763,136.99043051616673,136.99043051616673
R01,2.282774,1047.1597887859855,979.394651658991,67.76513712699443,67.76513712699443
R01,2.457474,1041.9530172950444,980.0326909934199,61.92032630162453,61.92032630162453
R01,2.470284,1064.2255110388626,979.8563393426499,84.36917169621267,84.36917169621267
R01,2.560253,1009.2913445527918,979.7945980043734,29.4967465484184,29.4967465484184
R01,2.665308,1141.1438696989228,980.0997433731624,161.04412632576043,161.04412632576043
R01,2.828721,1039.1506992775276,980.1968809979792,58.953818279548386,58.953818279548386
R01,2.86779,1123.0027657839603,979.6202114644377,143.38255431952257,143.38255431952257
R01,2.97322,1062.4877300847663,979.5867542813291,82.90097580343718,82.90097580343718
R01,3.070078,1106.350389922327,979.8940879952396,126.45630192708734,126.45630192708734
R01,3.175337,1083.7466779660758,979.711543512675,104.03513445340081,104.03513445340081
R01,3.280359,1054.2724767474979,980.2989031485741,73.97357359892374,73.97357359892374
R01,3.455401,1215.8592485603172,980.5906804737854,235.2685680865318,235.2685680865318
R01,3.481311,1174.610761091672,979.9309366650283,194.67982442664368,194.67982442664368
R01,3.57269,862.5293854963942,979.9907723943139,-117.46138689791974,117.46138689791974
R01,3.670375,974.8912788244946,979.8575750837546,-4.966296259259934,4.966296259259934
R01,3.760378,1016.8960226277785,979.9222894301378,36.97373319764074,36.97373319764074
R01,3.895182,907.6988568810889,979.7382276130074,-72.03937073191855,72.03937073191855
R01,3.98521,1080.2266901817325,979.7206180851043,100.50607209662815,100.50607209662815
R01,4.067677,1023.5532826493451,979.6105338179135,43.94274883143157,43.94274883143157
R01,4.172678,1002.3066709063377,979.237054028291,23.069616878046645,23.069616878046645
R01,4.270062,1036.7596582618457,980.0028266723552,56.7568315894905,56.7568315894905
R01,4.442254,1021.5278084678044,980.1641429195798,41.36366554822462,41.36366554822462
R01,4.465275,1057.591686953924,979.8431616631508,77.74852529077316,77.74852529077316
R01,4.562623,1135.7805712091774,979.7283853267475,156.05218588242997,156.05218588242997
R01,4.667647,1137.3528793055386,980.2956510070288,157.0572282985098,157.0572282985098
R01,4.772807,1154.854432585547,979.953796507469,174.90063607807815,174.90063607807815
R01,4.870202,1112.534926235311,979.8742378023833,132.66068843292783,132.66068843292783
R01,4.975298,1138.6533887920498,980.2453059616291,158.40808283042065,158.40808283042065
R01,5.065223,1136.6998125781213,980.2910998149797,156.40871276314158,156.40871276314158
R01,5.162633,1132.9380732870245,980.6460569859415,152.29201630108298,152.29201630108298
R01,5.267817,1230.6333613744757,980.2298831175044,250.4034782569713,250.4034782569713
R01,5.43016,1082.3823602334007,980.3048181389805,102.07754209442021,102.07754209442021
R01,5.496421,876.4824673814616,979.6519779083643,-103.16951052690274,103.16951052690274
R01,5.564104,934.8903680974712,979.7701276355955,-44.87975953812429,44.87975953812429
R01,5.695179,982.7174283574253,979.6079271864023,3.1095011710229983,3.1095011710229983
R01,5.762606,1060.3804192244381,979.4818281858215,80.89859103861659,80.89859103861659
R01,5.867676,1022.8575699259645,979.4386675507947,43.418902375169864,43.418902375169864
R01,5.973298,1050.5883321748818,979.1373546492753,71.4509775256065,71.4509775256065
R01,6.070108,1029.4768915364934,979.9187666386015,49.55812489789196,49.55812489789196
R01,6.160196,1018.1757948902372,979.8763015368361,38.29949335340109,38.29949335340109
R01,6.28016,1094.1740992070752,978.8519175733758,115.32218163369942,115.32218163369942
R01,6.451264,1102.561173794573,980.05531313833,122.50586065624304,122.50586065624304
R01,6.481283,1088.958152260927,979.5449472463414,109.41320501458551,109.41320501458551
