speed_bin,n_samples,err3d_mean_mm,err3d_rmse_mm,err3d_p50_mm,err3d_p90_mm,err3d_p95_mm,err3d_max_mm,err_horizontal_xz_mean_mm,err_horizontal_xz_rmse_mm,err_horizontal_xz_p50_mm,err_horizontal_xz_p90_mm,err_horizontal_xz_p95_mm,err_horizontal_xz_max_mm,err_vertical_y_mean_mm,err_vertical_y_rmse_mm,err_vertical_y_p50_mm,err_vertical_y_p90_mm,err_vertical_y_p95_mm,err_vertical_y_max_mm,abs_radius_mean_mm,abs_radius_rmse_mm,abs_radius_p50_mm,abs_radius_p90_mm,abs_radius_p95_mm,abs_radius_max_mm
fast > 84.1 deg/s,13554,123.43805774180855,152.02978675872436,103.16975004506726,215.14078985535056,271.9626795145953,867.1395944680427,82.34129341037611,98.55070683944166,71.36166246980869,150.2600357706039,183.76243367177418,585.7330173171831,80.04766567219825,115.76188597007923,59.16690555839574,163.96412183140097,218.0731328212151,794.4897074855021,67.06794615905099,86.03987836863858,55.04843306862094,137.41065715546318,172.12045674167908,490.244607472499
mid 68.0-84.1 deg/s,13553,117.35745589822521,136.1472583861347,101.94356391276726,206.06145921802653,248.49144106532273,730.7060923668655,80.57232212350483,95.85818444436225,69.78293139112718,151.59972274632383,179.94885205391697,438.4354293427701,72.59749456304651,96.68135518853443,56.55256290563602,155.40963078113828,197.44696001175578,688.4823102357279,69.8060391112098,89.44469024768954,57.20196572163593,146.54815460437737,177.3390060852572,453.54555350368554
slow <= 68.0 deg/s,13554,117.37871886240316,134.97777087700732,102.80664288726615,204.86600693512554,250.08675388294725,616.1457354076915,70.06049725313122,85.32270063507379,58.63705231748661,132.55685296391616,170.9493614377913,464.18675402235306,83.04107399511958,104.58984361429872,70.78827063131575,168.4360164178084,205.15327658186192,515.9845972656487,77.88014280252139,99.96506352567975,63.33995767618711,160.962166962069,200.72237989537405,467.52019767015855
