pair,obs_mm,pred_mm,residual_mm
AB,3007.088,2936.0129259609994,-71.07507403900081
AC,5537.676,5496.613752243937,-41.0622477560637
AD,4676.4445,4683.432303974818,6.987803974818235
AE,1463.483,1504.7544245772642,41.27142457726427
AF,3196.3945,3195.617258991284,-0.7772410087159187
AG,5759.797,5775.214082964115,15.417082964115252
AH,4858.948,4830.2523528183965,-28.695647181603817
BC,4571.0895,4526.9762931444275,-44.11320685557257
BD,5439.381,5435.028985768867,-4.35201423113358
BE,3214.588,3232.824068282065,18.236068282064934
BF,1442.35,1428.372586208594,-13.97741379140598
BG,5006.028,4978.094495138091,-27.93350486190957
BH,5659.838,5679.6976584651375,19.859658465137727
CD,3127.2775,2965.551465879658,-161.72603412034232
CE,5670.7815,5690.432260230725,19.6507602307247
CF,4803.5415,4714.40432655911,-89.13717344089036
CG,1733.8835,1550.767098387531,-183.11640161246896
CH,3455.9555,3457.5085711436545,1.5530711436545062
DE,5099.0235,5033.1293085988555,-65.89419140114478
DF,5592.5365,5617.123487359774,24.586987359773957
DG,3276.221,3282.417520755862,6.196520755861911
DH,1528.5645,1639.4139536412679,110.84945364126793
EF,2791.712,2787.9815230583354,-3.7304769416646195
EG,5604.9755,5566.950176886161,-38.02532311383857
EH,4572.044,4677.743701247717,105.6997012477168
FG,4657.457,4703.624092065382,46.16709206538144
FH,5454.796,5441.564923756408,-13.231076243592724
GH,2940.7725,2986.277987219869,45.50548721986888
