phase,wall_count,walls,distance_cm,seed,metal_box_count,device,tag_points,trials,samples,range_bias_mean_m,range_sigma_mean_m,hor_err_p50_m,hor_err_p90_m,hor_err_p95_m,z_err_p50_m,z_err_p90_m,z_err_p95_m,pos_err_p50_m,pos_err_p90_m,pos_err_p95_m,failure_gt_0p5m_ratio,failure_gt_1p0m_ratio
phase2,0,none,0,0,6,cuda:0,847,96,81312,0.05648857727646828,0.06765905767679214,0.05540681630373001,0.17247708141803741,0.22285223007202148,0.07742234319448471,0.23472148180007935,0.3034115433692932,0.11134883761405945,0.28993120789527893,0.35713931918144226,0.009654171764850616,1.229830741067417e-05
phase2,0,none,0,1,6,cuda:0,847,96,81312,0.056488581001758575,0.06765905767679214,0.06314894556999207,0.1560220867395401,0.19207917153835297,0.08867581188678741,0.21264633536338806,0.26132869720458984,0.12513384222984314,0.2524714469909668,0.3009868860244751,0.0021276071202009916,0.0
phase2,0,none,0,2,6,cuda:0,847,96,81312,0.056488581001758575,0.06765905767679214,0.06256194412708282,0.15571710467338562,0.19188934564590454,0.08779338002204895,0.21287648379802704,0.26166391372680664,0.12483829259872437,0.25314292311668396,0.30119165778160095,0.0017955529037863016,0.0
phase2,0,none,0,3,6,cuda:0,847,96,81312,0.056488584727048874,0.06765905767679214,0.05547115579247475,0.1730738878250122,0.22471827268600464,0.07748953998088837,0.23400261998176575,0.3025676906108856,0.11053235828876495,0.29039090871810913,0.35716569423675537,0.00924832746386528,0.0
phase2,0,none,0,4,6,cuda:0,847,96,81312,0.056488581001758575,0.06765905767679214,0.05991969257593155,0.16152523458003998,0.20230920612812042,0.08454073965549469,0.21841765940189362,0.2751866281032562,0.12062305212020874,0.2637220323085785,0.3191206455230713,0.004206021316349506,0.0
phase2,0,none,0,5,6,cuda:0,847,96,81312,0.056488584727048874,0.06765905767679214,0.05491556227207184,0.1700265258550644,0.23371948301792145,0.07700401544570923,0.23208047449588776,0.3133481740951538,0.10795291513204575,0.29346662759780884,0.38223710656166077,0.016824085265398026,2.459661482134834e-05
phase2,0,none,0,6,6,cuda:0,847,96,81312,0.056488581001758575,0.06765905767679214,0.06098175048828125,0.15709039568901062,0.20264385640621185,0.0852811187505722,0.2143792361021042,0.2746904492378235,0.12010654807090759,0.26190826296806335,0.32624515891075134,0.005521940067410469,0.0
phase2,0,none,0,7,6,cuda:0,847,96,81312,0.056488581001758575,0.06765905767679214,0.06285351514816284,0.15555225312709808,0.19123592972755432,0.08799883723258972,0.21339033544063568,0.2627982497215271,0.12441910803318024,0.25333473086357117,0.30205610394477844,0.002324380213394761,0.0
phase2,0,none,0,8,6,cuda:0,847,96,81312,0.056488581001758575,0.06765905767679214,0.06309245526790619,0.15602071583271027,0.19290724396705627,0.08860982954502106,0.21249966323375702,0.26086920499801636,0.1254272162914276,0.2524578869342804,0.30105969309806824,0.002053817268460989,0.0
phase2,0,none,0,9,6,cuda:0,847,96,81312,0.056488584727048874,0.06765905767679214,0.06096913665533066,0.1573238968849182,0.20234361290931702,0.08550898730754852,0.21556498110294342,0.2752535939216614,0.12054754048585892,0.2629163861274719,0.32531628012657166,0.005374360363930464,0.0
phase2,0,none,0,10,6,cuda:0,847,96,81312,0.056488581001758575,0.06765905767679214,0.04897944629192352,0.19063891470432281,0.24517394602298737,0.06899923086166382,0.25843971967697144,0.3350932002067566,0.10164915770292282,0.32054901123046875,0.3952810764312744,0.0162583626806736,4.919322964269668e-05
phase2,0,none,0,11,6,cuda:0,847,96,81312,0.056488581001758575,0.06765905767679214,0.06298010796308517,0.15491242706775665,0.1908237189054489,0.08805085718631744,0.2125653326511383,0.26121512055397034,0.12469694763422012,0.25303831696510315,0.30164626240730286,0.0022505903616547585,0.0
phase2,0,none,5,0,6,cuda:0,847,96,81312,0.05157976970076561,0.0643865093588829,0.05629093945026398,0.1514798253774643,0.18711033463478088,0.07751607149839401,0.20598682761192322,0.254653662443161,0.11189855635166168,0.24731501936912537,0.2945053279399872,0.0019062376813963056,0.0
phase2,0,none,5,1,6,cuda:0,847,96,81312,0.05157976970076561,0.0643865093588829,0.058753885328769684,0.14400042593479156,0.1768534779548645,0.08142335712909698,0.19699491560459137,0.24257563054561615,0.116248220205307,0.23456035554409027,0.2791934907436371,0.0009715663036331534,0.0
