gate_id,n_capture_tag_tracks,min_anchor_bias_rows_per_track,min_ge4_ratio,n_bias_rows,pass,n_seeds,n_tracks,endpoint_drift_3d_p50_mm,endpoint_drift_3d_p05_mm,endpoint_drift_3d_p95_mm
G3_range_bias_policy,34,8,1.0,272,True,,,,,
G5_noise_seed_repeats,,,,,True,5,170,27803.816245599715,10370.100391810181,48714.05767439055
