experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,U,P,L,I,T,kind,delta_vs_B0_trackmedian_err3d_p50_mm,delta_vs_B0_trackmedian_err3d_p95_mm,delta_vs_B0_sample_err3d_rmse_mm,delta_vs_B0_legacy_deltaR_error_rms_mm,delta_vs_B0_trackmedian_radius_error_abs_mm,verdict,screening_score,rank
X_A0_U4_P2_L8_I1+I2+I3+I8_T3,loose_ekf_screening,Phase 2 position-side T3 screening row.,34,17,40661,99.74431880935366,180.3149940159924,210.57188863744653,120.9776211229111,40661,70.1027308571908,140.58869841460447,166.9626791639074,91.68332148753257,40661,51.515516954330906,129.40669990926472,157.5737238873902,78.92878672304785,96.3467621410651,183.27274374526496,111.28976231074026,142.22090671094924,124.38179005401943,86.69225985666046,84.65572027851758,27.08887085655988,49.42830559763311,89.15654131683124,157.520322859911,nan,nan,nan,1.0,0.6799005952263274,3.1103804026259514,nan,nan,17,86.76628862814327,26.38570024110618,173.90031151156944,A0,U4,P2,L8,I1+I2+I3+I8,T3,position_fusion,-9.49108506735979,-48.52939425021276,-20.288363725053188,6.6869347211291625,-10.30386116788631,FUSION_HURTS_GEOMETRY,245.94277729042466,1
X_A0_U4_P0_L8_I1+I2+I3+I8_T3,loose_ekf_screening,Phase 2 position-side T3 screening row.,34,17,40661,101.16879604841537,193.8250002950655,229.68261105962975,129.06894400398085,40661,68.91135008161231,144.8802613386356,173.02819651827573,93.13418438531335,40661,55.76267803675205,144.17563003037446,177.59572178228711,89.35779767421081,97.29927304238403,197.5278881439903,113.23246231337315,149.01989642715765,143.81959974214988,89.49388706876935,82.60275819411859,27.47994327188951,57.25031361490133,91.0701636924054,165.4634416645801,nan,nan,nan,1.0,0.9149113183616684,4.2801161059783315,nan,nan,17,77.04072106469286,26.91438154812198,163.0003848263435,A0,U4,P0,L8,I1+I2+I3+I8,T3,position_fusion,-8.53857416604086,-34.27424985148741,-12.197040843983444,-3.038632842321249,-2.481853150618093,FUSION_HELPS_DEPLOYABLE,248.9876954455163,2
X_A0_U4_P0_L7_I4_T2,position_prior_screening,Phase 2 position-side T2 screening row.,34,17,40661,108.23801497381145,214.78876775839265,256.4203815840564,141.31832637988722,40661,72.42415967965725,150.7549432153847,179.21813307154943,96.29981792202051,40661,60.4473371693922,165.9732774389272,209.02600651419039,103.4273389341427,106.36193439563458,214.48408395291938,124.31711591973095,161.28592889181297,161.09155878913884,95.56722753318373,72.59395523699726,39.423483324215056,56.002308193558946,100.13210167930103,178.1457948853172,nan,nan,nan,1.0,1.6571552484009482,8.127615313280401,nan,nan,17,56.7513440310434,27.08326963031419,108.11289639760352,A0,U4,P0,L7,I4,T2,position_fusion,0.5240871872096875,-17.318054042558344,0.05234153192293434,-23.328009875970707,-3.7298585719604773,FUSION_NEUTRAL,249.15845869766622,3
X_A0_U4_P2_L3_I1_T2,position_prior_screening,Phase 2 position-side T2 screening row.,34,17,40661,94.20271498334085,159.61645199538526,182.8522780252506,109.63566489582738,40661,63.61262948215898,125.82240897108855,148.8807291338385,82.11031253468622,40661,52.304811300118104,117.59337546692211,140.45665746765013,72.64898893037883,97.22734463400427,166.82579327848754,108.00577153461518,135.20724129206025,118.7426586454319,86.65476282044176,72.25946539458505,29.956089508444506,40.84225864956716,81.2840381204615,137.1750297969495,nan,nan,nan,1.0,0.6578014954038124,2.478541599314074,nan,nan,17,107.32561944001439,28.937831863027952,259.19722487274834,A0,U4,P2,L3,I1,T2,position_fusion,-8.610502574420622,-64.97634471699018,-31.630319952136915,27.246265533000283,-18.889908115952267,FUSION_HURTS_GEOMETRY,251.16543521426854,4
X_A0_U4_P0_L3_I1_T2,position_prior_screening,Phase 2 position-side T2 screening row.,34,17,40661,94.51222102831497,166.14136258077136,193.51724009858202,112.80558031555492,40661,61.204056499907466,126.85693129449216,149.33295150997046,81.40355693939169,40661,55.12227809506271,125.94505473725349,151.1762954777853,78.09327671409575,99.3589545494648,183.4769278044129,111.6593165499352,136.17915979717003,133.24644553448374,87.11659737192966,74.38434519650914,26.721228848794226,50.68666057759967,85.35683738208635,143.0707258217677,nan,nan,nan,1.0,0.9710486960370317,4.14079817282869,nan,nan,17,93.57447493558153,27.12106090619892,206.15136323047147,A0,U4,P0,L3,I1,T2,position_fusion,-6.478892658960092,-48.325210191064826,-28.46040453240937,13.495121028567425,-9.045506187919756,FUSION_HURTS_GEOMETRY,254.42134202471618,5
X_A0_U4_P2_L7_I4_T2,position_prior_screening,Phase 2 position-side T2 screening row.,34,17,40661,105.52303477694232,200.00992134217088,236.58442940252993,132.20035271192427,40661,72.80988677178506,145.94447410502113,172.2525853389865,94.37029517048335,40661,55.543424528190826,151.6228247644114,189.9381224478139,92.5806710204297,105.56605656315976,191.3205716251244,120.14830051040809,155.93867099841336,145.0810897584191,92.68130140475895,71.51851804322831,36.51875464748821,48.87569842373253,96.28867491069056,166.23423468833187,nan,nan,nan,1.0,1.2727025414613062,6.418281380475856,nan,nan,17,88.54065768993352,27.901874574874967,191.3410333170767,A0,U4,P2,L7,I4,T2,position_fusion,-0.27179064526512775,-40.481566370353335,-9.065632136040023,8.461303782919416,-10.856468341786893,FUSION_HURTS_GEOMETRY,258.944566226773,6
X_A0_U4_P2_L1_I1+I3+I7_T2,position_prior_screening,Phase 2 position-side T2 screening row.,34,17,40661,72.81600043208333,115.02649204626888,130.6478907489897,81.05213899706182,40661,49.23448291296131,87.96066720574186,102.71797853911224,59.244660477381636,40661,41.435252542879425,88.06302091863131,104.92799335103257,55.312922910643614,75.56612953556369,111.78822308922355,78.78711817549073,87.31079223077738,87.72352062310824,59.0063697921537,52.70067011374016,23.330649159248935,17.61540022166085,65.66640572359896,105.05760668142392,nan,nan,nan,1.0,0.6166367209373163,2.4001708031365414,nan,nan,17,197.3904788478439,29.261568766688924,399.01452385463625,A0,U4,P2,L1,I1+I3+I7,T2,position_fusion,-30.2717176728612,-120.01391490625417,-60.21384585090247,117.31112494082979,-42.116766543858574,FUSION_HURTS_GEOMETRY,261.67304292111305,7
X_A0_U4_P0_L7_I3_T2,position_prior_screening,Phase 2 position-side T2 screening row.,34,17,40661,103.32969204901742,193.7929984370577,229.4854332937793,130.88652315185595,40661,70.75868166121049,145.15463537511226,170.80981005617573,93.66133078435168,40661,56.361366687265104,145.48155507356347,180.28817324318368,91.42667585822848,106.31949713029277,215.87390340036143,126.91477035404516,158.82762230817212,157.30129122875266,98.88618754005452,81.80314600630415,29.79648007017323,56.84054058057157,94.39956411814947,167.05176339703107,nan,nan,nan,1.0,1.0380554817061267,4.858209285062177,nan,nan,17,75.49333104323178,25.743419348038515,181.2372982742232,A0,U4,P0,L7,I3,T2,position_fusion,0.48164992186788425,-15.928234595116294,-10.379461696108336,-4.586022863782333,-2.891626184947853,FUSION_NEUTRAL,263.1409653409673,8
X_A0_U4_P0_L7_I4_T3,loose_ekf_screening,Phase 2 position-side T3 screening row.,34,17,40661,99.76424815337145,200.97416448936636,247.781713033586,135.96814460031317,40661,63.85892874771072,140.15072642902192,172.1224361415498,89.9218726233502,40661,60.15739937935746,157.77278751514837,198.63132068398454,101.98722062082904,101.40194656746763,217.55749248500695,127.82939784147192,161.06333040154908,175.96849025129734,83.5122664174173,73.25391889619223,34.61186626788475,58.75293848798833,94.12844253430882,169.4325490338838,nan,nan,nan,1.0,0.21867321202507986,1.1376859640969266,nan,nan,17,89.62505096085958,26.532302250772887,205.52500156599027,A0,U4,P0,L7,I4,T3,position_fusion,-4.435900640957257,-14.244645510470775,-5.2978402476511235,9.545697053845473,-0.9792282775310923,FUSION_HURTS_GEOMETRY,269.6610738538159,9
X_A0_U4_P2_L7_I3_T2,position_prior_screening,Phase 2 position-side T2 screening row.,34,17,40661,101.43702796845994,177.25113473402055,206.6690252359152,121.05960562340907,40661,71.35757681662962,139.93894710215548,163.87825149166116,91.60471640243263,40661,52.21492821332572,129.59193033636348,156.33159044533272,79.14546131349051,103.17468416058634,190.39955895461415,118.72768779508284,154.1553498291168,133.1698452229562,97.40151157507646,82.68145591760346,30.22511197534726,50.2402230459914,89.44759101317874,153.1279516106348,nan,nan,nan,1.0,0.7322182597323622,3.6776760222137987,nan,nan,17,107.35500654734479,25.981181756977946,195.1197182624037,A0,U4,P2,L7,I3,T2,position_fusion,-2.6631630478385517,-41.40257904086357,-20.20637922455522,27.275652640330676,-9.491943719528024,FUSION_HURTS_GEOMETRY,270.0831459008383,10
