version,ID,radius_BS2DCE,radius_BSDC91,delta_radius,delta_radius_bias_vs_120
v4-io-commonmode,ID25,493.92118749876295,612.3743494978206,118.45316199905767,-1.54683800094233
v4-io-commonmode,ID26,497.3807575040135,601.446737225928,104.06597972191452,-15.934020278085484
v4-io-commonmode,ID27,550.8701478718219,617.8436080554649,66.97346018364294,-53.02653981635706
v4-io-commonmode,ID28,524.9165609349451,619.1386075115214,94.2220465765763,-25.777953423423696
v4-io-commonmode,ID29,531.1815475286912,635.1321094810539,103.9505619523627,-16.049438047637295
v4-io-commonmode,ID30,547.2462582117637,622.2925345682655,75.04627635650183,-44.953723643498165
v4-io-commonmode,ID31,547.6406794432569,623.8398576854019,76.19917824214497,-43.80082175785503
v4-io-commonmode,ID32,536.7574723872629,618.3684654749236,81.61099308766075,-38.389006912339255
v4-io-commonmode,ID33,563.099940336872,647.8319236277721,84.73198329090008,-35.268016709099925
v4-io-commonmode,ID34,538.894044367996,615.9604268875507,77.06638251955474,-42.933617480445264
v4-io-commonmode,ID35,526.6306327827816,605.4148000470875,78.78416726430589,-41.21583273569411
v4-io-commonmode,ID36,515.401790266748,622.5438723274925,107.14208206074454,-12.857917939255458
v4-io-commonmode,ID37,539.2585768949903,621.7755766264517,82.5169997314614,-37.4830002685386
v4-io-commonmode,ID38,515.1437214827889,611.4333526443103,96.28963116152136,-23.710368838478644
v4-io-commonmode,ID39,494.85556151941415,594.6153293336138,99.75976781419962,-20.24023218580038
v4-io-commonmode,ID40,515.3161487259828,608.9226616327385,93.60651290675571,-26.39348709324429
v4-io-commonmode,ID41,536.6072629159279,607.4380286070017,70.8307656910738,-49.16923430892621
