version,location,height,facing,n,D3_median,D3_p75,D3_p95,D3_max
v4-io-commonmode,center,high,ABEF,1,58.087202561183304,58.087202561183304,58.087202561183304,58.087202561183304
v4-io-commonmode,center,high,ADHE,1,76.19899073655819,76.19899073655819,76.19899073655819,76.19899073655819
v4-io-commonmode,center,high,BCGF,1,39.57805514937645,39.57805514937645,39.57805514937645,39.57805514937645
v4-io-commonmode,center,high,CDHG,1,76.54585180802206,76.54585180802206,76.54585180802206,76.54585180802206
v4-io-commonmode,center,low,ABEF,1,74.23516641669588,74.23516641669588,74.23516641669588,74.23516641669588
v4-io-commonmode,center,low,ADHE,1,72.0744178609022,72.0744178609022,72.0744178609022,72.0744178609022
v4-io-commonmode,center,low,BCGF,1,41.92687871318938,41.92687871318938,41.92687871318938,41.92687871318938
v4-io-commonmode,center,low,CDHG,1,107.04184893684815,107.04184893684815,107.04184893684815,107.04184893684815
v4-io-commonmode,center,mid,ABEF,1,90.83586844466002,90.83586844466002,90.83586844466002,90.83586844466002
v4-io-commonmode,center,mid,ADHE,1,86.6790469651946,86.6790469651946,86.6790469651946,86.6790469651946
v4-io-commonmode,center,mid,BCGF,1,63.384272883787155,63.384272883787155,63.384272883787155,63.384272883787155
v4-io-commonmode,center,mid,CDHG,1,57.0882391773206,57.0882391773206,57.0882391773206,57.0882391773206
v4-io-commonmode,edge,high,ABEF,1,81.7105825720233,81.7105825720233,81.7105825720233,81.7105825720233
v4-io-commonmode,edge,high,ADHE,1,41.65434515491743,41.65434515491743,41.65434515491743,41.65434515491743
v4-io-commonmode,edge,high,BCGF,1,73.11686087709393,73.11686087709393,73.11686087709393,73.11686087709393
v4-io-commonmode,edge,high,CDHG,1,89.33937844683857,89.33937844683857,89.33937844683857,89.33937844683857
v4-io-commonmode,edge,low,ABEF,1,59.17664822522767,59.17664822522767,59.17664822522767,59.17664822522767
v4-io-commonmode,edge,low,ADHE,1,46.120502533580364,46.120502533580364,46.120502533580364,46.120502533580364
v4-io-commonmode,edge,low,BCGF,1,62.0251286109383,62.0251286109383,62.0251286109383,62.0251286109383
v4-io-commonmode,edge,low,CDHG,1,86.9636656869532,86.9636656869532,86.9636656869532,86.9636656869532
v4-io-commonmode,edge,mid,ABEF,1,62.81728018577934,62.81728018577934,62.81728018577934,62.81728018577934
v4-io-commonmode,edge,mid,ADHE,1,53.818058591961076,53.818058591961076,53.818058591961076,53.818058591961076
v4-io-commonmode,edge,mid,BCGF,1,99.35397769109998,99.35397769109998,99.35397769109998,99.35397769109998
v4-io-commonmode,edge,mid,CDHG,1,80.42075080046675,80.42075080046675,80.42075080046675,80.42075080046675
