group_by,group,n,D3_median,D3_p75,D3_p95,D3_max
location,center,12,73.15479213879904,79.07915059731519,98.12855966614467,107.04184893684815
location,edge,12,67.96707053143663,83.02385335075577,93.8459481067562,99.35397769109998
height,high,8,74.65792580682606,77.83703449902237,86.66929989065322,89.33937844683857
height,low,8,67.04977323592026,77.4172912342602,100.01448479938492,107.04184893684815
height,mid,8,71.90251184212696,87.71825233506095,96.372639454846,99.35397769109998
facing,ABEF,6,68.52622330123761,79.84172853319144,88.55454697650084,90.83586844466002
facing,ADHE,6,62.94623822643164,75.16784751764419,84.0590329080355,86.6790469651946
facing,BCGF,6,62.70470074736273,70.68371387876724,92.79469848759847,99.35397769109998
facing,CDHG,6,83.69220824370998,88.74545025686723,102.61623131434575,107.04184893684815
