row_spec,seed_id,stage,cache_key,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R4:L19:I0:T6,S02,load_imu_prior_cache,L19:I0,0.007170126999881177,,,,
R4:L19:I0:T6,S02,load_track_tensors_cache,L19:I0,1.4799998098169453e-06,,,,
R4:L19:I0:T6,S02,torch_gpu,,10.801498826999705,0,1,10.801498826999705,10.801498826999705
R4:L19:I0:T8,S02,torch_gpu,,9.160701791000065,0,1,9.160701791000065,9.160701791000065
R4:L19:I1:T6,S02,load_imu_prior_cache,L19:I1,0.005331673999535269,,,,
R4:L19:I1:T6,S02,load_track_tensors_cache,L19:I1,1.1399997674743645e-06,,,,
R4:L19:I1:T6,S02,torch_gpu,,6.341681879000134,0,1,6.341681879000134,6.341681879000134
R4:L19:I1:T8,S02,torch_gpu,,6.259682818999863,0,1,6.259682818999863,6.259682818999863
R4:L19:I3:T6,S02,load_imu_prior_cache,L19:I3,0.0061398750003718305,,,,
R4:L19:I3:T6,S02,load_track_tensors_cache,L19:I3,1.2600003174156882e-06,,,,
R4:L19:I3:T6,S02,torch_gpu,,6.231355410000106,0,1,6.231355410000106,6.231355410000106
R4:L19:I3:T8,S02,torch_gpu,,5.709456520999993,0,1,5.709456520999993,5.709456520999993
R4:L19:I4:T6,S02,load_imu_prior_cache,L19:I4,0.005059631999756675,,,,
R4:L19:I4:T6,S02,load_track_tensors_cache,L19:I4,1.1199999789823778e-06,,,,
R4:L19:I4:T6,S02,torch_gpu,,4.457792793999943,0,1,4.457792793999943,4.457792793999943
R4:L19:I4:T8,S02,torch_gpu,,2.9537501060003706,0,1,2.9537501060003706,2.9537501060003706
