version,eval_set,n_anchors,layout_sha256,shape_rms_mm,proper_rotation_rms_3d_mm,proper_rotation_det,reflection_allowed_rms_3d_mm,reflection_allowed_horizontal_rms_mm,reflection_allowed_vertical_rms_mm,reflection_allowed_det,similarity_scale,similarity_rms_3d_mm,similarity_diagnostic_only
v1-old,all8,8,52aad127f1ef6a71,140.63734061089306,1425.494700137391,1.0000000000000013,101.27420364979389,93.81663143384434,38.14320373678825,-1.0000000000000013,0.9549735987772424,50.06554740371965,True
v1-old,noG,7,52aad127f1ef6a71,137.44727477368875,1339.3834264450604,1.0000000000000004,98.77517108510236,90.24002061105331,40.165571115171716,-1.0000000000000007,0.956078523989287,50.78720338862636,True
v1-old,lower,4,52aad127f1ef6a71,176.78532928683393,120.09875940540446,1.0000000000000004,114.1143997555479,111.4876026299313,24.343596517349802,-1.0000000000000004,0.9421365720791637,44.17753691625943,True
v1-old,upper,4,52aad127f1ef6a71,107.68077023873013,77.16381893618923,1.0000000000000007,73.6772662172414,69.11065197660713,25.53541346081061,-1.0000000000000007,0.9653355776182965,38.40928515833003,True
v2,all8,8,4e498b3941d43fec,192.03159280262284,1476.7657972299253,0.9999999999999999,136.45445890161056,109.01547390580377,82.06976180801517,-0.9999999999999999,0.9384686781209736,60.31811978232067,True
v2,noG,7,4e498b3941d43fec,193.24595608978433,1382.662897766669,1.0,137.46748123275484,108.56368439520543,84.32813781304576,-0.9999999999999998,0.9381229439682154,64.09778197253657,True
v2,lower,4,4e498b3941d43fec,217.6082921447221,137.74097578163162,0.999999999999999,135.07696795653868,134.85435878012308,7.751721765750875,-0.999999999999999,0.928562921228548,29.478981386362015,True
v2,upper,4,4e498b3941d43fec,114.84334182574202,85.35894893073724,1.0000000000000009,81.06908481505977,72.51535150294536,36.245279818972776,-1.0000000000000007,0.9624855215947284,43.767418490891984,True
v3-full,all8,8,332ab5b8fee90939,151.6226375352381,1418.3826624287613,1.0000000000000013,143.44671872661849,127.45478327958912,65.81974880373342,-1.0000000000000013,0.9638652944615093,125.28325436315949,True
v3-full,noG,7,332ab5b8fee90939,161.9080117344706,1325.8693674451802,1.0,151.62063826142293,134.7491496642603,69.50888153006092,-1.0000000000000002,0.9625307800672832,133.63533661763498,True
v3-full,lower,4,332ab5b8fee90939,236.25582289374245,181.33407422206474,0.9999999999999988,177.73863031154477,176.56048264940574,20.43077755820535,-0.9999999999999989,0.9407745100607272,141.53201615890728,True
v3-full,upper,4,332ab5b8fee90939,45.9390808877796,31.785706052582235,0.9999999999999993,31.785706052582235,29.356205002344296,12.187876645318427,0.9999999999999993,0.9849074675502316,17.034651506874397,True
v3-lite,all8,8,742d7980534f0cd8,191.96997038195465,1477.2301454987366,1.0000000000000016,136.60069612738366,108.81021882957893,82.58381476260921,-1.000000000000001,0.9385188444188903,60.86467317763309,True
v3-lite,noG,7,742d7980534f0cd8,192.9719850116958,1382.9324358026518,1.0,137.51586454405563,108.25213774260563,84.80617710671196,-0.9999999999999999,0.9382416657954182,64.67282566565038,True
v3-lite,lower,4,742d7980534f0cd8,217.0506220312335,137.54609448043865,1.0000000000000002,134.78679402985753,134.5275990425429,8.354935110223252,-1.0000000000000002,0.9287427226899432,29.746457340428897,True
v3-lite,upper,4,742d7980534f0cd8,114.55385766461643,85.40415273285612,1.0000000000000002,81.0973890607663,72.45788063919397,36.42309769568779,-1.0,0.9626417242310468,44.276863163325935,True
v4-io,all8,8,4ef298693e15fc4c,136.3068174543411,1454.476281126782,1.0000000000000013,105.41990950811795,86.8417092338188,59.765164251833596,-1.0000000000000009,0.9582672713308588,67.12130071807093,True
v4-io,noG,7,4ef298693e15fc4c,133.354171602804,1362.897657852497,0.9999999999999997,104.40767238329548,84.42224837726295,61.43163705636766,-0.9999999999999999,0.9597410642386235,70.14916681552896,True
v4-io,lower,4,4ef298693e15fc4c,157.95113730486452,106.80994295912983,0.9999999999999991,105.30168525106517,105.2663596267363,2.7273517648110595,-0.999999999999999,0.9511339208397473,57.83975381113505,True
v4-io,upper,4,4ef298693e15fc4c,72.60527982228929,59.08390919748194,0.9999999999999994,54.50384137653571,48.27632525822259,25.299508777066517,-0.9999999999999994,0.9775030623153952,36.69874145791959,True
