s,d_tag_mm,median_3d_mm,rmse_3d_mm,p95_3d_mm,signed_vertical_slope,n_positions,n_frames
0.93,0.0,343.5447362721508,340.95027471739263,473.9086423070018,424.0109024226499,24,28818
0.93,2.0,339.1893639200555,337.7117331388164,469.92055290946996,424.8716528531307,24,28818
0.93,4.0,334.77918237397694,334.52609421500324,465.91619133909717,425.4431994431989,24,28818
0.93,6.0,331.14043372119556,331.3876775064808,461.90506948404305,425.6851422738516,24,28818
0.93,8.0,327.68532010749107,328.25965640886176,457.88862850461686,425.56703683437746,24,28818
0.93,10.0,323.59359293656087,325.1273899315457,453.8631078933988,425.17528481085105,24,28818
0.93,12.0,318.43181937462316,321.98506971003724,449.82822157036895,424.47878621782706,24,28818
0.93,14.0,313.12756817840307,318.8825789001893,446.0254948817168,423.55366821290477,24,28818
0.93,16.0,307.7494370695272,315.81871059330007,442.3458611387913,422.458037465686,24,28818
0.93,18.0,301.3234874465179,312.70339418398504,438.6190576672249,421.14768918096956,24,28818
0.93,20.0,294.25602860614305,309.5201862697011,434.83275537663434,419.6004979087989,24,28818
0.93,22.0,287.59986017096503,306.40586082534475,431.02565186638486,417.80847928880695,24,28818
0.93,24.0,283.5879031937557,303.23311545400907,427.16981530771386,415.73954339466115,24,28818
0.93,26.0,281.3054745528134,300.02851110503656,423.28271540075997,413.4323334382824,24,28818
0.93,28.0,279.60731626452304,296.7758819988582,419.37814093244003,410.8832509028522,24,28818
0.93,30.0,275.2487769459183,293.4664837570987,415.4650931904266,408.12491788568065,24,28818
0.93,32.0,273.8736938706657,290.0875068814968,411.5258351888228,405.15233920656107,24,28818
0.93,34.0,274.562065962661,286.6837853043118,407.5628507646787,402.0375622020327,24,28818
0.93,36.0,274.87801015818036,283.2327902263986,403.5888707892079,398.7483940832725,24,28818
0.93,38.0,272.41801421608756,279.72687121194525,399.58199562740117,395.30078314512207,24,28818
0.93,40.0,266.46495131620463,276.1840512006341,395.5323221372379,391.7209213201363,24,28818
0.93,42.0,260.4020045284867,272.5811482557821,391.43436357633766,387.96834573439867,24,28818
0.93,44.0,254.09061988060677,268.91249292613355,387.33284517771153,384.05534086464667,24,28818
0.93,46.0,247.52983120428777,265.2172862377757,383.2332148060898,380.06303718314007,24,28818
0.93,48.0,242.8243253712759,261.4750831062243,379.1230355386005,375.98316899268224,24,28818
0.93,50.0,240.20920310230673,257.70426238582905,374.98609683498256,371.7560944267826,24,28818
0.93,52.0,237.49860730690978,253.92147897824515,370.8287729598454,367.3995045504791,24,28818
0.93,54.0,234.6803580822358,250.1450199955216,366.6432362977638,362.9577456810615,24,28818
0.93,56.0,231.75483600422135,246.36280957212938,362.42781744092684,358.4554395758781,24,28818
0.93,58.0,228.7323829239865,242.57448482330634,358.2132486691498,353.87832742912076,24,28818
0.93,60.0,225.56377219224788,238.76451827684767,354.30385641016835,349.18403255194505,24,28818
0.93,62.0,222.30437295788624,234.96536525025334,350.3808048803713,344.4190374031402,24,28818
