host_elapsed_s,sweep,conn_id,peer_name,tag_id,plan,pmode,quality_flag_percent,targets,statuses,qualities
3.7204,59483,,BS2DCE,,cal_roto,5,97,"A,C,F,H","ok,ok,ok,ok","100,100,100,91"
3.824506,59484,,BS2DCE,,cal_roto,5,98,"C,A,F,H","ok,ok,ok,ok","100,100,100,92"
4.028915,59485,,BS2DCE,,cal_roto,5,98,"C,A,F,H","ok,ok,ok,ok","100,100,100,92"
4.2371,59486,,BS2DCE,,cal_roto,5,98,"A,C,F,H","ok,ok,ok,ok","100,100,100,93"
4.439442,59487,,BS2DCE,,cal_roto,5,98,"A,C,F,H","ok,ok,ok,ok","100,100,100,93"
4.650364,59488,,BS2DCE,,cal_roto,5,98,"A,C,F,H","ok,ok,ok,ok","100,100,100,94"
4.882126,59489,,BS2DCE,,cal_roto,5,98,"A,C,H,F","ok,ok,ok,ok","100,100,94,100"
5.032063,59490,,BS2DCE,,cal_roto,5,98,"A,C,H,F","ok,ok,ok,ok","100,100,94,100"
5.243811,59491,,BS2DCE,,cal_roto,5,98,"A,C,F,H","ok,ok,ok,ok","100,100,100,95"
5.444439,59492,,BS2DCE,,cal_roto,5,98,"C,A,F,H","ok,ok,ok,ok","100,100,100,95"
5.624447,59493,,BS2DCE,,cal_roto,5,98,"C,A,F,H","ok,ok,ok,ok","100,100,100,95"
5.828928,59494,,BS2DCE,,cal_roto,5,98,"A,C,F,H","ok,ok,ok,ok","100,100,100,95"
6.088828,59495,,BS2DCE,,cal_roto,5,98,"A,C,F,H","ok,ok,ok,ok","100,100,100,95"
6.23786,59496,,BS2DCE,,cal_roto,5,99,"A,C,F,H","ok,ok,ok,ok","100,100,100,96"
6.451345,59497,,BS2DCE,,cal_roto,5,99,"A,C,H,F","ok,ok,ok,ok","100,100,96,100"
6.682099,59498,,BS2DCE,,cal_roto,5,99,"A,C,H,F","ok,ok,ok,ok","100,100,96,100"
6.832121,59499,,BS2DCE,,cal_roto,5,99,"A,C,F,H","ok,ok,ok,ok","100,100,100,96"
7.044097,59500,,BS2DCE,,cal_roto,5,99,"C,A,F,H","ok,ok,ok,ok","100,100,100,96"
7.244536,59501,,BS2DCE,,cal_roto,5,99,"C,A,F,H","ok,ok,ok,ok","100,100,100,96"
7.446426,59502,,BS2DCE,,cal_roto,5,99,"A,C,F,H","ok,ok,ok,ok","100,100,100,96"
7.629006,59503,,BS2DCE,,cal_roto,5,99,"A,C,F,H","ok,ok,ok,ok","100,100,100,96"
7.83673,59504,,BS2DCE,,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
8.039847,59505,,BS2DCE,,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
8.251846,59506,,BS2DCE,,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
8.452338,59507,,BS2DCE,,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
8.632476,59508,,BS2DCE,,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
8.843966,59509,,BS2DCE,,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
9.09612,59510,,BS2DCE,,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
9.247147,59511,,BS2DCE,,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
9.427367,59512,,BS2DCE,,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
9.639774,59513,,BS2DCE,,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
9.839968,59514,,BS2DCE,,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
10.07375,59515,,BS2DCE,,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
10.282113,59516,,BS2DCE,,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
10.432299,59517,,BS2DCE,,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
10.643974,59518,,BS2DCE,,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
10.844845,59519,,BS2DCE,,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
11.023196,59520,,BS2DCE,,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
11.229221,59521,,BS2DCE,,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
11.437209,59522,,BS2DCE,,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
11.640483,59523,,BS2DCE,,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
11.851434,59524,,BS2DCE,,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
12.082291,59525,,BS2DCE,,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
12.232298,59526,,BS2DCE,,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
12.447143,59527,,BS2DCE,,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
12.642703,59528,,BS2DCE,,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
12.847333,59529,,BS2DCE,,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
13.029268,59530,,BS2DCE,,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
13.237276,59531,,BS2DCE,,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
13.439995,59532,,BS2DCE,,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
13.651876,59533,,BS2DCE,,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
13.882281,59534,,BS2DCE,,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
14.032357,59535,,BS2DCE,,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
