host_elapsed_s,sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
3.718437,59483,,BS2DCE,,cal_roto,5,success,97,4,4,198,290,0
3.822408,59484,,BS2DCE,,cal_roto,5,success,98,4,4,214,296,0
4.027158,59485,,BS2DCE,,cal_roto,5,success,98,4,4,184,281,0
4.235664,59486,,BS2DCE,,cal_roto,5,success,98,4,4,41,59,0
4.437568,59487,,BS2DCE,,cal_roto,5,success,98,4,4,133,205,0
4.647944,59488,,BS2DCE,,cal_roto,5,success,98,4,4,87,136,0
4.879992,59489,,BS2DCE,,cal_roto,5,success,98,4,4,157,234,0
5.030003,59490,,BS2DCE,,cal_roto,5,success,98,4,4,194,269,0
5.242131,59491,,BS2DCE,,cal_roto,5,success,98,4,4,205,303,0
5.44239,59492,,BS2DCE,,cal_roto,5,success,98,4,4,232,326,0
5.622532,59493,,BS2DCE,,cal_roto,5,success,98,4,4,153,229,0
5.826958,59494,,BS2DCE,,cal_roto,5,success,98,4,4,164,234,0
6.087313,59495,,BS2DCE,,cal_roto,5,success,98,4,4,196,268,0
6.221107,59496,,BS2DCE,,cal_roto,5,success,99,4,4,210,266,0
6.449364,59497,,BS2DCE,,cal_roto,5,success,99,4,4,168,185,0
6.680005,59498,,BS2DCE,,cal_roto,5,success,99,4,4,129,160,0
6.830039,59499,,BS2DCE,,cal_roto,5,success,99,4,4,155,179,0
7.041991,59500,,BS2DCE,,cal_roto,5,success,99,4,4,201,225,0
7.242411,59501,,BS2DCE,,cal_roto,5,success,99,4,4,204,294,0
7.444362,59502,,BS2DCE,,cal_roto,5,success,99,4,4,237,335,0
7.627295,59503,,BS2DCE,,cal_roto,5,success,99,4,4,286,414,0
7.834365,59504,,BS2DCE,,cal_roto,5,success,100,4,4,225,331,0
8.038476,59505,,BS2DCE,,cal_roto,5,success,100,4,4,220,332,0
8.249749,59506,,BS2DCE,,cal_roto,5,success,100,4,4,132,204,0
8.450096,59507,,BS2DCE,,cal_roto,5,success,100,4,4,67,102,0
8.630139,59508,,BS2DCE,,cal_roto,5,success,100,4,4,113,172,0
8.842485,59509,,BS2DCE,,cal_roto,5,success,100,4,4,98,153,0
9.094431,59510,,BS2DCE,,cal_roto,5,success,100,4,4,80,126,0
9.245066,59511,,BS2DCE,,cal_roto,5,success,100,4,4,244,340,0
9.425539,59512,,BS2DCE,,cal_roto,5,success,100,4,4,143,201,0
9.63623,59513,,BS2DCE,,cal_roto,5,success,100,4,4,216,308,0
9.837957,59514,,BS2DCE,,cal_roto,5,success,100,4,4,158,235,0
10.072795,59515,,BS2DCE,,cal_roto,5,success,100,4,4,144,208,0
10.280111,59516,,BS2DCE,,cal_roto,5,success,100,4,4,208,256,0
10.430135,59517,,BS2DCE,,cal_roto,5,success,100,4,4,192,248,0
10.642594,59518,,BS2DCE,,cal_roto,5,success,100,4,4,165,180,0
10.84291,59519,,BS2DCE,,cal_roto,5,success,100,4,4,130,138,0
11.005006,59520,,BS2DCE,,cal_roto,5,success,100,4,4,140,169,0
11.227352,59521,,BS2DCE,,cal_roto,5,success,100,4,4,211,296,0
11.435141,59522,,BS2DCE,,cal_roto,5,success,100,4,4,245,347,0
11.637872,59523,,BS2DCE,,cal_roto,5,success,100,4,4,251,367,0
11.849959,59524,,BS2DCE,,cal_roto,5,success,100,4,4,261,377,0
12.080211,59525,,BS2DCE,,cal_roto,5,success,100,4,4,193,291,0
12.230221,59526,,BS2DCE,,cal_roto,5,success,100,4,4,166,256,0
12.447123,59527,,BS2DCE,,cal_roto,5,success,100,4,4,124,192,0
12.625501,59528,,BS2DCE,,cal_roto,5,success,100,4,4,66,100,0
12.845087,59529,,BS2DCE,,cal_roto,5,success,100,4,4,97,152,0
13.027571,59530,,BS2DCE,,cal_roto,5,success,100,4,4,94,147,0
13.235321,59531,,BS2DCE,,cal_roto,5,success,100,4,4,237,355,0
13.437682,59532,,BS2DCE,,cal_roto,5,success,100,4,4,163,233,0
13.650517,59533,,BS2DCE,,cal_roto,5,success,100,4,4,209,312,0
