host_elapsed_s,sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
26.969301,59599,,BS2DCE,,0,ok,2603,2603,100,129,0
26.969301,59599,,BS2DCE,,2,ok,3038,3038,100,129,0
26.969301,59599,,BS2DCE,,5,ok,2710,2710,100,129,0
27.201303,59600,,BS2DCE,,0,ok,2683,2683,100,130,0
27.201303,59600,,BS2DCE,,2,ok,2934,2934,100,130,0
27.404728,59601,,BS2DCE,,0,ok,2830,2830,100,131,0
27.406079,59601,,BS2DCE,,2,ok,2905,2905,100,131,0
27.406079,59601,,BS2DCE,,5,ok,2792,2792,100,131,0
27.406079,59601,,BS2DCE,,7,ok,2740,2740,100,130,1
27.606497,59602,,BS2DCE,,0,ok,2847,2847,100,132,0
27.606497,59602,,BS2DCE,,2,ok,2848,2848,100,132,0
27.606497,59602,,BS2DCE,,5,ok,2781,2781,100,132,0
27.839056,59603,,BS2DCE,,0,ok,3008,3008,100,133,0
27.839056,59603,,BS2DCE,,2,ok,2863,2863,100,133,0
28.018648,59604,,BS2DCE,,2,ok,2885,2885,100,134,0
28.022176,59604,,BS2DCE,,0,ok,2948,2948,100,134,0
28.022176,59604,,BS2DCE,,5,ok,3055,3055,100,134,0
28.022176,59604,,BS2DCE,,7,ok,2852,2852,100,133,1
28.251539,59605,,BS2DCE,,0,ok,3146,3146,100,135,0
28.251539,59605,,BS2DCE,,2,ok,2845,2845,100,135,0
28.251539,59605,,BS2DCE,,5,ok,2745,2745,100,135,0
28.409046,59606,,BS2DCE,,0,ok,3133,3133,100,136,0
28.409046,59606,,BS2DCE,,2,ok,2715,2715,100,136,0
28.558956,59607,,BS2DCE,,0,ok,3202,3202,100,137,0
28.612028,59607,,BS2DCE,,2,ok,2702,2702,100,137,0
28.612028,59607,,BS2DCE,,5,ok,2383,2383,100,137,0
28.612028,59607,,BS2DCE,,7,ok,3243,3243,100,136,1
28.822091,59608,,BS2DCE,,0,ok,3941,3941,100,138,0
28.822091,59608,,BS2DCE,,2,ok,2672,2672,100,138,0
28.822091,59608,,BS2DCE,,7,ok,3388,3388,100,137,1
29.001449,59609,,BS2DCE,,0,ok,3305,3305,100,139,0
29.001449,59609,,BS2DCE,,2,ok,2908,2908,100,139,0
29.203734,59610,,BS2DCE,,0,ok,3197,3197,100,140,0
29.206172,59610,,BS2DCE,,2,ok,2874,2874,100,140,0
29.206172,59610,,BS2DCE,,5,ok,2070,2070,100,140,0
29.206172,59610,,BS2DCE,,7,ok,3627,3627,100,139,1
29.406841,59611,,BS2DCE,,0,ok,3126,3126,100,141,0
29.406841,59611,,BS2DCE,,2,ok,3042,3042,100,141,0
29.406841,59611,,BS2DCE,,5,ok,1994,1994,100,141,0
29.616331,59612,,BS2DCE,,0,ok,2991,2991,100,142,0
29.616331,59612,,BS2DCE,,2,ok,3000,3000,100,142,0
29.818655,59613,,BS2DCE,,0,ok,2931,2931,100,143,0
29.821164,59613,,BS2DCE,,2,ok,2967,2967,100,143,0
29.821164,59613,,BS2DCE,,5,ok,2563,2563,100,143,0
29.821164,59613,,BS2DCE,,7,ok,3758,3758,100,142,1
29.998903,59614,,BS2DCE,,0,ok,2859,2859,100,144,0
29.998903,59614,,BS2DCE,,2,ok,3049,3049,100,144,0
29.998903,59614,,BS2DCE,,5,ok,2596,2596,100,144,0
30.156775,59615,,BS2DCE,,0,ok,2541,2541,100,145,0
30.156775,59615,,BS2DCE,,2,ok,3141,3141,100,145,0
30.411275,59616,,BS2DCE,,0,ok,2522,2522,100,146,0
30.413754,59616,,BS2DCE,,2,ok,3116,3116,100,146,0
