host_elapsed_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_label,status,reason,raw_mm,filt_mm,pred_mm,resid_mm,tracker_quality_percent,solve_quality_percent
0.894911,59474,,BS2DCE,,cal_roto,5,A,ok,ok,3216,3216,0,0,100,100
0.894988,59474,,BS2DCE,,cal_roto,5,B,ok,ok,2624,2624,0,0,66,66
0.919511,59474,,BS2DCE,,cal_roto,5,C,ok,ok,2676,2676,0,0,100,100
0.921979,59474,,BS2DCE,,cal_roto,5,D,ok,ok,3356,3356,0,0,100,100
0.922079,59474,,BS2DCE,,cal_roto,5,E,ok,ok,3134,3134,0,0,100,100
0.923645,59474,,BS2DCE,,cal_roto,5,F,ok,ok,2385,2385,0,0,100,100
0.940915,59474,,BS2DCE,,cal_roto,5,G,ok,ok,2525,2525,0,0,100,100
0.94261,59474,,BS2DCE,,cal_roto,5,H,ok,ok,3222,3222,0,0,100,100
1.143448,59475,,BS2DCE,,cal_roto,5,A,ok,ok,2951,2951,0,0,100,100
1.145114,59475,,BS2DCE,,cal_roto,5,B,ok,ok,2073,2073,0,0,75,75
1.14744,59475,,BS2DCE,,cal_roto,5,C,ok,ok,2985,2985,0,0,100,100
1.1475,59475,,BS2DCE,,cal_roto,5,D,ok,ok,3563,3563,0,0,100,100
1.149518,59475,,BS2DCE,,cal_roto,5,E,ok,ok,2969,2969,0,0,100,100
1.174002,59475,,BS2DCE,,cal_roto,5,F,ok,ok,2683,2683,0,0,100,100
1.17572,59475,,BS2DCE,,cal_roto,5,G,reject,raw_outlier,3083,2525,0,0,75,75
1.638537,59476,,BS2DCE,,cal_roto,5,A,ok,ok,2838,2838,0,0,100,100
1.640044,59476,,BS2DCE,,cal_roto,5,B,ok,ok,2195,2195,0,0,80,80
1.642535,59476,,BS2DCE,,cal_roto,5,C,ok,ok,3030,3030,0,0,100,100
1.642583,59476,,BS2DCE,,cal_roto,5,D,ok,ok,3571,3571,0,0,100,100
1.644125,59476,,BS2DCE,,cal_roto,5,E,ok,ok,3193,3193,0,0,100,100
1.661568,59476,,BS2DCE,,cal_roto,5,F,ok,ok,2416,2416,0,0,100,100
1.663338,59476,,BS2DCE,,cal_roto,5,G,reject,raw_outlier,3177,2525,0,0,60,60
2.000431,59477,,BS2DCE,,cal_roto,5,A,ok,ok,2511,2511,0,0,100,100
2.002767,59477,,BS2DCE,,cal_roto,5,B,ok,ok,2544,2544,0,0,83,83
2.002831,59477,,BS2DCE,,cal_roto,5,C,ok,ok,3110,3110,0,0,100,100
2.00437,59477,,BS2DCE,,cal_roto,5,D,timeout,rx_timeout,0,3571,0,0,83,83
2.021713,59477,,BS2DCE,,cal_roto,5,E,ok,ok,2755,2755,0,0,100,100
2.024471,59477,,BS2DCE,,cal_roto,5,F,ok,ok,2355,2355,0,0,100,100
2.024524,59477,,BS2DCE,,cal_roto,5,G,reject,raw_outlier,3356,2525,0,0,50,50
2.025917,59477,,BS2DCE,,cal_roto,5,H,ok,ok,3280,3280,0,0,83,83
2.223515,59478,,BS2DCE,,cal_roto,5,A,ok,ok,2723,2723,0,0,100,100
2.225193,59478,,BS2DCE,,cal_roto,5,B,ok,ok,2609,2609,0,0,85,85
2.227779,59478,,BS2DCE,,cal_roto,5,C,ok,ok,3074,3074,0,0,100,100
2.227847,59478,,BS2DCE,,cal_roto,5,D,reject,raw_outlier,2957,3571,0,0,71,71
2.229384,59478,,BS2DCE,,cal_roto,5,E,ok,ok,2560,2560,0,0,100,100
2.254048,59478,,BS2DCE,,cal_roto,5,F,ok,ok,2511,2511,0,0,100,100
2.25574,59478,,BS2DCE,,cal_roto,5,G,reject,raw_outlier,3204,2525,0,0,42,42
2.486083,59479,,BS2DCE,,cal_roto,5,A,ok,ok,2623,2623,0,0,100,100
2.488805,59479,,BS2DCE,,cal_roto,5,B,ok,ok,2672,2672,0,0,87,87
2.488864,59479,,BS2DCE,,cal_roto,5,C,ok,ok,3060,3060,0,0,100,100
2.490668,59479,,BS2DCE,,cal_roto,5,D,reject,raw_outlier,2825,3571,0,0,62,62
2.492193,59479,,BS2DCE,,cal_roto,5,E,timeout,rx_timeout,0,2560,0,0,87,87
2.509115,59479,,BS2DCE,,cal_roto,5,F,ok,ok,2721,2721,0,0,100,100
2.510836,59479,,BS2DCE,,cal_roto,5,G,reject,raw_outlier,3020,2525,0,0,37,37
2.692785,59480,,BS2DCE,,cal_roto,5,A,ok,ok,2619,2619,0,0,100,100
2.692827,59480,,BS2DCE,,cal_roto,5,B,ok,ok,2760,2760,0,0,88,88
2.694479,59480,,BS2DCE,,cal_roto,5,C,ok,ok,2896,2896,0,0,100,100
2.719287,59480,,BS2DCE,,cal_roto,5,D,reject,raw_outlier,2762,3571,0,0,55,55
2.721045,59480,,BS2DCE,,cal_roto,5,E,reject,raw_outlier,3559,2560,0,0,77,77
2.722377,59480,,BS2DCE,,cal_roto,5,F,ok,ok,2714,2714,0,0,100,100
2.723732,59480,,BS2DCE,,cal_roto,5,G,ok,ok,2970,2970,0,0,44,44
2.72518,59480,,BS2DCE,,cal_roto,5,H,ok,ok,2729,2729,0,0,88,88
3.206593,59481,,BS2DCE,,cal_roto,5,A,ok,ok,2823,2823,0,0,100,100
