anchor,id,x_mm,y_mm,z_mm,z_solver_mm,d_anchor_mm,layer
A,0,0.0,0.0,-0.0,0.0,0.0,lower
B,1,2961.003440586195,0.0,-0.0,0.0,20.245838644386616,lower
C,2,3167.2485543331886,4507.052693801183,-0.0,0.0,32.30272935025367,lower
D,3,191.73997494415656,4650.6067461334105,-70.90507193322514,70.90507193322514,20.724157245846193,lower
E,4,106.8007189349905,-103.53800238296061,1441.4374819438542,-1441.4374819438542,5.949283808443747,upper
F,5,2882.5980731381346,-14.579808995668786,1418.2250256879045,-1418.2250256879045,-2.3878718885320436,upper
G,6,2958.7811274100472,4672.264243973856,1673.451606730163,-1673.451606730163,1.7846055586946996,upper
H,7,39.40638244124798,4623.629370937446,1420.8219289867116,-1420.8219289867116,-0.673004259016339,upper
