ID,total_epochs,solve_eligible_epochs_ge4,count_0,pct_0,count_1,pct_1,count_2,pct_2,count_3,pct_3,count_4,pct_4,count_5,pct_5,count_6,pct_6,count_7,pct_7,count_8,pct_8,pct_ge4,pct_ge7,pct_ge8
ID01,601,601,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.33277870216306155,449,74.70881863560732,150,24.958402662229616,100.0,99.66722129783693,24.958402662229616
ID02,601,601,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.16638935108153077,438,72.87853577371048,162,26.955074875207988,100.0,99.83361064891847,26.955074875207988
ID03,600,600,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,417,69.5,183,30.5,100.0,100.0,30.5
ID04,601,601,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.16638935108153077,251,41.76372712146423,349,58.069883527454245,100.0,99.83361064891847,58.069883527454245
ID05,601,601,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,441,73.37770382695507,160,26.622296173044926,100.0,100.0,26.622296173044926
ID06,600,600,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.16666666666666666,0,0.0,385,64.16666666666667,214,35.666666666666664,100.0,99.83333333333333,35.666666666666664
ID07,600,600,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,511,85.16666666666667,89,14.833333333333334,100.0,100.0,14.833333333333334
ID08,601,601,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.16638935108153077,483,80.36605657237936,117,19.467554076539102,100.0,99.83361064891847,19.467554076539102
ID09,601,601,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,388,64.55906821963394,213,35.44093178036606,100.0,100.0,35.44093178036606
ID11,601,601,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,445,74.04326123128119,156,25.9567387687188,100.0,100.0,25.9567387687188
ID12,601,601,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,444,73.87687188019967,157,26.123128119800334,100.0,100.0,26.123128119800334
ID13,601,601,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.16638935108153077,360,59.90016638935108,240,39.93344425956739,100.0,99.83361064891847,39.93344425956739
ID14,600,600,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.3333333333333333,419,69.83333333333333,179,29.833333333333332,100.0,99.66666666666667,29.833333333333332
ID15,600,600,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.16666666666666666,409,68.16666666666667,190,31.666666666666668,100.0,99.83333333333333,31.666666666666668
ID16,601,601,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.16638935108153077,431,71.71381031613977,169,28.119800332778702,100.0,99.83361064891847,28.119800332778702
ID17,601,601,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.16638935108153077,0,0.0,385,64.05990016638935,215,35.77371048252912,100.0,99.83361064891847,35.77371048252912
ID18,601,601,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,361,60.06655574043261,240,39.93344425956739,100.0,100.0,39.93344425956739
ID19,601,601,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,433,72.04658901830283,168,27.95341098169717,100.0,100.0,27.95341098169717
ID20,601,601,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,302,50.249584026622294,299,49.750415973377706,100.0,100.0,49.750415973377706
ID21,600,600,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,450,75.0,150,25.0,100.0,100.0,25.0
ID22,601,601,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.16638935108153077,385,64.05990016638935,215,35.77371048252912,100.0,99.83361064891847,35.77371048252912
ID23,601,601,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,410,68.21963394342762,191,31.78036605657238,100.0,100.0,31.78036605657238
ID24,601,601,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.16638935108153077,398,66.22296173044926,202,33.61064891846922,100.0,99.83361064891847,33.61064891846922
