anchor,oracle_d_i_mm,phase1_unconstrained_delta_i_mm,phase1c_common_mode_c_plus_e_i_mm,production_v4io_fitted_delay_mm
A,148.21526428758088,145.6064541713352,99.63407516744716,0.0
B,96.3449208622132,52.391936707055194,113.68825825925543,37.127097197321255
C,127.4154448056099,43.99269000098205,127.33774979143756,59.99999999999338
D,114.66452375873664,72.08018196359585,124.5107442518789,59.999999999999986
E,48.94449784696004,26.440884793780526,109.62530494698989,31.143226774707873
F,50.01522075676184,25.727022031680924,111.36188584987472,27.042519801587616
G,86.13006197923634,69.63413061812885,100.04169098589358,27.558723285689375
H,85.24679541836295,46.24683807383531,109.67861862456728,32.41907674793188
