capture_id,status,beta_s,score_median_3d_mm,n_overlap,coarse_beta_min_s,coarse_beta_max_s,coarse_step_s,refine_step_s,second_candidate_score_median_3d_mm,second_to_best_score_ratio,layout_name,tag,d_tag_track_median_mm,d_tag_track_p25_mm,d_tag_track_p75_mm,d_tag_track_iqr_mm,d_tag_track_p5_mm,d_tag_track_p95_mm
R03,ok,46.34758200000013,113.90013277761982,2251,-0.002418,56.391459999999995,0.05,0.005,142.24816879902878,1.2488850129503892,phase1c_common_mode,,,,,,,
R04,ok,47.30321100000013,102.66348970909449,2400,-0.001789,51.409379,0.05,0.005,124.45264025584737,1.2122385534379772,phase1c_common_mode,,,,,,,
R05,ok,48.71757800000014,102.95015813258804,2401,-0.002422,51.85916399999999,0.05,0.005,128.44477578404474,1.2476403933117086,phase1c_common_mode,,,,,,,
R06,ok,45.52379100000014,104.1993830246095,2401,-0.001209,49.16001100000001,0.05,0.005,151.96560693092195,1.4584117728895876,phase1c_common_mode,,,,,,,
R07,ok,45.27480400000014,101.30613025817829,2401,-0.000196,49.137575999999996,0.05,0.005,130.03213201272294,1.283556401585339,phase1c_common_mode,,,,,,,
R08,ok,44.83747700000013,96.78696897072471,2401,-0.002523,47.287713,0.05,0.005,137.4843653218087,1.42048425303404,phase1c_common_mode,,,,,,,
R09,ok,44.992439000000125,116.55936724240317,2400,-0.002561,62.536878,0.05,0.005,165.7331629345559,1.4218776822105448,phase1c_common_mode,,,,,,,
R10,ok,45.32070900000012,102.15989046320752,2400,-0.014291,48.38864099999999,0.05,0.005,121.34760575335129,1.1878204371906032,phase1c_common_mode,,,,,,,
R11,ok,45.532481000000125,109.82256586526658,2401,-0.002519,49.743836,0.05,0.005,118.71289341821648,1.080951737768145,phase1c_common_mode,,,,,,,
R12,ok,46.919825000000145,113.55866764741597,2400,-0.000175,48.02325499999999,0.05,0.005,128.5995399233131,1.1324502355258075,phase1c_common_mode,,,,,,,
R13,ok,44.91356400000014,96.56674869913877,2401,-0.001436,52.828924999999984,0.05,0.005,105.350040256233,1.0909556516649355,phase1c_common_mode,,,,,,,
R14,ok,45.59368200000013,100.67304427807026,2401,-0.001318,53.92812900000001,0.05,0.005,107.26919252220434,1.065520500462018,phase1c_common_mode,,,,,,,
R15,ok,43.65245200000014,115.08093736566917,2400,-0.002548,47.471643,0.05,0.005,122.5902641901086,1.0652525691598997,phase1c_common_mode,,,,,,,
R16,ok,44.49403900000013,117.9803212251924,2401,-0.000961,49.495677,0.05,0.005,124.40100102002522,1.0544216164878675,phase1c_common_mode,,,,,,,
R17,ok,45.538380000000124,101.33606206597874,2401,-0.00162,50.101534,0.05,0.005,111.19070635402944,1.0972471604593679,phase1c_common_mode,,,,,,,
R01,,,,,,,,,,,production_v4io,BS2DCE,89.12465460364928,61.21233349191196,122.14006877661029,60.92773528469833,36.22479287122073,183.25101912904245
R01,,,,,,,,,,,production_v4io,BSDC91,31.057191643431004,11.099130426908888,63.58548678157726,52.486356354668374,-10.398582733826377,120.9861617717562
R02,,,,,,,,,,,production_v4io,BS2DCE,90.5790065998399,63.50607751679662,122.0759400972591,58.569862580462484,35.1375830268291,188.0350432250939
R02,,,,,,,,,,,production_v4io,BSDC91,43.75052371372346,24.93398432531297,79.41988518580199,54.48590086048902,-2.2903401083604042,145.44236970158238
R03,,,,,,,,,,,production_v4io,BS2DCE,77.80102442851145,56.202213956065975,114.1607304006077,57.95851644454173,29.00217711456684,185.2384838696012
R03,,,,,,,,,,,production_v4io,BSDC91,35.746449236409724,13.462668428760697,67.0997709064387,53.63710247767801,-9.811338682108568,120.4257784636304
R04,,,,,,,,,,,production_v4io,BS2DCE,69.33947982694689,43.73396162930811,109.21069241588663,65.47673078657851,14.22503244976435,169.30839416227235
R04,,,,,,,,,,,production_v4io,BSDC91,29.653186030122207,5.954126701862247,56.42761103074558,50.47348432888333,-29.034790706717377,134.51162145062986
R05,,,,,,,,,,,production_v4io,BS2DCE,80.67384051090494,59.30887329867453,112.34979838319855,53.04092508452402,35.774687109144544,161.78005777379076
R05,,,,,,,,,,,production_v4io,BSDC91,40.38510094819953,23.471779828189785,62.53343829251069,39.0616584643209,0.7906659770969768,104.5386938744704
R06,,,,,,,,,,,production_v4io,BS2DCE,80.89752234115878,60.20009035181023,103.62243004258733,43.42233969077709,33.298662062445764,147.50111032609308
R06,,,,,,,,,,,production_v4io,BSDC91,42.87677095272108,23.988273084281026,64.67105631749614,40.68278323321511,-2.108420069914126,101.92439120864904
R07,,,,,,,,,,,production_v4io,BS2DCE,83.45197199504358,65.69626422177811,104.28686159708823,38.590597375310125,41.414524119132565,136.8101120849134
R07,,,,,,,,,,,production_v4io,BSDC91,38.156823464358446,22.125018719290043,55.99942166346341,33.87440294417337,0.6761318663972693,89.44429702737034
R08,,,,,,,,,,,production_v4io,BS2DCE,60.92018187441996,36.61566793149939,96.24602111226048,59.63035318076109,4.286828104587673,149.05542458548646
R08,,,,,,,,,,,production_v4io,BSDC91,20.62353208674009,-2.1663994610473334,45.80870171960728,47.97510118065461,-37.545332835462084,90.22045241562694
R09,,,,,,,,,,,production_v4io,BS2DCE,96.58046401912986,75.4380858462895,123.27993995507497,47.84185410878547,46.581099833366466,152.27871727635576
R09,,,,,,,,,,,production_v4io,BSDC91,52.83065970402426,25.96745171897787,82.48296693998242,56.51551522100455,-8.454495456498046,130.5745915606317
R10,,,,,,,,,,,production_v4io,BS2DCE,72.58645538655747,46.045637418075955,105.58525554125877,59.53961812318282,18.527356897595634,145.2970647383224
R10,,,,,,,,,,,production_v4io,BSDC91,26.443850291592945,4.425470350100213,52.58141040274644,48.15594005264623,-20.93079186387235,89.63896058520685
R11,,,,,,,,,,,production_v4io,BS2DCE,76.93933898373639,55.383237114828596,98.01451608301252,42.63127896818393,35.50996980645088,133.13169959490017
R11,,,,,,,,,,,production_v4io,BSDC91,27.762972512357052,4.938211791861828,51.46818301340677,46.52997122154495,-21.406369346752733,97.21872325663294
R12,,,,,,,,,,,production_v4io,BS2DCE,60.403548908639294,39.673804757819326,86.9765918560449,47.30278709822558,5.983947966486552,130.48551148772685
R12,,,,,,,,,,,production_v4io,BSDC91,13.639686388890919,-9.001823874346794,46.78904571794497,55.79086959229177,-36.18081975440846,92.71411267024406
R13,,,,,,,,,,,production_v4io,BS2DCE,81.6719415547027,57.80047405074512,106.59162659205164,48.791152541306516,27.101962615694635,144.8277501426719
R13,,,,,,,,,,,production_v4io,BSDC91,37.30112366818916,12.606136927337516,60.06089239340863,47.45475546607111,-26.586234523927946,82.92596970696084
R14,,,,,,,,,,,production_v4io,BS2DCE,61.03429710710796,38.752712235865516,82.89934678767524,44.146634551809726,7.453456737725867,126.40038478266847
R14,,,,,,,,,,,production_v4io,BSDC91,19.415921031400778,-3.9640805119704385,44.87256002179197,48.836640533762406,-33.70678038653205,91.60257871453209
R15,,,,,,,,,,,production_v4io,BS2DCE,66.07917929987542,40.55340517176811,91.07661236487314,50.52320719310503,10.944844756054996,147.0660407883176
R15,,,,,,,,,,,production_v4io,BSDC91,29.884497292223923,1.3338261451408884,58.70206269985495,57.36823655471406,-34.56922665748967,95.28108349157586
R16,,,,,,,,,,,production_v4io,BS2DCE,60.65835417123661,40.39871251741064,85.11260263809167,44.713890120681036,11.639684483738645,162.6893958483113
R16,,,,,,,,,,,production_v4io,BSDC91,18.623228691779396,-6.000734636838825,46.6839667654364,52.68470140227522,-37.03296842904881,99.62648743593714
R17,,,,,,,,,,,production_v4io,BS2DCE,77.53495618362685,50.01984834862156,101.88250856071011,51.86266021208855,22.905573663463414,141.52601860441692
R17,,,,,,,,,,,production_v4io,BSDC91,35.08474042063547,11.098680641824249,63.24893036653417,52.15024972470992,-26.029125650032928,111.89095988760897
R01,,,,,,,,,,,phase1c_common_mode,BS2DCE,111.15591429309364,82.46110803038441,142.3826582169841,59.9215501865997,55.54031615536543,207.4562733823704
R01,,,,,,,,,,,phase1c_common_mode,BSDC91,52.776278110490324,30.783789850218433,83.57210952413837,52.788319673919936,8.192498026081221,143.39835619792876
R02,,,,,,,,,,,phase1c_common_mode,BS2DCE,111.7576303703004,83.15125504676124,146.08856433823314,62.937309291471905,53.70738711185432,209.773899975263
R02,,,,,,,,,,,phase1c_common_mode,BSDC91,64.19059344633149,45.85380948191887,105.28794653305512,59.43413705113625,18.015519783574394,170.22248714030118
R03,,,,,,,,,,,phase1c_common_mode,BS2DCE,97.23600367674449,74.17398927174337,137.33683393271087,63.16284466096751,45.656004885227965,210.85467436456648
R03,,,,,,,,,,,phase1c_common_mode,BSDC91,55.68802306132882,30.798333835820955,88.72655478450046,57.92822094867951,6.075766102763508,138.54378570169453
R04,,,,,,,,,,,phase1c_common_mode,BS2DCE,90.61305208424297,63.71650840400443,130.61030037596277,66.89379197195834,28.97836044912819,195.46566401953137
R04,,,,,,,,,,,phase1c_common_mode,BSDC91,49.58142338973887,25.479467574509304,75.5043256621818,50.0248580876725,-14.242063645546896,152.68662818388228
R05,,,,,,,,,,,phase1c_common_mode,BS2DCE,103.98264956010075,80.64439644457924,133.9368899677364,53.29249352315715,54.77040522052197,181.32130327028753
R05,,,,,,,,,,,phase1c_common_mode,BSDC91,60.397628317987106,42.63285739349996,82.78803224966079,40.155174856160826,19.804285643968527,123.43458069731876
R06,,,,,,,,,,,phase1c_common_mode,BS2DCE,102.43277936745963,79.92083943020629,123.99065427571003,44.06981484550374,54.86258217762706,169.13873414898282
R06,,,,,,,,,,,phase1c_common_mode,BSDC91,62.11553562370839,42.15924898604864,84.60852219920712,42.44927321315848,16.499997452159644,121.55566057371266
R07,,,,,,,,,,,phase1c_common_mode,BS2DCE,103.98573700973982,86.68094286731952,126.32769140757208,39.64674854025256,60.99641641008038,158.3552803032534
R07,,,,,,,,,,,phase1c_common_mode,BSDC91,56.29496068983267,38.474654991716186,76.229392014352,37.754737022635815,15.827327963429932,110.57871031798015
R08,,,,,,,,,,,phase1c_common_mode,BS2DCE,81.08710318612397,53.39430698025619,116.59045577770613,63.196148797449936,18.508413161799446,170.6705393456939
R08,,,,,,,,,,,phase1c_common_mode,BSDC91,37.2197776918347,12.399364970886396,63.497926439890556,51.09856146900416,-28.007228272847417,110.27269289218668
R09,,,,,,,,,,,phase1c_common_mode,BS2DCE,116.24444552864614,96.06041340248498,141.28566081676033,45.225247414275344,68.16238606103428,173.5188125320073
R09,,,,,,,,,,,phase1c_common_mode,BSDC91,70.34562916858954,45.88548086286704,99.75979215635682,53.87431129348978,11.704339162595359,145.44650621013486
R10,,,,,,,,,,,phase1c_common_mode,BS2DCE,90.04224226800855,63.180351099382776,122.39823416360866,59.21788306422589,34.3373909362535,162.32592996702445
R10,,,,,,,,,,,phase1c_common_mode,BSDC91,41.851706140615335,19.795991218319777,69.76973629191599,49.97374507359621,-9.059634334361476,103.24342187544904
R11,,,,,,,,,,,phase1c_common_mode,BS2DCE,93.8458185617696,70.24763454206776,116.09881597141946,45.8511814293517,47.27158227229546,152.87155110007316
R11,,,,,,,,,,,phase1c_common_mode,BSDC91,41.51163240752578,17.627890450713636,68.31735913827971,50.68946868756608,-10.758674643329709,117.45985748790632
R12,,,,,,,,,,,phase1c_common_mode,BS2DCE,79.26682051653518,54.75408218333738,105.89683754167157,51.14275535833419,16.334061319956042,156.32248978595558
R12,,,,,,,,,,,phase1c_common_mode,BSDC91,29.858920463312643,3.390698834001232,63.84751451373989,60.456815679738654,-30.04642909523389,113.71029655154186
R13,,,,,,,,,,,phase1c_common_mode,BS2DCE,102.4099905316407,77.9349818814816,126.80702565129486,48.87204376981326,41.56364265744965,163.58554051936642
R13,,,,,,,,,,,phase1c_common_mode,BSDC91,56.01424528904586,31.083570563402745,78.72655336910623,47.64298280570348,-16.898420302744498,105.69868797342437
R14,,,,,,,,,,,phase1c_common_mode,BS2DCE,77.69180205302207,55.830204846924325,102.6335408058458,46.80333595892147,20.88147276208521,148.83300302646182
R14,,,,,,,,,,,phase1c_common_mode,BSDC91,35.02536525889481,11.073051676486596,63.677472307128475,52.60442063064188,-25.728730825210945,115.0364217930243
R15,,,,,,,,,,,phase1c_common_mode,BS2DCE,82.66416069774564,56.53651523303859,109.52179677964699,52.9852815466084,22.2094074506166,167.24271051009674
R15,,,,,,,,,,,phase1c_common_mode,BSDC91,46.302013518544314,15.369153598111343,75.71702764986229,60.34787405175095,-26.74305513936304,110.36427886900695
R16,,,,,,,,,,,phase1c_common_mode,BS2DCE,78.57629453461448,57.41684603711929,108.02570234888105,50.60885631176176,22.54930197554047,192.24969739694632
R16,,,,,,,,,,,phase1c_common_mode,BSDC91,36.82932191352181,8.00708008786149,67.07394137293845,59.06686128507696,-31.92201532997742,130.799456017149
R17,,,,,,,,,,,phase1c_common_mode,BS2DCE,96.64074120640277,67.14321091437645,123.04240506657311,55.89919415219666,32.97632383837,162.55987846014585
R17,,,,,,,,,,,phase1c_common_mode,BSDC91,52.200299246670625,26.535695964020697,80.51295955873121,53.977263594710514,-17.064265424085903,130.41149374447832
