capture_id,status,beta_s,score_median_3d_mm,n_overlap,coarse_beta_min_s,coarse_beta_max_s,coarse_step_s,refine_step_s,second_candidate_score_median_3d_mm,second_to_best_score_ratio,layout_name,tag,d_tag_track_median_mm,d_tag_track_p25_mm,d_tag_track_p75_mm,d_tag_track_iqr_mm,d_tag_track_p5_mm,d_tag_track_p95_mm
R01,ok,37.69795600000013,108.39170214964055,2401,-0.002044,71.64334799999999,0.05,0.005,121.06954442879089,1.1169632179190978,production_v4io,,,,,,,
R02,ok,46.51735800000014,113.84710676844666,2401,-0.002642,54.264611,0.05,0.005,126.92185732084705,1.114844820597796,production_v4io,,,,,,,
R03,ok,46.36758200000014,105.50058235559186,2251,-0.002418,56.391459999999995,0.05,0.005,135.92348910604446,1.2883671925896254,production_v4io,,,,,,,
R04,ok,47.308211000000135,102.7896691237072,2400,-0.001789,51.409379,0.05,0.005,124.14671608764002,1.2077742553897088,production_v4io,,,,,,,
R05,ok,48.70257800000013,104.82882423817624,2401,-0.002422,51.85916399999999,0.05,0.005,128.97340092430255,1.2303238337508073,production_v4io,,,,,,,
R06,ok,45.52379100000012,100.57461230207643,2401,-0.001209,49.16001100000001,0.05,0.005,148.29972691279133,1.4745244701254452,production_v4io,,,,,,,
R07,ok,45.27980400000014,99.56954650796317,2401,-0.000196,49.137575999999996,0.05,0.005,126.74720080645149,1.2729514721282251,production_v4io,,,,,,,
R08,ok,44.83747700000013,91.9483363740347,2401,-0.002523,47.287713,0.05,0.005,131.254933470447,1.4274856799639946,production_v4io,,,,,,,
R09,ok,44.97743900000012,121.31830082253418,2400,-0.002561,62.536878,0.05,0.005,170.73786245297808,1.407354548286457,production_v4io,,,,,,,
R10,ok,45.33570900000013,90.3808362629265,2400,-0.014291,48.38864099999999,0.05,0.005,113.30727817256735,1.25366485703834,production_v4io,,,,,,,
R11,ok,45.52248100000012,101.86452889462547,2401,-0.002519,49.743836,0.05,0.005,111.35816166757937,1.0931986126669733,production_v4io,,,,,,,
R12,ok,46.92482500000012,102.44217139036925,2400,-0.000175,48.02325499999999,0.05,0.005,116.63378731351885,1.138532947228057,production_v4io,,,,,,,
R13,ok,44.898564000000135,98.05662628756161,2401,-0.001436,52.828924999999984,0.05,0.005,108.07457354875945,1.1021649187870193,production_v4io,,,,,,,
R14,ok,45.59868200000013,88.36328580849488,2401,-0.001318,53.92812900000001,0.05,0.005,96.06172641046085,1.0871226158186376,production_v4io,,,,,,,
R15,ok,43.647452000000136,106.1794478586041,2400,-0.002548,47.471643,0.05,0.005,114.28096774594425,1.0763002638526495,production_v4io,,,,,,,
R16,ok,44.49903900000013,103.74132200069491,2401,-0.000961,49.495677,0.05,0.005,111.75773609332157,1.0772731052393276,production_v4io,,,,,,,
R17,ok,45.52338000000012,103.586426657957,2401,-0.00162,50.101534,0.05,0.005,111.8079794417894,1.0793690162802894,production_v4io,,,,,,,
R01,ok,37.69295600000013,111.54310458451896,2401,-0.002044,71.64334799999999,0.05,0.005,124.64211584716165,1.117434522837019,phase1c_common_mode,,,,,,,
R02,ok,46.51735800000014,118.41957362845932,2401,-0.002642,54.264611,0.05,0.005,131.31781220159675,1.1089198194008498,phase1c_common_mode,,,,,,,
