case_id,layout_name,ID,frame_index,d_tag_mm,residual_rms_mm,anchors_input
production_v4io_joint,production_v4io,ID01,0,28.95637686066287,64.09851890244019,8
production_v4io_joint,production_v4io,ID01,20,1.0262752397213006,69.057924590448,7
production_v4io_joint,production_v4io,ID01,40,13.425381219752467,90.71961946217363,8
production_v4io_joint,production_v4io,ID01,60,33.86542091950584,80.65915452924872,8
production_v4io_joint,production_v4io,ID01,80,-18.230630582101533,55.495083570314144,8
production_v4io_joint,production_v4io,ID01,100,10.84171312195172,87.1366589466499,8
production_v4io_joint,production_v4io,ID01,120,34.89142328847157,68.55195723977187,8
production_v4io_joint,production_v4io,ID01,140,-4.56314086133078,171.20107984258593,8
production_v4io_joint,production_v4io,ID01,160,15.884602018251845,69.80048716149427,8
production_v4io_joint,production_v4io,ID01,180,38.013192506940534,71.71686442009418,8
production_v4io_joint,production_v4io,ID01,200,28.302280251666666,167.31373313023073,8
production_v4io_joint,production_v4io,ID01,220,6.296913853743847,49.91903633853166,8
production_v4io_joint,production_v4io,ID01,240,-10.629994717530133,84.19394553181613,8
production_v4io_joint,production_v4io,ID01,260,3.7547421720089074,180.66040633759107,8
production_v4io_joint,production_v4io,ID01,280,-3.124095561755474,79.91758466227519,8
production_v4io_joint,production_v4io,ID01,300,18.656519913277073,75.36621312219327,8
production_v4io_joint,production_v4io,ID01,320,31.0277582454386,82.40259060826294,7
production_v4io_joint,production_v4io,ID01,340,15.19193836356134,77.43946390603068,8
production_v4io_joint,production_v4io,ID01,360,38.02121758716671,90.77801425923673,8
production_v4io_joint,production_v4io,ID01,380,46.817778484300334,62.355752831688754,8
production_v4io_joint,production_v4io,ID01,400,24.411971447931208,77.79106483196448,8
production_v4io_joint,production_v4io,ID01,420,39.29928350503588,76.72577902885625,8
production_v4io_joint,production_v4io,ID01,440,58.904603835896914,59.46659225641771,8
production_v4io_joint,production_v4io,ID01,460,11.66547115710121,71.25591466271452,8
production_v4io_joint,production_v4io,ID01,480,19.67163035668964,89.63951293032967,8
production_v4io_joint,production_v4io,ID01,500,24.2903218927648,82.37261898159936,7
production_v4io_joint,production_v4io,ID01,520,0.732173939502663,93.3296960332021,8
production_v4io_joint,production_v4io,ID01,540,30.493412313949616,58.249554267505516,8
production_v4io_joint,production_v4io,ID01,560,12.309883606356298,68.43438034255581,8
production_v4io_joint,production_v4io,ID01,580,32.51495666927991,62.40336786543835,8
production_v4io_joint,production_v4io,ID01,600,11.251828165725827,89.11749684253307,8
production_v4io_joint,production_v4io,ID01,620,-4.791739170151375,77.17108811683646,8
production_v4io_joint,production_v4io,ID01,640,24.936586894427307,58.88360658571707,8
production_v4io_joint,production_v4io,ID01,660,-20.742605768030778,73.47648228457109,8
production_v4io_joint,production_v4io,ID01,680,6.919879218308894,83.2047293622568,8
production_v4io_joint,production_v4io,ID01,700,22.614242913103645,86.03930092701394,8
production_v4io_joint,production_v4io,ID01,720,42.17713484758378,102.05904465565759,8
