version,solver,solver_family,eval_set,n_sessions,frames_solved_total,frames_input_total,err_3d_mean_mm,err_3d_median_mm,err_3d_p75_mm,err_3d_p90_mm,err_3d_p95_mm,err_3d_p99_mm,err_3d_max_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,d3_std_median_mm,radial_p95_median_mm,residual_rms_median_mm,filter_rejections_total
v1-old,T1+F0,external_position_filter,all8,24,28818,28818,169.60716387775116,157.9065382482608,230.87852010874886,281.19949175335466,327.7662049924318,394.2372440598721,412.2109753428258,193.3283236438886,53.87237906385748,140.5053761659069,63.037464879098266,117.50529380764591,88.65564042376843,0
v1-old,T1+F1,external_position_filter,all8,24,28818,28818,167.17118448568226,159.6393054971992,232.49326697925932,267.93052897931307,322.70140734865004,388.928621813759,406.08283534726286,191.09211863595382,52.898764033926,143.14349485664889,32.2950231418025,58.54035627094741,88.65564042376843,0
v1-old,T1+F2,external_position_filter,all8,24,28818,28818,167.1714552236892,159.6393054971992,232.494891407301,267.93052897931307,322.70140734865004,388.928621813759,406.08283534726286,191.09244978982778,52.898764033926,143.14349485664889,32.2950231418025,58.54035627094741,88.65564042376843,2
v1-old,T1+F3,external_position_filter,all8,24,28818,28818,167.67517815536345,159.1030061393129,232.92813657423744,271.32183590772837,323.518561688601,389.48593943596745,406.6943208927528,191.60634836505068,53.210862002543365,142.5108760681719,37.08145824215319,67.85184041589969,88.65564042376843,3
v1-old,T1+F4,external_position_filter,all8,24,28818,28818,166.72777764312335,159.74441049031134,231.23812900486104,265.8505341264015,322.2948271478487,388.46086638381564,405.5530356785098,190.6143204674706,53.03964979752565,143.31331733471666,23.80437600997446,43.52193305057317,88.65564042376843,2
v1-old,T1+F5,external_position_filter,all8,24,28818,28818,166.2740997047326,160.2272595188183,231.75824539135024,264.39051496903517,321.7763287211159,386.74253350378825,403.4314897883245,190.18586349953603,52.88466502652095,143.91011098181662,21.013875327040996,38.11369609294966,88.65564042376843,0
v1-old,T2+F0,external_position_filter,all8,24,28818,28818,169.585364863997,157.54042823595933,230.52514108569284,280.60304722937684,327.6599839402525,394.59431086634464,412.72261228303984,193.20069652430666,53.68629349928474,140.80981836076694,62.85817666612623,118.4857736049253,88.67017000425598,0
v1-old,T2+F1,external_position_filter,all8,24,28818,28818,167.0646267908914,159.45398075938866,232.10239563075663,267.20534684857427,322.874033590247,389.4062079125076,406.6711401879263,190.91890348018404,52.75323291598083,143.2900176087287,33.633892151715415,60.71684650003843,88.67017000425598,0
v1-old,T2+F2,external_position_filter,all8,24,28818,28818,167.0730125075132,159.45398075938866,232.1527099304875,267.20534684857427,322.874033590247,389.4062079125076,406.6711401879263,190.92918828935734,52.75323291598083,143.2900176087287,33.633892151715415,60.71684650003843,88.67017000425598,2
v1-old,T2+F3,external_position_filter,all8,24,28818,28818,167.55920982169638,158.769922824807,233.28398891574884,269.60413967563045,323.3638224651881,389.68837942425705,407.0159887557761,191.33884139782782,53.10657616156773,142.67673982448605,38.51561991188911,69.09110548151938,88.67017000425598,3
