version,solver,solver_family,eval_set,n_positions,metric,value_mm,unit
v1-old,T1+F0,external_position_filter,all8,24,mean_3d_error_mm,169.60716387775116,mm
v1-old,T1+F0,external_position_filter,all8,24,rmse_3d_error_mm,193.3283236438886,mm
v1-old,T1+F0,external_position_filter,all8,24,p50_3d_error_mm,157.9065382482608,mm
v1-old,T1+F0,external_position_filter,all8,24,p90_3d_error_mm,281.19949175335466,mm
v1-old,T1+F0,external_position_filter,all8,24,p95_3d_error_mm,327.7662049924318,mm
v1-old,T1+F0,external_position_filter,all8,24,p99_3d_error_mm,394.2372440598721,mm
v1-old,T1+F0,external_position_filter,all8,24,max_3d_error_mm,412.2109753428258,mm
v1-old,T1+F0,external_position_filter,all8,24,repeatability_d3_std_p50_mm,63.037464879098266,mm
v1-old,T1+F0,external_position_filter,all8,24,repeatability_d3_std_p95_mm,94.92245540802102,mm
v1-old,T1+F1,external_position_filter,all8,24,mean_3d_error_mm,167.17118448568226,mm
v1-old,T1+F1,external_position_filter,all8,24,rmse_3d_error_mm,191.09211863595382,mm
v1-old,T1+F1,external_position_filter,all8,24,p50_3d_error_mm,159.6393054971992,mm
v1-old,T1+F1,external_position_filter,all8,24,p90_3d_error_mm,267.93052897931307,mm
v1-old,T1+F1,external_position_filter,all8,24,p95_3d_error_mm,322.70140734865004,mm
v1-old,T1+F1,external_position_filter,all8,24,p99_3d_error_mm,388.928621813759,mm
v1-old,T1+F1,external_position_filter,all8,24,max_3d_error_mm,406.08283534726286,mm
v1-old,T1+F1,external_position_filter,all8,24,repeatability_d3_std_p50_mm,32.2950231418025,mm
v1-old,T1+F1,external_position_filter,all8,24,repeatability_d3_std_p95_mm,54.127397543152256,mm
v1-old,T1+F2,external_position_filter,all8,24,mean_3d_error_mm,167.1714552236892,mm
v1-old,T1+F2,external_position_filter,all8,24,rmse_3d_error_mm,191.09244978982778,mm
v1-old,T1+F2,external_position_filter,all8,24,p50_3d_error_mm,159.6393054971992,mm
v1-old,T1+F2,external_position_filter,all8,24,p90_3d_error_mm,267.93052897931307,mm
v1-old,T1+F2,external_position_filter,all8,24,p95_3d_error_mm,322.70140734865004,mm
v1-old,T1+F2,external_position_filter,all8,24,p99_3d_error_mm,388.928621813759,mm
v1-old,T1+F2,external_position_filter,all8,24,max_3d_error_mm,406.08283534726286,mm
v1-old,T1+F2,external_position_filter,all8,24,repeatability_d3_std_p50_mm,32.2950231418025,mm
v1-old,T1+F2,external_position_filter,all8,24,repeatability_d3_std_p95_mm,53.306783849217965,mm
v1-old,T1+F3,external_position_filter,all8,24,mean_3d_error_mm,167.67517815536345,mm
v1-old,T1+F3,external_position_filter,all8,24,rmse_3d_error_mm,191.60634836505068,mm
v1-old,T1+F3,external_position_filter,all8,24,p50_3d_error_mm,159.1030061393129,mm
v1-old,T1+F3,external_position_filter,all8,24,p90_3d_error_mm,271.32183590772837,mm
v1-old,T1+F3,external_position_filter,all8,24,p95_3d_error_mm,323.518561688601,mm
v1-old,T1+F3,external_position_filter,all8,24,p99_3d_error_mm,389.48593943596745,mm
v1-old,T1+F3,external_position_filter,all8,24,max_3d_error_mm,406.6943208927528,mm
v1-old,T1+F3,external_position_filter,all8,24,repeatability_d3_std_p50_mm,37.08145824215319,mm
v1-old,T1+F3,external_position_filter,all8,24,repeatability_d3_std_p95_mm,59.68136777971148,mm
v1-old,T1+F4,external_position_filter,all8,24,mean_3d_error_mm,166.72777764312335,mm
v1-old,T1+F4,external_position_filter,all8,24,rmse_3d_error_mm,190.6143204674706,mm
v1-old,T1+F4,external_position_filter,all8,24,p50_3d_error_mm,159.74441049031134,mm
v1-old,T1+F4,external_position_filter,all8,24,p90_3d_error_mm,265.8505341264015,mm
v1-old,T1+F4,external_position_filter,all8,24,p95_3d_error_mm,322.2948271478487,mm
v1-old,T1+F4,external_position_filter,all8,24,p99_3d_error_mm,388.46086638381564,mm
v1-old,T1+F4,external_position_filter,all8,24,max_3d_error_mm,405.5530356785098,mm
v1-old,T1+F4,external_position_filter,all8,24,repeatability_d3_std_p50_mm,23.80437600997446,mm
v1-old,T1+F4,external_position_filter,all8,24,repeatability_d3_std_p95_mm,42.72473185786609,mm
v1-old,T1+F5,external_position_filter,all8,24,mean_3d_error_mm,166.2740997047326,mm
v1-old,T1+F5,external_position_filter,all8,24,rmse_3d_error_mm,190.18586349953603,mm
v1-old,T1+F5,external_position_filter,all8,24,p50_3d_error_mm,160.2272595188183,mm
v1-old,T1+F5,external_position_filter,all8,24,p90_3d_error_mm,264.39051496903517,mm
v1-old,T1+F5,external_position_filter,all8,24,p95_3d_error_mm,321.7763287211159,mm
v1-old,T1+F5,external_position_filter,all8,24,p99_3d_error_mm,386.74253350378825,mm
v1-old,T1+F5,external_position_filter,all8,24,max_3d_error_mm,403.4314897883245,mm
v1-old,T1+F5,external_position_filter,all8,24,repeatability_d3_std_p50_mm,21.013875327040996,mm
v1-old,T1+F5,external_position_filter,all8,24,repeatability_d3_std_p95_mm,40.6216541046826,mm
v1-old,T2+F0,external_position_filter,all8,24,mean_3d_error_mm,169.585364863997,mm
v1-old,T2+F0,external_position_filter,all8,24,rmse_3d_error_mm,193.20069652430666,mm
v1-old,T2+F0,external_position_filter,all8,24,p50_3d_error_mm,157.54042823595933,mm
v1-old,T2+F0,external_position_filter,all8,24,p90_3d_error_mm,280.60304722937684,mm
v1-old,T2+F0,external_position_filter,all8,24,p95_3d_error_mm,327.6599839402525,mm
v1-old,T2+F0,external_position_filter,all8,24,p99_3d_error_mm,394.59431086634464,mm
v1-old,T2+F0,external_position_filter,all8,24,max_3d_error_mm,412.72261228303984,mm
v1-old,T2+F0,external_position_filter,all8,24,repeatability_d3_std_p50_mm,62.85817666612623,mm
v1-old,T2+F0,external_position_filter,all8,24,repeatability_d3_std_p95_mm,97.28142792089777,mm
