version,solver,solver_family,eval_set,median_radial_signed_mm,median_tangential_mm,radially_outward_fraction,radial_slope_mm_per_m,radial_r2
v1-old,T1+F0,external_position_filter,all8,130.010266422219,47.63853395224864,0.875,248.9601298169349,0.4297792786669813
v1-old,T1+F1,external_position_filter,all8,132.95068484347414,46.43510920039694,0.875,239.7299934384105,0.4321710167008901
v1-old,T1+F2,external_position_filter,all8,132.95068484347414,46.43510920039694,0.875,239.7303438388921,0.432169955211568
v1-old,T1+F3,external_position_filter,all8,132.15516517151542,46.399565565979174,0.875,241.42716066210403,0.43236606109704845
v1-old,T1+F4,external_position_filter,all8,132.0923605594394,46.30506795966615,0.875,239.01913218089007,0.432260744971687
v1-old,T1+F5,external_position_filter,all8,132.67412206028533,46.415158670573746,0.875,237.71843699764275,0.43263939914968275
v1-old,T2+F0,external_position_filter,all8,130.62968756383825,47.98219093320956,0.875,248.77872689525728,0.4303626659064973
v1-old,T2+F1,external_position_filter,all8,133.25572024011072,46.7906834865789,0.875,238.91966002317756,0.43192388382133984
v1-old,T2+F2,external_position_filter,all8,133.25572024011072,46.7906834865789,0.875,238.93085119278643,0.431889434342397
v1-old,T2+F3,external_position_filter,all8,132.88651286325432,46.71476368737128,0.875,240.53273752329392,0.43191991007023467
v1-old,T2+F4,external_position_filter,all8,132.37451683883907,46.55390048492228,0.875,238.21064145679037,0.43135839699761347
v1-old,T2+F5,external_position_filter,all8,133.09296500050021,46.34558962623932,0.875,237.1772802668389,0.43220035605377016
v1-old,T3+F0,external_position_filter,all8,85.07380821785468,58.88300180588793,0.875,233.138973632125,0.4575331831367012
v1-old,T3+F1,external_position_filter,all8,84.29775076810759,57.905174431866584,0.875,223.30236170183113,0.4587057776047401
v1-old,T3+F2,external_position_filter,all8,84.29775076810759,57.905174431866584,0.875,223.30236170183113,0.4587057776047401
v1-old,T3+F3,external_position_filter,all8,84.40903114710554,57.59046210712364,0.875,224.40715672823717,0.45530606767138593
v1-old,T3+F4,external_position_filter,all8,84.23164341173734,57.90920971795077,0.875,222.8344600689976,0.4590296335375056
v1-old,T3+F5,external_position_filter,all8,84.32600938133439,57.81210614558144,0.875,221.3601791635856,0.4581253336859564
v1-old,T4+F0,external_position_filter,all8,104.51751054049316,54.24831161380892,0.875,244.33212614973112,0.650127434985773
v1-old,T4+F1,external_position_filter,all8,107.18156400288018,50.681857252434924,0.875,236.3438358301798,0.6442765857156083
v1-old,T4+F2,external_position_filter,all8,107.18156400288018,50.681857252434924,0.875,236.3438358301798,0.6442765857156083
v1-old,T4+F3,external_position_filter,all8,106.85449405629467,51.021388127634125,0.875,237.1184955315715,0.6416730773734396
v1-old,T4+F4,external_position_filter,all8,106.63919549521077,49.815089210915865,0.875,236.07665950506114,0.6467498957380797
v1-old,T4+F5,external_position_filter,all8,107.28030434707051,49.68299906699078,0.875,234.53658432456368,0.6460980514797823
v1-old,T5a,native_range_filter,all8,154.69879687872384,80.04000776242631,0.875,217.8122522858343,0.4067448327787042
v1-old,T5b,native_range_filter,all8,124.6524224146088,51.728930311700374,0.875,213.3140799856772,0.45436943584584144
v1-old,T5c,native_range_filter,all8,124.6524224146088,51.728930311700374,0.875,213.3140799856772,0.45436943584584144
v1-old,T5d,native_range_filter,all8,154.3975808445834,79.89999805474275,0.875,217.69549610728362,0.40675669330434516
v1-old,T5e,native_range_filter,all8,74.17232787409807,35.35704435021471,0.7916666666666666,183.29696894247743,0.24503229750388056
v2,T1+F0,external_position_filter,all8,49.76965998879102,44.254159966771844,0.75,238.50085361091985,0.5014755566762099
v2,T1+F1,external_position_filter,all8,57.17871878929982,44.195025030133124,0.75,229.7272801835232,0.4910752939398251
v2,T1+F2,external_position_filter,all8,57.17871878929982,44.195025030133124,0.75,229.7272801835232,0.4910752939398251
v2,T1+F3,external_position_filter,all8,55.990517264808005,44.20841314113488,0.75,231.36105015367073,0.493264185850806
v2,T1+F4,external_position_filter,all8,57.09728771493752,44.004883467326906,0.75,229.00174925435826,0.490725574336786
v2,T1+F5,external_position_filter,all8,57.22028749929176,43.531270939732124,0.75,227.8778543778884,0.4895398298195075
v2,T2+F0,external_position_filter,all8,50.476255336619644,44.138065363150794,0.75,237.71366916234544,0.501031004574169
v2,T2+F1,external_position_filter,all8,57.735250796369684,43.74699657093471,0.75,228.87761459786978,0.4892721552611854
v2,T2+F2,external_position_filter,all8,57.735250796369684,43.74699657093471,0.75,228.87761459786978,0.4892721552611854
v2,T2+F3,external_position_filter,all8,56.62758418041706,43.905051910441685,0.75,230.6152641908361,0.4922323556413807
v2,T2+F4,external_position_filter,all8,57.49997216081822,43.58112741913223,0.75,228.25798972884496,0.4880022471236217
v2,T2+F5,external_position_filter,all8,57.27415849039359,43.399867219381264,0.75,227.16858802238585,0.48719536435360145
v2,T3+F0,external_position_filter,all8,19.648685978690978,38.70524864919072,0.6666666666666666,219.9428406638373,0.6972767648915484
v2,T3+F1,external_position_filter,all8,20.395709956834928,38.70112802779663,0.6666666666666666,211.25314710858657,0.6889476337971638
