version,solver,solver_family,eval_set,n_positions,component,role,signed_mean_bias_mm,signed_std_mm,p95_abs_error_mm,axis_convention,horizontal_2d_rmse_mm,horizontal_2d_p50_mm,horizontal_2d_p95_mm
v1-old,T1+F0,external_position_filter,all8,24,X,OptiTrack horizontal X,16.813778786902066,38.691516605264425,73.30104779902814,OptiTrack frame; Y is vertical,,,
v1-old,T1+F0,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,6.910223195345684,188.8580736223867,320.5440356807618,OptiTrack frame; Y is vertical,,,
v1-old,T1+F0,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-8.087830874046135,37.727879249851306,67.63089160221438,OptiTrack frame; Y is vertical,,,
v1-old,T1+F0,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,56.096863235265495,53.87237906385748,85.1925505254944
v1-old,T1+F1,external_position_filter,all8,24,X,OptiTrack horizontal X,15.909908213991395,37.39671535436391,71.35670564140015,OptiTrack frame; Y is vertical,,,
v1-old,T1+F1,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,8.133715691676494,186.91653097734812,315.76461078351525,OptiTrack frame; Y is vertical,,,
v1-old,T1+F1,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-6.305760400502872,37.321561125550744,66.51332456087134,OptiTrack frame; Y is vertical,,,
v1-old,T1+F1,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,54.47928186546764,52.898764033926,88.020045421928
v1-old,T1+F2,external_position_filter,all8,24,X,OptiTrack horizontal X,15.910545432861335,37.39678907297437,71.35670564140015,OptiTrack frame; Y is vertical,,,
v1-old,T1+F2,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,8.133523976195477,186.91678877920862,315.76461078351525,OptiTrack frame; Y is vertical,,,
v1-old,T1+F2,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-6.306514554641855,37.32159256765742,66.51332456087134,OptiTrack frame; Y is vertical,,,
v1-old,T1+F2,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,54.47962439165395,52.898764033926,88.020045421928
v1-old,T1+F3,external_position_filter,all8,24,X,OptiTrack horizontal X,16.11540476858437,37.47205794718285,71.26656083950311,OptiTrack frame; Y is vertical,,,
v1-old,T1+F3,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,7.788685201362966,187.4112581031379,316.53486629364465,OptiTrack frame; Y is vertical,,,
v1-old,T1+F3,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-6.593011627466974,37.44887579377132,66.73150331410034,OptiTrack frame; Y is vertical,,,
v1-old,T1+F3,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,54.70655297872432,53.210862002543365,87.63171627932599
v1-old,T1+F4,external_position_filter,all8,24,X,OptiTrack horizontal X,15.816761527101471,37.37915027454866,71.32789703876458,OptiTrack frame; Y is vertical,,,
v1-old,T1+F4,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,8.33821597344531,186.4443514193822,315.25961673315663,OptiTrack frame; Y is vertical,,,
v1-old,T1+F4,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-6.249346660831544,37.15515345095268,65.60931088100779,OptiTrack frame; Y is vertical,,,
v1-old,T1+F4,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,54.32488213949274,53.03964979752565,87.8121867381498
