version,solver,solver_family,eval_set,n_positions,location,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v1-old,T1+F0,external_position_filter,all8,24,center,12,114.43315185575743,263.4354736774227,163.66226912701043
v1-old,T1+F0,external_position_filter,all8,24,edge,12,189.9573645921332,369.23031357924094,219.01219854179422
v1-old,T1+F1,external_position_filter,all8,24,center,12,118.16581661665,251.33347900834983,160.44026823980946
v1-old,T1+F1,external_position_filter,all8,24,edge,12,188.87344331856974,365.061889941058,217.46566611006185
v1-old,T1+F2,external_position_filter,all8,24,center,12,118.16581661665,251.33705275004158,160.4410570791118
v1-old,T1+F2,external_position_filter,all8,24,edge,12,188.87344331856974,365.061889941058,217.46566611006185
v1-old,T1+F3,external_position_filter,all8,24,center,12,117.0630238408238,252.59398166961344,160.84277925528787
v1-old,T1+F3,external_position_filter,all8,24,edge,12,189.25232366423094,365.5438434960923,218.07243252876566
v1-old,T1+F4,external_position_filter,all8,24,center,12,117.53005101228734,251.64002545847168,160.12560488754826
v1-old,T1+F4,external_position_filter,all8,24,edge,12,188.68120520077292,364.6804569303282,216.85808491718254
v1-old,T1+F5,external_position_filter,all8,24,center,12,117.86818580548008,250.81006630521966,160.00343631040766
v1-old,T1+F5,external_position_filter,all8,24,edge,12,188.4054078168134,363.5231160644335,216.19487903044703
v1-old,T2+F0,external_position_filter,all8,24,center,12,115.16629601946093,262.8029444819025,163.4326595117304
v1-old,T2+F0,external_position_filter,all8,24,edge,12,190.52516574865194,369.3723262865948,218.958407191588
v1-old,T2+F1,external_position_filter,all8,24,center,12,118.38677963919545,251.7600799468928,160.17760615707098
v1-old,T2+F1,external_position_filter,all8,24,edge,12,189.09763126569328,365.38543257279474,217.35498590541218
v1-old,T2+F2,external_position_filter,all8,24,center,12,118.38677963919545,251.87077140630072,160.20212228220888
v1-old,T2+F2,external_position_filter,all8,24,edge,12,189.09763126569328,365.38543257279474,217.35498590541218
v1-old,T2+F3,external_position_filter,all8,24,center,12,117.58315525121094,252.65094451556936,160.70703869358084
v1-old,T2+F3,external_position_filter,all8,24,edge,12,189.4049421133791,365.5804012238827,217.7024395115179
v1-old,T2+F4,external_position_filter,all8,24,center,12,117.62252856212618,252.69259683597895,160.02408819039888
v1-old,T2+F4,external_position_filter,all8,24,edge,12,188.63687258113208,364.5838546785586,216.60772431654252
v1-old,T2+F5,external_position_filter,all8,24,center,12,118.17657914254065,251.75913000506068,159.88200467661682
v1-old,T2+F5,external_position_filter,all8,24,edge,12,188.34747765126394,363.46760272838276,216.0704787012859
v1-old,T3+F0,external_position_filter,all8,24,center,12,100.72517159792469,248.94278562019005,142.57371528758588
v1-old,T3+F0,external_position_filter,all8,24,edge,12,176.06220353459946,298.719816569725,191.2858708824216
v1-old,T3+F1,external_position_filter,all8,24,center,12,99.19951114747136,244.3024907842344,137.88791411765732
v1-old,T3+F1,external_position_filter,all8,24,edge,12,174.70615339499776,296.9932632169087,189.59559982929395
v1-old,T3+F2,external_position_filter,all8,24,center,12,99.19951114747136,244.3024907842344,137.88791411765732
v1-old,T3+F2,external_position_filter,all8,24,edge,12,174.70615339499776,296.9932632169087,189.59559982929395
v1-old,T3+F3,external_position_filter,all8,24,center,12,99.2993311740984,246.91109570043727,139.00369637831403
v1-old,T3+F3,external_position_filter,all8,24,edge,12,174.84969289507893,297.96984163562763,189.88688265041816
v1-old,T3+F4,external_position_filter,all8,24,center,12,99.16297801820522,243.55259799110496,137.46169920983627
v1-old,T3+F4,external_position_filter,all8,24,edge,12,174.64981481739582,296.5008444777015,189.31790301307765
v1-old,T3+F5,external_position_filter,all8,24,center,12,98.92749591765792,243.55581492501025,136.8767819323692
v1-old,T3+F5,external_position_filter,all8,24,edge,12,174.61807801471997,296.4977215388459,189.02050051000586
v1-old,T4+F0,external_position_filter,all8,24,center,12,106.88820404629296,192.94065817015695,126.89125859105565
v1-old,T4+F0,external_position_filter,all8,24,edge,12,182.0103278658081,275.62246741100205,187.76879895182125
v1-old,T4+F1,external_position_filter,all8,24,center,12,110.69260309805598,195.4378951520715,127.13821228174791
v1-old,T4+F1,external_position_filter,all8,24,edge,12,181.7294904454588,275.08014413784963,188.23816647065928
v1-old,T4+F2,external_position_filter,all8,24,center,12,110.69260309805598,195.4378951520715,127.13821228174791
v1-old,T4+F2,external_position_filter,all8,24,edge,12,181.7294904454588,275.08014413784963,188.23816647065928
v1-old,T4+F3,external_position_filter,all8,24,center,12,110.35014198969773,196.21069509998503,127.5164353906421
v1-old,T4+F3,external_position_filter,all8,24,edge,12,181.56635693673883,275.10965224950957,188.35212177148196
v1-old,T4+F4,external_position_filter,all8,24,center,12,109.5370893129946,195.33955852206748,126.72500595577199
v1-old,T4+F4,external_position_filter,all8,24,edge,12,181.22162072007515,274.89881447412927,188.03793870025578
