experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,U,P,T,kind,delta_vs_B0_trackmedian_err3d_p50_mm,delta_vs_B0_trackmedian_err3d_p95_mm,delta_vs_B0_sample_err3d_rmse_mm,delta_vs_B0_legacy_deltaR_error_rms_mm,delta_vs_B0_trackmedian_radius_error_abs_mm,verdict,screening_score,L,I,rank,R
B0_A0_U4_P0_T1,online_deployable_uwb_only,Phase 2 control: frozen B0 UWB-only.,34,17,40661,102.63336074100665,208.3503804473449,256.9324074144989,141.2659848479643,40661,66.14323345844781,145.82607164755368,178.9530610667181,93.41834672726387,40661,61.57092076688957,163.1159939953268,205.89630418252534,105.96740522354024,105.83784720842489,231.80213799547772,132.8297379891087,167.47209082957747,187.38314568289843,81.85817424679978,68.97030504345278,38.73430278830949,59.73216676551942,97.22019722085115,173.57057176081128,nan,nan,nan,nan,nan,nan,nan,nan,17,80.07935390701411,26.37186507012177,172.16272100899008,A0,U4,P0,T1,baseline,0.0,0.0,0.0,0.0,0.0,BASELINE_UWB_ONLY,272.8902266245117,,,,
X_A0_L0_I0_T11,imu_only_diagnostic_oracle,Phase 2 IMU-only drift diagnostic L0/I0.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I0,,
X_A0_L0_I1_T11,imu_only_diagnostic_oracle,Phase 2 IMU-only drift diagnostic L0/I1.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I1,,
X_A0_L0_I3_T11,imu_only_diagnostic_oracle,Phase 2 IMU-only drift diagnostic L0/I3.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I3,,
X_A0_L0_I4_T11,imu_only_diagnostic_oracle,Phase 2 IMU-only drift diagnostic L0/I4.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I4,,
X_A0_L0_I7_T11,imu_only_diagnostic_oracle,Phase 2 IMU-only drift diagnostic L0/I7.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I7,,
X_A0_L0_I8_T11,imu_only_diagnostic_oracle,Phase 2 IMU-only drift diagnostic L0/I8.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I8,,
X_A0_L0_I1+I3+I7_T11,imu_only_diagnostic_oracle,Phase 2 IMU-only drift diagnostic L0/I1+I3+I7.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I1+I3+I7,,
X_A0_L0_I1+I2+I3+I8_T11,imu_only_diagnostic_oracle,Phase 2 IMU-only drift diagnostic L0/I1+I2+I3+I8.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I1+I2+I3+I8,,
X_A0_L1_I0_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L1/I0.,34,17,40661,1609.039053332787,6752.858280435315,8521.563858300302,3835.258859736554,40661,1064.5819298044464,5462.439983487014,6958.221526179087,3140.7314206383467,40661,537.8813211598422,3626.5330403831695,4967.956585298163,2201.139855757187,1991.7629055858515,7050.678601273352,3501.241396006241,5711.962897750289,3300.9446969557903,3307.8039415283265,3065.952534287988,832.9323159447201,1973.062493789121,543.7972299191306,1026.5573030048618,7815.586069670389,6276.68637945929,65.13325010555099,nan,nan,nan,nan,nan,17,3377.948676721151,1558.359803629547,7583.073253271558,A0,,,T11,imu_only,1885.9250583774267,6818.876463277874,3693.9928748885895,3297.869322814137,1913.3303270236015,IMU_ONLY_DRIFTS_AS_EXPECTED,7810.595736630889,L1,I0,,
