experiment_id,wall_time_s,status
B0_A0_U4_P0_T1,0.08030439401045442,ok
X_A0_L0_I0_T11,0.1879621389962267,ok
X_A0_L0_I1_T11,0.21445993799716234,ok
X_A0_L0_I3_T11,0.1920247750094859,ok
X_A0_L0_I4_T11,0.18069880599796306,ok
X_A0_L0_I7_T11,0.18012830799852964,ok
X_A0_L0_I8_T11,0.18173040699912235,ok
X_A0_L0_I1+I3+I7_T11,0.18446443999710027,ok
X_A0_L0_I1+I2+I3+I8_T11,0.18730199300625827,ok
X_A0_L1_I0_T11,0.638709466002183,ok
X_A0_L1_I1_T11,0.6367330349894473,ok
X_A0_L1_I3_T11,0.657449609003379,ok
X_A0_L1_I4_T11,0.6562883479928132,ok
X_A0_L1_I7_T11,0.6398398510063998,ok
X_A0_L1_I8_T11,0.6366650929994648,ok
X_A0_L1_I1+I3+I7_T11,0.6346134250052273,ok
X_A0_L1_I1+I2+I3+I8_T11,0.6321451840049122,ok
X_A0_L2_I0_T11,0.6463267369981622,ok
X_A0_L2_I1_T11,0.6336464269988937,ok
X_A0_L2_I3_T11,0.6248259830026655,ok
X_A0_L2_I4_T11,0.6573744229972363,ok
X_A0_L2_I7_T11,0.6325690649973694,ok
X_A0_L2_I8_T11,0.6330168079875875,ok
X_A0_L2_I1+I3+I7_T11,0.6347920789994532,ok
X_A0_L2_I1+I2+I3+I8_T11,0.6331914890033659,ok
X_A0_L3_I0_T11,0.6470212610001909,ok
X_A0_L3_I1_T11,0.6272731210046913,ok
X_A0_L3_I3_T11,0.685875009992742,ok
X_A0_L3_I4_T11,0.6308164840011159,ok
X_A0_L3_I7_T11,0.6583417390065733,ok
X_A0_L3_I8_T11,0.6235304069996346,ok
X_A0_L3_I1+I3+I7_T11,0.6256451399967773,ok
X_A0_L3_I1+I2+I3+I8_T11,0.6308012149966089,ok
X_A0_L4_I0_T11,0.6282401630014647,ok
X_A0_L4_I1_T11,0.6308067280042451,ok
X_A0_L4_I3_T11,0.6331123540003318,ok
X_A0_L4_I4_T11,0.62652912500198,ok
X_A0_L4_I7_T11,0.6255379939975683,ok
X_A0_L4_I8_T11,0.6579719659930561,ok
X_A0_L4_I1+I3+I7_T11,0.6358614290074911,ok
X_A0_L4_I1+I2+I3+I8_T11,0.6259957360016415,ok
X_A0_L5_I0_T11,0.6344292520079762,ok
X_A0_L5_I1_T11,0.6223961649957346,ok
X_A0_L5_I3_T11,0.6163365539978258,ok
X_A0_L5_I4_T11,0.6239319519954734,ok
X_A0_L5_I7_T11,0.6167038499988848,ok
X_A0_L5_I8_T11,0.6170324530103244,ok
X_A0_L5_I1+I3+I7_T11,0.6583545930043329,ok
X_A0_L5_I1+I2+I3+I8_T11,0.6197213330015074,ok
X_A0_L7_I0_T11,0.6172407879930688,ok
X_A0_L7_I1_T11,0.6181746200018097,ok
X_A0_L7_I3_T11,0.6216576540027745,ok
X_A0_L7_I4_T11,0.6312664300057804,ok
X_A0_L7_I7_T11,0.6238123679941054,ok
X_A0_L7_I8_T11,0.6286771070008399,ok
X_A0_L7_I1+I3+I7_T11,0.6536385380022693,ok
X_A0_L7_I1+I2+I3+I8_T11,0.7311936010082718,ok
X_A0_L8_I0_T11,0.6238610269938363,ok
X_A0_L8_I1_T11,0.6288735970010748,ok
X_A0_L8_I3_T11,0.6263457749882946,ok
X_A0_L8_I4_T11,0.6338553800014779,ok
X_A0_L8_I7_T11,0.6294108649890404,ok
X_A0_L8_I8_T11,0.6309200249961577,ok
X_A0_L8_I1+I3+I7_T11,0.630672589992173,ok
X_A0_L8_I1+I2+I3+I8_T11,0.6248577600053977,ok
X_A0_U4_P0_L0_I0_T2,6.397435752995079,ok
X_A0_U4_P0_L0_I0_T3,6.162409316006233,ok
X_A0_U4_P0_L0_I0_T5,6.057727641004021,ok
X_A0_U4_P0_L0_I1_T2,5.944298628004617,ok
X_A0_U4_P0_L0_I1_T3,6.1330905000068014,ok
X_A0_U4_P0_L0_I1_T5,5.661219832007191,ok
X_A0_U4_P0_L0_I3_T2,6.323011090993532,ok
X_A0_U4_P0_L0_I3_T3,6.204216408004868,ok
X_A0_U4_P0_L0_I3_T5,5.895875640999293,ok
X_A0_U4_P0_L0_I4_T2,6.158436601996073,ok
X_A0_U4_P0_L0_I4_T3,6.122503377002431,ok
X_A0_U4_P0_L0_I4_T5,6.005868221007404,ok
X_A0_U4_P0_L0_I7_T2,6.004602439003065,ok
X_A0_U4_P0_L0_I7_T3,6.047676859001513,ok
X_A0_U4_P0_L0_I7_T5,6.06235773798835,ok
X_A0_U4_P0_L0_I8_T2,5.721794921002584,ok
X_A0_U4_P0_L0_I8_T3,6.154131508010323,ok
X_A0_U4_P0_L0_I8_T5,6.453102384009981,ok
X_A0_U4_P0_L0_I1+I3+I7_T2,6.141891740000574,ok
X_A0_U4_P0_L0_I1+I3+I7_T3,5.960337384996819,ok
X_A0_U4_P0_L0_I1+I3+I7_T5,5.714156268004444,ok
X_A0_U4_P0_L0_I1+I2+I3+I8_T2,5.119599067998934,ok
X_A0_U4_P0_L0_I1+I2+I3+I8_T3,5.601600501002395,ok
X_A0_U4_P0_L0_I1+I2+I3+I8_T5,5.771900885010837,ok
X_A0_U4_P0_L1_I0_T2,6.069939688997692,ok
X_A0_U4_P0_L1_I0_T3,5.927813629998127,ok
X_A0_U4_P0_L1_I0_T5,5.533796200004872,ok
X_A0_U4_P0_L1_I1_T2,6.0985459909861675,ok
X_A0_U4_P0_L1_I1_T3,5.786402056997758,ok
X_A0_U4_P0_L1_I1_T5,5.9139386729948455,ok
X_A0_U4_P0_L1_I3_T2,4.629369902002509,ok
X_A0_U4_P0_L1_I3_T3,6.228911651996896,ok
X_A0_U4_P0_L1_I3_T5,5.8541526879998855,ok
X_A0_U4_P0_L1_I4_T2,5.012816403002944,ok
X_A0_U4_P0_L1_I4_T3,5.990263912011869,ok
X_A0_U4_P0_L1_I4_T5,6.167736194009194,ok
X_A0_U4_P0_L1_I7_T2,6.128115580999292,ok
X_A0_U4_P0_L1_I7_T3,5.524442961002933,ok
X_A0_U4_P0_L1_I7_T5,5.991889466997236,ok
X_A0_U4_P0_L1_I8_T2,5.99043483499554,ok
X_A0_U4_P0_L1_I8_T3,5.724357137005427,ok
X_A0_U4_P0_L1_I8_T5,5.401085752004292,ok
X_A0_U4_P0_L1_I1+I3+I7_T2,5.511749968005461,ok
X_A0_U4_P0_L1_I1+I3+I7_T3,5.721580450001056,ok
X_A0_U4_P0_L1_I1+I3+I7_T5,6.136223423993215,ok
