version,ID,N,X_std,Y_std,Z_std,D3_std,path
v1,ID01,180,32.322374798586985,44.8221825289813,55.32788314872442,78.19807294940554,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID01_static_center_low_20260504_191930
v1,ID02,180,22.306632435452475,33.254521745513244,66.46875608762542,77.59861212012387,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID02_static_center_mid_20260504_192643
v1,ID03,180,25.599123549005473,33.3223863940023,58.697870896333086,72.18820270121029,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID03_static_center_high_20260504_193419
v1,ID04,180,28.809986551549883,50.36472535626511,62.54792896193784,85.31626048263087,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID04_static_abef_low_20260504_193907
v1,ID05,180,24.676341649805842,67.0789854827417,109.60662739756638,130.8515376297916,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID05_static_abef_mid_20260504_194325
v1,ID06,180,29.02136336815581,62.65858922583213,41.91457129760498,80.7785220376067,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID06_static_abef_high_20260504_194915
v1,ID07,180,35.557235268980925,27.895167905171643,33.210002938867795,56.083524030065966,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID07_static_bcgf_low_20260504_195344
v1,ID08,180,43.72875210800272,27.114212382312605,62.066058151091205,80.61997177158364,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID08_static_bcgf_mid_20260504_195949
v1,ID09,180,38.06122289495591,26.2692589025313,27.32426138694128,53.71541596124548,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID09_static_bcgf_high_20260504_200457
v1,ID10,180,34.20020454670289,37.25719845864379,84.6335182647608,98.59302836354448,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID10_static_cdhg_low_20260504_200934
v1,ID11,180,41.48161329608753,26.26381128385311,149.99223395016006,157.82326276617,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID11_static_cdhg_mid_20260504_201411
v1,ID12,180,30.813058639430114,29.438722286127238,65.21435623627576,77.90375608318614,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID12_static_cdhg_high_20260504_202045
v1,ID13,180,33.526415537010244,54.98093162801959,91.41146886418413,111.81672514142485,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID13_static_adhe_low_20260504_202835
v1,ID14,180,22.094808737645977,44.32757627918229,93.04331368909057,105.40480451187408,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID14_static_adhe_mid_20260504_203438
