version,solver_name,inter_rms_mm,static_n,static_best,static_median,static_p75,static_worst,roto_n,roto_best_rms,roto_median_rms,roto_p75_rms,roto_worst_rms
v1,AutoPos V1,66.09968796167662,27,53.71541596124548,78.19807294940554,86.66116149423436,157.82326276617,8,114.88440490692369,151.6410199757607,175.9560867940621,184.70099037484334
v2,AutoPos V2,42.39484412558213,27,36.84105304376138,54.905927300129555,64.74536889868675,291.0348135340586,8,126.36862366447748,139.63233413111072,171.50434921459026,188.82375754433315
v3lite,V3-lite,42.416485047980565,27,36.81310020010405,54.94275814799274,64.86673790209167,289.4057081108156,8,126.3382280894416,139.506265878354,171.33807179802193,188.66552318893446
v3full,V3-full,74.88718246436189,27,36.509206336568404,58.62548408473745,72.87876048444124,142.25302483885204,8,120.95146425651065,136.17254249402833,166.96093079011237,184.3779291082358
v4,V4-interonly,48.03304564646219,27,36.022704035567024,55.34107818400382,77.49029124079479,182.82642569725925,8,124.91868498566258,139.14712409141555,168.45364790015242,178.29562614906982
