version,solver_name,inter_rms_mm,delay_min_mm,delay_max_mm,delay_l2_mm,extra
v1,AutoPos V1,66.09968796167662,0.0,0.0,0.0,"{""delay_aware"": false, ""implementation"": ""archive_v1_classical_mds_only""}"
v2,AutoPos V2,42.39484412558213,0.0,0.0,0.0,{}
v3lite,V3-lite,42.416485047980565,0.0,0.0,0.0,{}
v3full,V3-full,74.88718246436189,-47.75107502956689,42.73023469063264,81.16576650213774,"{""converged"": false, ""iterations"": 50, ""zero_weights"": 6}"
v4,V4-interonly,48.03304564646219,-5.919069902943071,59.999667637213214,69.20592849261334,{}
