version,ID,peer,N,circle_3d_rms,path
v1,ID28,BS2DCE,220,184.70099037484334,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID28_roto_small_abef_2roto_20260504_215544
v1,ID28,BSDC91,220,137.4576619376731,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID28_roto_small_abef_2roto_20260504_215544
v1,ID29,BS2DCE,220,183.31502304833586,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID29_roto_small_bcgf_2roto_20260504_220009
v1,ID29,BSDC91,220,140.35905420628396,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID29_roto_small_bcgf_2roto_20260504_220009
v1,ID30,BS2DCE,220,162.92298574523747,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID30_roto_small_cdhg_2roto_20260504_220550
v1,ID30,BSDC91,220,123.54512621011618,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID30_roto_small_cdhg_2roto_20260504_220550
v1,ID31,BS2DCE,220,173.5031080426375,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID31_roto_small_adhe_2roto_20260504_221028
v1,ID31,BSDC91,220,114.88440490692369,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID31_roto_small_adhe_2roto_20260504_221028
v2,ID28,BS2DCE,220,138.67710915993374,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID28_roto_small_abef_2roto_20260504_215544
v2,ID28,BSDC91,220,140.5875591022877,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID28_roto_small_abef_2roto_20260504_215544
v2,ID29,BS2DCE,220,170.49924001969353,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID29_roto_small_bcgf_2roto_20260504_220009
v2,ID29,BSDC91,220,135.28002317949088,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID29_roto_small_bcgf_2roto_20260504_220009
v2,ID30,BS2DCE,220,188.82375754433315,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID30_roto_small_cdhg_2roto_20260504_220550
v2,ID30,BSDC91,220,126.36862366447748,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID30_roto_small_cdhg_2roto_20260504_220550
v2,ID31,BS2DCE,220,174.51967679928046,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID31_roto_small_adhe_2roto_20260504_221028
v2,ID31,BSDC91,220,136.34127373300674,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_v4_20260504/tr_captures/ID31_roto_small_adhe_2roto_20260504_221028
