position_id,config,truth_x_mm,truth_y_mm,truth_z_mm,solved_x_mm,solved_y_mm,solved_z_mm,error_x_signed_mm,error_y_signed_mm,error_z_signed_mm,error_3d_mm,error_horiz_mm,error_vert_signed_mm,error_unit_x,error_unit_y,error_unit_z,height_tier,edge_center_group,distance_to_centroid_mm
ID01,V4+C_V4,-542.215344349341,182.54280058407934,-383.3240609304319,-467.5040177384352,106.69463779091565,-357.85438340283764,74.71132661090576,-75.8481627931637,25.469677527594285,109.46885674208595,78.93343269693189,-75.8481627931637,0.6824893292430133,-0.6928743484721479,0.2326659680716508,LOW,OUTER,904.8581057484207
ID02,V4+C_V4,-543.22998,1105.589,-259.92136,-522.1683975591635,1066.7147052964797,-218.36853905297664,21.061582440836446,-38.87429470352026,41.55282094702335,60.67485453022262,46.585697199543254,-38.87429470352026,0.34712209207432887,-0.6406986057816862,0.6848441791702289,MID,INNER,414.80151183802343
ID03,V4+C_V4,-554.00287,1625.5614500000001,-256.2951,-549.1478291648666,1723.0334184829037,-256.95620554011583,4.855040835133423,97.47196848290355,-0.661105540115841,97.59504660574802,4.89984510428492,97.47196848290355,0.04974679560066399,0.9987388896555204,-0.006773966129515676,HIGH,INNER,762.7501078007356
ID04,V4+C_V4,-321.178815,182.16379,479.93381999999997,-257.8521760930726,27.28844595152564,486.7883174253348,63.32663890692737,-154.87534404847437,6.854497425334841,167.4622928433013,63.6965252600351,-154.87534404847437,0.37815461517766097,-0.9248371165764173,0.04093158709912546,LOW,OUTER,1065.8115580673748
ID05,V4+C_V4,-184.9818897969324,1103.5866165595767,473.70402893394925,-172.81217883302327,1109.44968098639,499.7391220542707,12.169710963909125,5.863064426813253,26.03509312032145,29.330930145528324,28.738962032907505,5.863064426813253,0.4149105024466628,0.19989357302080352,0.887632713696625,MID,INNER,692.4979819346567
ID06,V4+C_V4,-193.231255,1684.95255,476.52297999999996,-178.34446842363676,1727.6310477144211,470.3541404811096,14.88678657636325,42.678497714421155,-6.1688395188903655,45.619350748776164,16.11431027317063,42.678497714421155,0.3263261386235888,0.9355349651828637,-0.13522418486097937,HIGH,OUTER,983.0246745750289
ID07,V4+C_V4,352.14755,211.565355,53.795866000000004,305.24185403108464,111.23546340260907,51.286797427715406,-46.90569596891538,-100.32989159739094,-2.5090685722845976,110.78143746753321,46.9727552888773,-100.32989159739094,-0.42340754047953266,-0.9056561630805223,-0.022648817614592986,LOW,OUTER,954.6549679640887
ID08,V4+C_V4,391.90054,1132.2804,-71.53192899999999,419.47841691431694,1213.3349104242673,-114.94372436273068,27.57787691431696,81.05451042426716,-43.411795362730686,95.99456719957884,51.43076192043845,81.05451042426716,0.2872858091748129,0.8443656009797894,-0.45223179424805143,MID,INNER,580.6086421076762
ID09,V4+C_V4,408.80994,1568.1853500000002,-62.425788499999996,450.85648865819786,1497.28537693258,-52.81463649670629,42.04654865819788,-70.8999730674202,9.611152003293704,82.98850931217845,43.1310386716645,-70.8999730674202,0.5066550659445043,-0.8543348188207031,0.11581304548005998,HIGH,OUTER,825.5734294328125
ID10,V4+C_V4,65.499245,238.64973,-938.19342,80.43289654042043,206.92224583570513,-966.3337262888642,14.933651540420428,-31.72748416429488,-28.14030628886428,44.961361609245984,31.857350586038947,-31.72748416429488,0.33214411232042024,-0.7056611060855938,-0.6258775375494284,LOW,OUTER,1063.456429072664
ID11,V4+C_V4,-63.9057945,1133.4998500000002,-956.9902950000001,-69.41342973803525,1118.6379296768312,-970.034656451611,-5.507635238035249,-14.861920323168988,-13.04436145161094,20.527203591520802,14.159428364009653,-14.861920323168988,-0.2683090862074508,-0.7240109573087695,-0.6354670471042236,MID,OUTER,770.8923252279795
ID12,V4+C_V4,-43.6886845,1590.1300500000002,-956.35754,28.41991286263364,1614.1352284976253,-964.1380741751644,72.10859736263365,24.00517849762514,-7.780534175164462,76.39656484659609,72.52714337168753,24.00517849762514,0.9438722474947314,0.3142180351410749,-0.10184403174131892,HIGH,OUTER,972.8722083943703
