anchor,N,mean_residual_mm,median_residual_mm,mad_sigma_mm,rms_residual_mm,p10_residual_mm,p90_residual_mm,median_abs_residual_mm,median_quality_percent
A,5396,-53.476445566142196,-28.33950166363661,58.27691525037548,122.32574026981477,-186.49452437179866,40.100221046695424,41.61191729754864,100.0
B,5370,-10.854065738419255,-0.5959080543336768,56.058585176255235,143.7261143250352,-107.55516138318063,88.81428559301463,37.75887282230087,100.0
C,5382,-58.67125829250557,-26.894308900905344,57.993760654655276,132.18770357773354,-208.17036034903913,30.93695163341399,36.33381991159354,100.0
D,5380,-46.60135780751507,-24.653714806466724,74.81047987814023,140.8879559319413,-211.68963065425342,65.34174974306124,50.914020520219765,100.0
E,5382,-31.53057644915162,-14.880997142026672,47.48403700651562,107.97674114243034,-145.67792234065527,47.50876728419494,33.633492438431404,100.0
F,5372,-51.89679382298334,-24.97105263352023,46.15617639300907,115.42589527149516,-170.3054482078691,23.970167561705544,31.97793592481071,100.0
G,5372,-41.207384833682845,-19.650339201980387,44.22900902419225,113.15803736429201,-156.921532594428,40.124541629649464,33.213740844288395,100.0
H,3494,-72.1400468828684,-42.939049219702156,84.30637291125225,146.46743358476303,-226.15271401967294,38.72242649348164,53.874693265099495,84.0
