solver,criterion,points_total,points_usable,usable_percent,median_abs_residual_mm,p90_abs_residual_mm,usable_60mm_percent
V4,used_anchors>=7 and median_abs_residual<=40mm,5400,2798,51.81481481481482,,,
V4,used_anchors>=7 and median_abs_residual<=60mm,5400,4516,83.62962962962963,,,
V4,used_anchors>=7 and median_abs_residual<=80mm,5400,5033,93.20370370370371,,,
V4,used_anchors>=7 and median_abs_residual<=120mm,5400,5300,98.14814814814815,,,
V4,peer=BS9336,1800,,,40.54582359869039,70.68570921857835,82.16666666666667
V4,peer=BS955A,1800,,,39.05787946981968,67.20377115490963,83.77777777777777
V4,peer=BSCCF4,1800,,,38.221675145214135,69.93216501166806,84.94444444444444
