version,solver,solver_family,eval_set,n_positions,facing,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v1-old,T1+F0,external_position_filter,all8,24,ABEF,6,135.86922564077608,359.19752672473936,206.75626856254354
v1-old,T1+F0,external_position_filter,all8,24,ADHE,6,189.972621648298,230.9774817333546,184.99166535739454
v1-old,T1+F0,external_position_filter,all8,24,BCGF,6,116.78397425905234,310.62810686059385,185.61224913828636
v1-old,T1+F0,external_position_filter,all8,24,CDHG,6,165.43620575723673,282.21601047112824,194.58143835759913
v1-old,T1+F1,external_position_filter,all8,24,ABEF,6,140.3717253015643,355.28464578330096,204.71031962457627
v1-old,T1+F1,external_position_filter,all8,24,ADHE,6,188.94430744097815,227.92942623440845,184.04991081145317
v1-old,T1+F1,external_position_filter,all8,24,BCGF,6,119.17338541517822,307.9671420576805,184.45838556708316
v1-old,T1+F1,external_position_filter,all8,24,CDHG,6,161.42155624331792,268.6710379248487,190.24796558264558
v1-old,T1+F2,external_position_filter,all8,24,ABEF,6,140.3717253015643,355.28464578330096,204.71031962457627
v1-old,T1+F2,external_position_filter,all8,24,ADHE,6,188.94430744097815,227.96644964023142,184.06036412356292
v1-old,T1+F2,external_position_filter,all8,24,BCGF,6,119.17338541517822,307.9671420576805,184.45838556708316
v1-old,T1+F2,external_position_filter,all8,24,CDHG,6,161.42155624331792,268.6710379248487,190.24796558264558
v1-old,T1+F3,external_position_filter,all8,24,ABEF,6,139.28109755169305,355.6632160112802,204.81925030286953
v1-old,T1+F3,external_position_filter,all8,24,ADHE,6,189.12221594928675,227.43303059409996,183.90565240823918
v1-old,T1+F3,external_position_filter,all8,24,BCGF,6,118.7332762098012,308.317673203991,184.61505927351763
v1-old,T1+F3,external_position_filter,all8,24,CDHG,6,162.9205154278557,272.13069550915696,192.15606886502377
v1-old,T1+F4,external_position_filter,all8,24,ABEF,6,139.59675229387543,354.8694793183565,204.37548686733027
v1-old,T1+F4,external_position_filter,all8,24,ADHE,6,188.6835802632312,229.1474379837829,184.32334370840988
v1-old,T1+F4,external_position_filter,all8,24,BCGF,6,118.9067520237802,307.95485705962477,184.40893102857592
v1-old,T1+F4,external_position_filter,all8,24,CDHG,6,160.09511544807418,266.65414076841336,188.52710767328458
v1-old,T1+F5,external_position_filter,all8,24,ABEF,6,140.4912966298176,353.3880944662308,203.77118491048017
v1-old,T1+F5,external_position_filter,all8,24,ADHE,6,188.37263746568578,229.26605049683047,184.29257390708491
