version,solver,solver_family,eval_set,n_sessions,frames_solved_total,frames_input_total,err_3d_mean_mm,err_3d_median_mm,err_3d_p75_mm,err_3d_p90_mm,err_3d_p95_mm,err_3d_p99_mm,err_3d_max_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,d3_std_median_mm,radial_p95_median_mm,residual_rms_median_mm,filter_rejections_total
v1-old,T1+F0,external_position_filter,all8,24,28818,28818,169.49383788460318,157.9705273048486,230.42964955590946,280.4766183545289,327.4214240801682,393.86349557037244,411.7853952601149,193.18638281792425,53.73956914967711,140.543418071622,63.020869004676186,117.57895019497192,88.65564042376832,0
v1-old,T1+F1,external_position_filter,all8,24,28818,28818,167.14801789446457,159.69814985353702,232.35106746840242,267.8391993391544,322.5233875037215,388.84225842405914,406.03236592671334,191.04964606408606,52.855840543484994,143.15965450363842,32.307254211454364,58.491939319536655,88.65564042376832,0
v1-old,T1+F2,external_position_filter,all8,24,28818,28818,167.15007475034363,159.69814985353702,232.36340860367676,267.8391993391544,322.5233875037215,388.84225842405914,406.03236592671334,191.05216369910923,52.855840543484994,143.15965450363842,32.307254211454364,58.491939319536655,88.65564042376832,2
v1-old,T1+F3,external_position_filter,all8,24,28818,28818,167.64755873043381,159.38725689979606,232.71659833711487,271.31058786016274,323.2376292784405,389.34820533397334,406.61771942605566,191.55866542299373,52.95288149500968,142.82639948007954,37.06235508642125,67.77501683224509,88.65564042376832,3
v1-old,T1+F4,external_position_filter,all8,24,28818,28818,166.7063962142393,159.81571999877772,231.19335009079595,265.6881164677332,322.19419765309243,388.4447455705967,405.56084846932544,190.5869610170533,52.99091434112352,143.37437793982235,23.805082825077942,43.594137047231726,88.65564042376832,2
v1-old,T1+F5,external_position_filter,all8,24,28818,28818,166.2457982448232,160.29418210224287,231.6345296738093,264.1877739012211,321.79044658876717,386.7853034517744,403.4713586473212,190.16382493076918,52.94099465438242,143.97033140613053,21.015558567032137,38.00288336516071,88.65564042376832,0
v1-old,T2+F0,external_position_filter,all8,24,28818,28818,169.4910236674906,157.80637171598246,230.2049837255537,279.92358700722644,327.3710386497354,394.1157434839569,412.1492988518083,193.06806076412397,53.47806468533261,141.0036379612161,62.84249008122672,118.4904769912851,88.67017000425591,0
v1-old,T2+F1,external_position_filter,all8,24,28818,28818,167.05171985566383,159.44915372914923,232.10346033187716,267.05651241287677,322.84516489822965,389.27995156519654,406.5030446270702,190.90219971351488,52.752432879383576,143.31481619303327,33.63740043989864,60.704424489082925,88.67017000425591,0
v1-old,T2+F2,external_position_filter,all8,24,28818,28818,167.0592564032963,159.44915372914923,232.1486796176719,267.05651241287677,322.84516489822965,389.27995156519654,406.5030446270702,190.9114472635219,52.752432879383576,143.31481619303327,33.63740043989864,60.704424489082925,88.67017000425591,2
v1-old,T2+F3,external_position_filter,all8,24,28818,28818,167.60210655376287,158.99358571023663,233.33892411193057,269.89764993331875,323.19337297438716,389.8053830721185,407.24814611311416,191.39498761410735,52.95204813943106,142.88613053275844,38.54867930874998,69.00327164901259,88.67017000425591,3
v1-old,T2+F4,external_position_filter,all8,24,28818,28818,166.62223306732847,159.54987961061326,231.6275632931858,265.00595586001987,322.0886516627184,388.7179369831762,405.9817511214677,190.45376415536973,52.96867111666532,143.3784867247432,25.8119617368045,47.66128505466352,88.67017000425591,2
v1-old,T2+F5,external_position_filter,all8,24,28818,28818,166.2232056167466,159.95903625718483,231.58300536227839,263.65780336716796,321.482542522428,386.8492978837126,403.6805381020092,190.05847886129698,52.93211147621639,143.9008741375526,23.103105751523834,41.97214140632379,88.67017000425591,0
v1-old,T3+F0,external_position_filter,all8,24,28818,28818,149.28282646215686,121.38284768645022,188.51681791574916,257.80107772567914,318.3442659033305,335.358148207794,337.70853194560505,168.59466418603841,55.714125372032726,96.43280199761136,64.455326763985,115.0373279602268,92.88965388054044,0
v1-old,T3+F1,external_position_filter,all8,24,28818,28818,145.98053359334148,117.47478781092786,190.54607025002622,256.1840836901947,306.37063202247396,330.66017957991636,335.7235532231234,165.70841694365274,52.35710653930214,97.3624798880154,35.94787517702413,63.98587233639782,92.88965388054044,0
v1-old,T3+F2,external_position_filter,all8,24,28818,28818,145.98053359334148,117.47478781092786,190.54607025002622,256.1840836901947,306.37063202247396,330.66017957991636,335.7235532231234,165.70841694365274,52.35710653930214,97.3624798880154,35.94787517702413,63.98587233639782,92.88965388054044,0
v1-old,T3+F3,external_position_filter,all8,24,28818,28818,146.57554042361954,117.33181324241582,192.00525642494262,257.237338580241,309.2992620469822,331.61292932681124,336.00328680559784,166.31711057729217,52.47754588533245,96.86060485724931,41.99050673410173,73.36760375974524,92.88965388054044,0
v1-old,T3+F4,external_position_filter,all8,24,28818,28818,145.62519310962543,117.31831000685312,189.85093034783245,255.39708212229078,305.24548184975515,330.762359678142,336.20227322821216,165.38839322101964,52.27592682802047,97.42209346468587,26.812643502784802,47.77262367815537,92.88965388054044,0
v1-old,T3+F5,external_position_filter,all8,24,28818,28818,145.11545611464248,116.71032369405573,191.10825224625012,255.1613421795723,303.54650944920235,330.09445995694847,335.9508297873872,164.99229544740876,52.49921574104298,96.97336916894699,22.953363950815543,40.70326731700031,92.88965388054044,0
v1-old,T4+F0,external_position_filter,all8,24,28818,28818,144.32503108771132,132.92485172349362,193.12066706369995,227.84016331241065,237.03101589156995,302.6344596255344,321.9372137808182,160.31909900944268,49.989009594251655,121.02531418839688,67.99888278674581,124.93619332957459,89.47006206162357,0
v1-old,T4+F1,external_position_filter,all8,24,28818,28818,143.57793180591594,133.1137600504683,193.50956785726817,232.6979763648069,237.57465843206057,301.7919204980683,320.92765705552824,160.62724811539758,45.54659107747647,121.6651031779256,30.680491374570515,54.06538208827834,89.47006206162357,0
v1-old,T4+F2,external_position_filter,all8,24,28818,28818,143.57793180591594,133.1137600504683,193.50956785726817,232.6979763648069,237.57465843206057,301.7919204980683,320.92765705552824,160.62724811539758,45.54659107747647,121.6651031779256,30.680491374570515,54.06538208827834,89.47006206162357,0
v1-old,T4+F3,external_position_filter,all8,24,28818,28818,143.94381322568702,133.07076305303372,193.53387213887004,232.94454975557298,237.77189227424597,301.35090201459616,320.3187211982068,160.78705986583603,46.031174305264166,121.77110919716037,36.12636612272143,65.58809706677206,89.47006206162357,0
v1-old,T4+F4,external_position_filter,all8,24,28818,28818,143.31581021869977,132.97710120156069,193.06376093709343,231.2871437993885,237.16378849837162,301.298242991052,320.31754227469673,160.3170794964562,45.3429959820073,121.18793410792728,22.044981954856688,41.67435496993,89.47006206162357,0
v1-old,T4+F5,external_position_filter,all8,24,28818,28818,143.04962506081316,132.46226299655535,193.1731109698707,230.7733600606225,236.68607638896628,300.7806401314185,319.78923032999785,160.14569030139123,45.25152460714435,121.85273782022821,19.188569071899742,35.95893141701803,89.47006206162357,0
v1-old,T5a,native_range_filter,all8,24,28818,28818,176.8196659942536,201.3081940820992,226.57445368757402,306.56005574041575,322.52847662835467,326.2162275861413,326.50955226762744,201.3727125740505,39.048938936142676,185.97151611734057,44.35960337936049,94.64589343623356,90.69185710429794,0
v1-old,T5b,native_range_filter,all8,24,28818,28818,149.14445597962109,132.2967117914044,201.96776876035514,250.83277651781037,299.8965386593827,362.88187103734873,379.62436399669116,172.15400898058226,44.23833782967744,128.9844457723555,35.711916631825375,66.113701089986,85.7290475109301,6633
v1-old,T5c,native_range_filter,all8,24,28818,28818,149.14445597962109,132.2967117914044,201.96776876035514,250.83277651781037,299.8965386593827,362.88187103734873,379.62436399669116,172.15400898058226,44.23833782967744,128.9844457723555,35.711916631825375,66.113701089986,85.7290475109301,6633
