version,solver,solver_family,eval_set,ID,center_distance_mm,radial_signed_error_mm,tangential_error_mm,radially_outward
v1-old,T1+F0,external_position_filter,all8,ID01,904.8581057484208,145.48688207201766,139.31687522400978,True
v1-old,T1+F0,external_position_filter,all8,ID02,414.80151183802343,-31.19869998018987,43.37840055248812,False
v1-old,T1+F0,external_position_filter,all8,ID03,762.7501078007356,356.5574950562827,205.99505933084424,True
v1-old,T1+F0,external_position_filter,all8,ID04,1065.811558067375,243.2282766834487,228.7033832784684,True
v1-old,T1+F0,external_position_filter,all8,ID05,692.4979819346567,88.37298665581545,83.27630017115595,True
v1-old,T1+F0,external_position_filter,all8,ID06,983.0246745750289,172.1789999136685,168.51383023991124,True
v1-old,T1+F0,external_position_filter,all8,ID07,954.6549679640887,204.88961928764485,153.68905449346798,True
v1-old,T1+F0,external_position_filter,all8,ID08,580.6086421076762,65.43963800449927,58.527370457139654,True
v1-old,T1+F0,external_position_filter,all8,ID09,825.5734294328124,74.36494533041633,35.97529892590882,True
v1-old,T1+F0,external_position_filter,all8,ID10,1063.4564290726642,167.3471468750221,66.6120910695791,True
v1-old,T1+F0,external_position_filter,all8,ID11,770.8923252279794,76.87136026343525,141.2654235778624,True
v1-old,T1+F0,external_position_filter,all8,ID12,972.8722083943702,159.8886380776035,119.8617296552779,True
v1-old,T1+F0,external_position_filter,all8,ID13,164.33330797041327,-70.46814912211947,29.3874026285612,False
v1-old,T1+F0,external_position_filter,all8,ID14,160.68776077464324,14.730523293748051,24.254802160062095,True
v1-old,T1+F0,external_position_filter,all8,ID15,161.88022524167178,-94.1343798499465,43.03697649347017,False
v1-old,T1+F0,external_position_filter,all8,ID16,147.9126953292345,87.08377946932913,6.732381747785264,True
v1-old,T1+F0,external_position_filter,all8,ID17,780.0403542483501,114.8011669535221,20.537730730462172,True
v1-old,T1+F0,external_position_filter,all8,ID18,785.9969931308584,80.80708011686633,50.48265418439833,True
v1-old,T1+F0,external_position_filter,all8,ID19,779.8893538325998,222.9164650576292,44.76381215433386,True
v1-old,T1+F0,external_position_filter,all8,ID20,780.296291419316,239.60719702547416,2.372265751577239,True
v1-old,T1+F0,external_position_filter,all8,ID21,622.457440757399,149.35753865279716,41.867488029801926,True
v1-old,T1+F0,external_position_filter,all8,ID22,625.807129330668,105.22638291067115,38.76604403662456,True
v1-old,T1+F0,external_position_filter,all8,ID23,625.4677339212478,272.69505627585124,101.32997093776497,True
v1-old,T1+F0,external_position_filter,all8,ID24,623.9880940820714,200.5211913243374,42.87223139398232,True
v1-old,T1+F1,external_position_filter,all8,ID01,904.8581057484208,147.51101053472905,139.52184970606388,True
v1-old,T1+F1,external_position_filter,all8,ID02,414.80151183802343,-25.6384004282337,37.69211988335551,False
v1-old,T1+F1,external_position_filter,all8,ID03,762.7501078007356,352.40515410113034,201.67520805246002,True
v1-old,T1+F1,external_position_filter,all8,ID04,1065.811558067375,242.1430242191727,226.10098188668374,True
v1-old,T1+F1,external_position_filter,all8,ID05,692.4979819346567,89.79078607132351,83.31147718776634,True
v1-old,T1+F1,external_position_filter,all8,ID06,983.0246745750289,171.09257495462924,165.4288261966245,True
v1-old,T1+F1,external_position_filter,all8,ID07,954.6549679640887,206.45436938537327,151.6960179685579,True
v1-old,T1+F1,external_position_filter,all8,ID08,580.6086421076762,69.79596212120826,57.89390005601738,True
