version,solver,solver_family,eval_set,median_radial_signed_mm,median_tangential_mm,radially_outward_fraction,radial_slope_mm_per_m,radial_r2
v1-old,T1+F0,external_position_filter,all8,130.14402451276987,47.623233169366095,0.875,248.86552584652205,0.4309910512538849
v1-old,T1+F1,external_position_filter,all8,133.00223847397902,46.26924695665764,0.875,239.51063464390134,0.4319099936352263
v1-old,T1+F2,external_position_filter,all8,133.00223847397902,46.26924695665764,0.875,239.51334067355344,0.4319017751336951
v1-old,T1+F3,external_position_filter,all8,132.10851994672268,46.37075486274077,0.875,241.29146574627615,0.43195092996324125
v1-old,T1+F4,external_position_filter,all8,132.01339059666128,46.25631054256712,0.875,238.89260201554072,0.432042756848413
v1-old,T1+F5,external_position_filter,all8,132.59876410884456,46.44140049506159,0.875,237.67446999212763,0.4325361981007827
v1-old,T2+F0,external_position_filter,all8,130.75920174567196,47.787738815629254,0.875,248.48638213619904,0.4311060960280383
v1-old,T2+F1,external_position_filter,all8,133.2898037137391,46.62832303930716,0.875,238.92198800035496,0.4321375522258185
v1-old,T2+F2,external_position_filter,all8,133.2898037137391,46.62832303930716,0.875,238.93202415344405,0.4321065668233086
v1-old,T2+F3,external_position_filter,all8,132.9025667542507,46.54202638281772,0.875,240.55970566278648,0.431639568383027
v1-old,T2+F4,external_position_filter,all8,132.37405977386518,46.397455513423495,0.875,238.16860371342275,0.4312045172646499
v1-old,T2+F5,external_position_filter,all8,133.0542546410545,46.31207396892383,0.875,237.16860120115084,0.43241334373975315
v1-old,T3+F0,external_position_filter,all8,84.73611551959932,58.89755897655242,0.875,232.89681888633757,0.4575648067613689
v1-old,T3+F1,external_position_filter,all8,84.2472710125326,57.906927476629235,0.875,223.13959183982183,0.45843019867476775
v1-old,T3+F2,external_position_filter,all8,84.2472710125326,57.906927476629235,0.875,223.13959183982183,0.45843019867476775
v1-old,T3+F3,external_position_filter,all8,84.45865155246841,57.58800623030348,0.875,224.2431247014479,0.4550706147781354
v1-old,T3+F4,external_position_filter,all8,84.23869399944779,57.935199584043396,0.875,222.6912068328591,0.4587143907136271
v1-old,T3+F5,external_position_filter,all8,84.34076151090466,57.79408593849687,0.875,221.3844864561098,0.45828678673923384
v1-old,T4+F0,external_position_filter,all8,104.74735010665188,54.49939734810441,0.875,244.17941815060883,0.6502274067549598
v1-old,T4+F1,external_position_filter,all8,107.2194759290204,50.70797693986913,0.875,236.2195599558044,0.643942647468188
v1-old,T4+F2,external_position_filter,all8,107.2194759290204,50.70797693986913,0.875,236.2195599558044,0.643942647468188
