host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_id,raw_mm,range_mm,quality_percent,valid,status,quality_flag_percent,first_to_last_us,frame_us,poll_count,tr_version,rx_mask,air_us,post_us,cycle_us,rx_seen
0.011665,1779466587.147598,1520,,BS2DCE,,f,0,0,2258,2258,100,1,O,0,0,0,0,2,,,,,
0.011665,1779466587.147598,1520,,BS2DCE,,f,0,1,2178,2178,100,1,O,0,0,0,0,2,,,,,
0.011665,1779466587.147598,1520,,BS2DCE,,f,0,2,1738,1738,100,1,O,0,0,0,0,2,,,,,
0.011665,1779466587.147598,1520,,BS2DCE,,f,0,3,1812,1812,100,1,O,0,0,0,0,2,,,,,
0.011665,1779466587.147598,1520,,BS2DCE,,f,0,4,1800,1800,100,1,O,0,0,0,0,2,,,,,
0.011665,1779466587.147598,1520,,BS2DCE,,f,0,5,1965,1965,100,1,O,0,0,0,0,2,,,,,
0.011665,1779466587.147598,1520,,BS2DCE,,f,0,6,1240,1240,100,1,O,0,0,0,0,2,,,,,
0.011665,1779466587.147598,1520,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
0.120286,1779466587.256219,1521,,BS2DCE,,f,0,0,2428,2428,100,1,O,0,0,0,0,2,,,,,
0.120286,1779466587.256219,1521,,BS2DCE,,f,0,1,2134,2134,100,1,O,0,0,0,0,2,,,,,
0.120286,1779466587.256219,1521,,BS2DCE,,f,0,2,1770,1770,100,1,O,0,0,0,0,2,,,,,
0.120286,1779466587.256219,1521,,BS2DCE,,f,0,3,1788,1788,100,1,O,0,0,0,0,2,,,,,
0.120286,1779466587.256219,1521,,BS2DCE,,f,0,4,1825,1825,100,1,O,0,0,0,0,2,,,,,
0.120286,1779466587.256219,1521,,BS2DCE,,f,0,5,1716,1716,100,1,O,0,0,0,0,2,,,,,
0.120286,1779466587.256219,1521,,BS2DCE,,f,0,6,1201,1201,100,1,O,0,0,0,0,2,,,,,
0.120286,1779466587.256219,1521,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
0.191538,1779466587.327471,1522,,BS2DCE,,f,0,0,2395,2395,100,1,O,0,0,0,0,2,,,,,
0.191538,1779466587.327471,1522,,BS2DCE,,f,0,1,2065,2065,100,1,O,0,0,0,0,2,,,,,
0.191538,1779466587.327471,1522,,BS2DCE,,f,0,2,1767,1767,100,1,O,0,0,0,0,2,,,,,
0.191538,1779466587.327471,1522,,BS2DCE,,f,0,3,1898,1898,100,1,O,0,0,0,0,2,,,,,
0.191538,1779466587.327471,1522,,BS2DCE,,f,0,4,1794,1794,100,1,O,0,0,0,0,2,,,,,
0.191538,1779466587.327471,1522,,BS2DCE,,f,0,5,1813,1813,100,1,O,0,0,0,0,2,,,,,
0.191538,1779466587.327471,1522,,BS2DCE,,f,0,6,1301,1301,100,1,O,0,0,0,0,2,,,,,
0.191538,1779466587.327471,1522,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
0.292843,1779466587.428776,1523,,BS2DCE,,f,0,0,2200,2200,100,1,O,0,0,0,0,2,,,,,
0.292843,1779466587.428776,1523,,BS2DCE,,f,0,1,1989,1989,100,1,O,0,0,0,0,2,,,,,
0.292843,1779466587.428776,1523,,BS2DCE,,f,0,2,1806,1806,100,1,O,0,0,0,0,2,,,,,
0.292843,1779466587.428776,1523,,BS2DCE,,f,0,3,1931,1931,100,1,O,0,0,0,0,2,,,,,
0.292843,1779466587.428776,1523,,BS2DCE,,f,0,4,1840,1840,100,1,O,0,0,0,0,2,,,,,
0.292843,1779466587.428776,1523,,BS2DCE,,f,0,5,1777,1777,100,1,O,0,0,0,0,2,,,,,
0.292843,1779466587.428776,1523,,BS2DCE,,f,0,6,1348,1348,100,1,O,0,0,0,0,2,,,,,
0.292843,1779466587.428776,1523,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
0.390308,1779466587.526241,1524,,BS2DCE,,f,0,0,2209,2209,100,1,O,0,0,0,0,2,,,,,
0.390308,1779466587.526241,1524,,BS2DCE,,f,0,1,1963,1963,100,1,O,0,0,0,0,2,,,,,
0.390308,1779466587.526241,1524,,BS2DCE,,f,0,2,1883,1883,100,1,O,0,0,0,0,2,,,,,
0.390308,1779466587.526241,1524,,BS2DCE,,f,0,3,2040,2040,100,1,O,0,0,0,0,2,,,,,
0.390308,1779466587.526241,1524,,BS2DCE,,f,0,4,1769,1769,100,1,O,0,0,0,0,2,,,,,
0.390308,1779466587.526241,1524,,BS2DCE,,f,0,5,1710,1710,100,1,O,0,0,0,0,2,,,,,
0.390308,1779466587.526241,1524,,BS2DCE,,f,0,6,1305,1305,100,1,O,0,0,0,0,2,,,,,
0.390308,1779466587.526241,1524,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
0.551273,1779466587.687206,1525,,BS2DCE,,f,0,0,2183,2183,100,1,O,0,0,0,0,2,,,,,
0.551273,1779466587.687206,1525,,BS2DCE,,f,0,1,1873,1873,100,1,O,0,0,0,0,2,,,,,
0.551273,1779466587.687206,1525,,BS2DCE,,f,0,2,1787,1787,100,1,O,0,0,0,0,2,,,,,
0.551273,1779466587.687206,1525,,BS2DCE,,f,0,3,2119,2119,100,1,O,0,0,0,0,2,,,,,
0.551273,1779466587.687206,1525,,BS2DCE,,f,0,4,1817,1817,100,1,O,0,0,0,0,2,,,,,
0.551273,1779466587.687206,1525,,BS2DCE,,f,0,5,1748,1748,100,1,O,0,0,0,0,2,,,,,
0.551273,1779466587.687206,1525,,BS2DCE,,f,0,6,1302,1302,100,1,O,0,0,0,0,2,,,,,
0.551273,1779466587.687206,1525,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
0.615575,1779466587.751508,1526,,BS2DCE,,f,0,0,2179,2179,100,1,O,0,0,0,0,2,,,,,
0.615575,1779466587.751508,1526,,BS2DCE,,f,0,1,1743,1743,100,1,O,0,0,0,0,2,,,,,
0.615575,1779466587.751508,1526,,BS2DCE,,f,0,2,1786,1786,100,1,O,0,0,0,0,2,,,,,
0.615575,1779466587.751508,1526,,BS2DCE,,f,0,3,1959,1959,100,1,O,0,0,0,0,2,,,,,
0.615575,1779466587.751508,1526,,BS2DCE,,f,0,4,1776,1776,100,1,O,0,0,0,0,2,,,,,
0.615575,1779466587.751508,1526,,BS2DCE,,f,0,5,1578,1578,100,1,O,0,0,0,0,2,,,,,
0.615575,1779466587.751508,1526,,BS2DCE,,f,0,6,1376,1376,100,1,O,0,0,0,0,2,,,,,
0.615575,1779466587.751508,1526,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
0.705316,1779466587.841249,1527,,BS2DCE,,f,0,0,2082,2082,100,1,O,0,0,0,0,2,,,,,
0.705316,1779466587.841249,1527,,BS2DCE,,f,0,1,1712,1712,100,1,O,0,0,0,0,2,,,,,
0.705316,1779466587.841249,1527,,BS2DCE,,f,0,2,1781,1781,100,1,O,0,0,0,0,2,,,,,
0.705316,1779466587.841249,1527,,BS2DCE,,f,0,3,2128,2128,100,1,O,0,0,0,0,2,,,,,
0.705316,1779466587.841249,1527,,BS2DCE,,f,0,4,1746,1746,100,1,O,0,0,0,0,2,,,,,
0.705316,1779466587.841249,1527,,BS2DCE,,f,0,5,1492,1492,100,1,O,0,0,0,0,2,,,,,
0.705316,1779466587.841249,1527,,BS2DCE,,f,0,6,1271,1271,100,1,O,0,0,0,0,2,,,,,
0.705316,1779466587.841249,1527,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
0.788217,1779466587.92415,1528,,BS2DCE,,f,0,0,2062,2062,100,1,O,0,0,0,0,2,,,,,
0.788217,1779466587.92415,1528,,BS2DCE,,f,0,1,1561,1561,100,1,O,0,0,0,0,2,,,,,
0.788217,1779466587.92415,1528,,BS2DCE,,f,0,2,1689,1689,100,1,O,0,0,0,0,2,,,,,
0.788217,1779466587.92415,1528,,BS2DCE,,f,0,3,2046,2046,100,1,O,0,0,0,0,2,,,,,
0.788217,1779466587.92415,1528,,BS2DCE,,f,0,4,1772,1772,100,1,O,0,0,0,0,2,,,,,
0.788217,1779466587.92415,1528,,BS2DCE,,f,0,5,1555,1555,100,1,O,0,0,0,0,2,,,,,
0.788217,1779466587.92415,1528,,BS2DCE,,f,0,6,1433,1433,100,1,O,0,0,0,0,2,,,,,
0.788217,1779466587.92415,1528,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
0.892778,1779466588.028711,1529,,BS2DCE,,f,0,0,1976,1976,100,1,O,0,0,0,0,2,,,,,
0.892778,1779466588.028711,1529,,BS2DCE,,f,0,1,1559,1559,100,1,O,0,0,0,0,2,,,,,
0.892778,1779466588.028711,1529,,BS2DCE,,f,0,2,1702,1702,100,1,O,0,0,0,0,2,,,,,
0.892778,1779466588.028711,1529,,BS2DCE,,f,0,3,2090,2090,100,1,O,0,0,0,0,2,,,,,
0.892778,1779466588.028711,1529,,BS2DCE,,f,0,4,1737,1737,100,1,O,0,0,0,0,2,,,,,
0.892778,1779466588.028711,1529,,BS2DCE,,f,0,5,1446,1446,100,1,O,0,0,0,0,2,,,,,
0.892778,1779466588.028711,1529,,BS2DCE,,f,0,6,1424,1424,100,1,O,0,0,0,0,2,,,,,
0.892778,1779466588.028711,1529,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
1.01276,1779466588.148693,1530,,BS2DCE,,f,0,0,1994,1994,100,1,O,0,0,0,0,2,,,,,
1.01276,1779466588.148693,1530,,BS2DCE,,f,0,1,1525,1525,100,1,O,0,0,0,0,2,,,,,
1.01276,1779466588.148693,1530,,BS2DCE,,f,0,2,1876,1876,100,1,O,0,0,0,0,2,,,,,
1.01276,1779466588.148693,1530,,BS2DCE,,f,0,3,2091,2091,100,1,O,0,0,0,0,2,,,,,
1.01276,1779466588.148693,1530,,BS2DCE,,f,0,4,1711,1711,100,1,O,0,0,0,0,2,,,,,
1.01276,1779466588.148693,1530,,BS2DCE,,f,0,5,1621,1621,100,1,O,0,0,0,0,2,,,,,
1.01276,1779466588.148693,1530,,BS2DCE,,f,0,6,1496,1496,100,1,O,0,0,0,0,2,,,,,
1.01276,1779466588.148693,1530,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
1.0952,1779466588.231133,1531,,BS2DCE,,f,0,0,1993,1993,100,1,O,0,0,0,0,2,,,,,
1.0952,1779466588.231133,1531,,BS2DCE,,f,0,1,1408,1408,100,1,O,0,0,0,0,2,,,,,
1.0952,1779466588.231133,1531,,BS2DCE,,f,0,2,1803,1803,100,1,O,0,0,0,0,2,,,,,
1.0952,1779466588.231133,1531,,BS2DCE,,f,0,3,1986,1986,100,1,O,0,0,0,0,2,,,,,
1.0952,1779466588.231133,1531,,BS2DCE,,f,0,4,1727,1727,100,1,O,0,0,0,0,2,,,,,
1.0952,1779466588.231133,1531,,BS2DCE,,f,0,5,1414,1414,100,1,O,0,0,0,0,2,,,,,
1.0952,1779466588.231133,1531,,BS2DCE,,f,0,6,1552,1552,100,1,O,0,0,0,0,2,,,,,
1.0952,1779466588.231133,1531,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
1.200242,1779466588.336175,1532,,BS2DCE,,f,0,0,1834,1834,100,1,O,0,0,0,0,2,,,,,
1.200242,1779466588.336175,1532,,BS2DCE,,f,0,1,1385,1385,100,1,O,0,0,0,0,2,,,,,
1.200242,1779466588.336175,1532,,BS2DCE,,f,0,2,1858,1858,100,1,O,0,0,0,0,2,,,,,
1.200242,1779466588.336175,1532,,BS2DCE,,f,0,3,1929,1929,100,1,O,0,0,0,0,2,,,,,
1.200242,1779466588.336175,1532,,BS2DCE,,f,0,4,1679,1679,100,1,O,0,0,0,0,2,,,,,
1.200242,1779466588.336175,1532,,BS2DCE,,f,0,5,1615,1615,100,1,O,0,0,0,0,2,,,,,
1.200242,1779466588.336175,1532,,BS2DCE,,f,0,6,1703,1703,100,1,O,0,0,0,0,2,,,,,
1.200242,1779466588.336175,1532,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
1.33619,1779466588.472123,1533,,BS2DCE,,f,0,0,1708,1708,100,1,O,0,0,0,0,2,,,,,
1.33619,1779466588.472123,1533,,BS2DCE,,f,0,1,1420,1420,100,1,O,0,0,0,0,2,,,,,
1.33619,1779466588.472123,1533,,BS2DCE,,f,0,2,1846,1846,100,1,O,0,0,0,0,2,,,,,
1.33619,1779466588.472123,1533,,BS2DCE,,f,0,3,1881,1881,100,1,O,0,0,0,0,2,,,,,
1.33619,1779466588.472123,1533,,BS2DCE,,f,0,4,1677,1677,100,1,O,0,0,0,0,2,,,,,
1.33619,1779466588.472123,1533,,BS2DCE,,f,0,5,1556,1556,100,1,O,0,0,0,0,2,,,,,
1.33619,1779466588.472123,1533,,BS2DCE,,f,0,6,1688,1688,100,1,O,0,0,0,0,2,,,,,
1.33619,1779466588.472123,1533,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
1.387772,1779466588.523705,1534,,BS2DCE,,f,0,0,1576,1576,100,1,O,0,0,0,0,2,,,,,
1.387772,1779466588.523705,1534,,BS2DCE,,f,0,1,1488,1488,100,1,O,0,0,0,0,2,,,,,
1.387772,1779466588.523705,1534,,BS2DCE,,f,0,2,1911,1911,100,1,O,0,0,0,0,2,,,,,
1.387772,1779466588.523705,1534,,BS2DCE,,f,0,3,1902,1902,100,1,O,0,0,0,0,2,,,,,
1.387772,1779466588.523705,1534,,BS2DCE,,f,0,4,1633,1633,100,1,O,0,0,0,0,2,,,,,
1.387772,1779466588.523705,1534,,BS2DCE,,f,0,5,1622,1622,100,1,O,0,0,0,0,2,,,,,
1.387772,1779466588.523705,1534,,BS2DCE,,f,0,6,1714,1714,100,1,O,0,0,0,0,2,,,,,
1.387772,1779466588.523705,1534,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
1.562443,1779466588.698377,1535,,BS2DCE,,f,0,0,1504,1504,100,1,O,0,0,0,0,2,,,,,
1.562443,1779466588.698377,1535,,BS2DCE,,f,0,1,1944,1944,100,1,O,0,0,0,0,2,,,,,
1.562443,1779466588.698377,1535,,BS2DCE,,f,0,2,1941,1941,100,1,O,0,0,0,0,2,,,,,
1.562443,1779466588.698377,1535,,BS2DCE,,f,0,3,1802,1802,100,1,O,0,0,0,0,2,,,,,
1.562443,1779466588.698377,1535,,BS2DCE,,f,0,4,1603,1603,100,1,O,0,0,0,0,2,,,,,
1.562443,1779466588.698377,1535,,BS2DCE,,f,0,5,1412,1412,100,1,O,0,0,0,0,2,,,,,
1.562443,1779466588.698377,1535,,BS2DCE,,f,0,6,1685,1685,100,1,O,0,0,0,0,2,,,,,
1.562443,1779466588.698377,1535,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
1.611934,1779466588.747867,1536,,BS2DCE,,f,0,0,1330,1330,100,1,O,0,0,0,0,2,,,,,
1.611934,1779466588.747867,1536,,BS2DCE,,f,0,1,1628,1628,100,1,O,0,0,0,0,2,,,,,
1.611934,1779466588.747867,1536,,BS2DCE,,f,0,2,1938,1938,100,1,O,0,0,0,0,2,,,,,
1.611934,1779466588.747867,1536,,BS2DCE,,f,0,3,1820,1820,100,1,O,0,0,0,0,2,,,,,
1.611934,1779466588.747867,1536,,BS2DCE,,f,0,4,1577,1577,100,1,O,0,0,0,0,2,,,,,
1.611934,1779466588.747867,1536,,BS2DCE,,f,0,5,1600,1600,100,1,O,0,0,0,0,2,,,,,
1.611934,1779466588.747867,1536,,BS2DCE,,f,0,6,1813,1813,100,1,O,0,0,0,0,2,,,,,
1.611934,1779466588.747867,1536,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
1.710279,1779466588.846212,1537,,BS2DCE,,f,0,0,1408,1408,100,1,O,0,0,0,0,2,,,,,
1.710279,1779466588.846212,1537,,BS2DCE,,f,0,1,1556,1556,100,1,O,0,0,0,0,2,,,,,
1.710279,1779466588.846212,1537,,BS2DCE,,f,0,2,1902,1902,100,1,O,0,0,0,0,2,,,,,
1.710279,1779466588.846212,1537,,BS2DCE,,f,0,3,1719,1719,100,1,O,0,0,0,0,2,,,,,
1.710279,1779466588.846212,1537,,BS2DCE,,f,0,4,1500,1500,100,1,O,0,0,0,0,2,,,,,
1.710279,1779466588.846212,1537,,BS2DCE,,f,0,5,1622,1622,100,1,O,0,0,0,0,2,,,,,
1.710279,1779466588.846212,1537,,BS2DCE,,f,0,6,1954,1954,100,1,O,0,0,0,0,2,,,,,
1.710279,1779466588.846212,1537,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
1.800273,1779466588.936206,1538,,BS2DCE,,f,0,0,1359,1359,100,1,O,0,0,0,0,2,,,,,
1.800273,1779466588.936206,1538,,BS2DCE,,f,0,1,1562,1562,100,1,O,0,0,0,0,2,,,,,
1.800273,1779466588.936206,1538,,BS2DCE,,f,0,2,1901,1901,100,1,O,0,0,0,0,2,,,,,
1.800273,1779466588.936206,1538,,BS2DCE,,f,0,3,1709,1709,100,1,O,0,0,0,0,2,,,,,
1.800273,1779466588.936206,1538,,BS2DCE,,f,0,4,1504,1504,100,1,O,0,0,0,0,2,,,,,
1.800273,1779466588.936206,1538,,BS2DCE,,f,0,5,1700,1700,100,1,O,0,0,0,0,2,,,,,
1.800273,1779466588.936206,1538,,BS2DCE,,f,0,6,2068,2068,100,1,O,0,0,0,0,2,,,,,
1.800273,1779466588.936206,1538,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
1.905239,1779466589.041172,1539,,BS2DCE,,f,0,0,1362,1362,100,1,O,0,0,0,0,2,,,,,
1.905239,1779466589.041172,1539,,BS2DCE,,f,0,1,1706,1706,100,1,O,0,0,0,0,2,,,,,
1.905239,1779466589.041172,1539,,BS2DCE,,f,0,2,1864,1864,100,1,O,0,0,0,0,2,,,,,
1.905239,1779466589.041172,1539,,BS2DCE,,f,0,3,1653,1653,100,1,O,0,0,0,0,2,,,,,
1.905239,1779466589.041172,1539,,BS2DCE,,f,0,4,1444,1444,100,1,O,0,0,0,0,2,,,,,
1.905239,1779466589.041172,1539,,BS2DCE,,f,0,5,1781,1781,100,1,O,0,0,0,0,2,,,,,
1.905239,1779466589.041172,1539,,BS2DCE,,f,0,6,2021,2021,100,1,O,0,0,0,0,2,,,,,
1.905239,1779466589.041172,1539,,BS2DCE,,f,0,7,0,0,0,0,T,0,0,0,0,2,,,,,
2.004228,1779466589.140161,1540,,BS2DCE,,f,0,0,1381,1381,100,1,O,0,0,0,0,2,,,,,
2.004228,1779466589.140161,1540,,BS2DCE,,f,0,1,1820,1820,100,1,O,0,0,0,0,2,,,,,
2.004228,1779466589.140161,1540,,BS2DCE,,f,0,2,1877,1877,100,1,O,0,0,0,0,2,,,,,
2.004228,1779466589.140161,1540,,BS2DCE,,f,0,3,1592,1592,100,1,O,0,0,0,0,2,,,,,
