row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s,chunk_id,gpu_device,child_run_id
R2:L0:I0:T6,simulate_imu_prior,0.0991427730041323,,,,,agreement_0000,cuda:0,smoke_nightly_bootstrap_20260604T230701Z_agreement_0000_cuda0
R2:L0:I0:T6,cpu_golden,0.1875468429934699,,,,,agreement_0000,cuda:0,smoke_nightly_bootstrap_20260604T230701Z_agreement_0000_cuda0
R2:L0:I0:T6,torch_gpu,0.4639450560061959,0.0,1.0,0.4639450560061959,0.4639450560061959,agreement_0000,cuda:0,smoke_nightly_bootstrap_20260604T230701Z_agreement_0000_cuda0
R2:L2:I3:T6,simulate_imu_prior,0.6136772720055887,,,,,agreement_0000,cuda:0,smoke_nightly_bootstrap_20260604T230701Z_agreement_0000_cuda0
R2:L2:I3:T6,cpu_golden,0.2151108399993972,,,,,agreement_0000,cuda:0,smoke_nightly_bootstrap_20260604T230701Z_agreement_0000_cuda0
R2:L2:I3:T6,torch_gpu,0.305724783000187,0.0,1.0,0.305724783000187,0.305724783000187,agreement_0000,cuda:0,smoke_nightly_bootstrap_20260604T230701Z_agreement_0000_cuda0
R4:L8:I1+I2+I3+I8:T8,simulate_imu_prior,0.5313231479958631,,,,,agreement_0001,cuda:1,smoke_nightly_bootstrap_20260604T230701Z_agreement_0001_cuda1
R4:L8:I1+I2+I3+I8:T8,cpu_golden,0.1913285629998427,,,,,agreement_0001,cuda:1,smoke_nightly_bootstrap_20260604T230701Z_agreement_0001_cuda1
R4:L8:I1+I2+I3+I8:T8,torch_gpu,0.5467503929976374,0.0,1.0,0.5467503929976374,0.5467503929976374,agreement_0001,cuda:1,smoke_nightly_bootstrap_20260604T230701Z_agreement_0001_cuda1
R4:L14:I1+I2+I3+I8:T8,simulate_imu_prior,0.6223006679938408,,,,,agreement_0001,cuda:1,smoke_nightly_bootstrap_20260604T230701Z_agreement_0001_cuda1
R4:L14:I1+I2+I3+I8:T8,cpu_golden,0.1925561940006446,,,,,agreement_0001,cuda:1,smoke_nightly_bootstrap_20260604T230701Z_agreement_0001_cuda1
R4:L14:I1+I2+I3+I8:T8,torch_gpu,0.3148217300040414,0.0,1.0,0.3148217300040414,0.3148217300040414,agreement_0001,cuda:1,smoke_nightly_bootstrap_20260604T230701Z_agreement_0001_cuda1
R2:L0:I0:T6,simulate_imu_prior,0.1055387580126989,,,,,partial_raw_0000,cuda:0,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0000_cuda0
