chunk_id,stage,rows,row_count,max_tracks,max_frames,estimated_cost,status,attempts,gpu_device,started_utc,child_run_id,wall_time_s,log_path,finished_utc,message
agreement_0000,agreement,"['R2:L0:I0:T6', 'R2:L2:I3:T6']",2,2,200,2,done,1,cuda:0,2026-06-04T23:07:01.988552+00:00,smoke_nightly_bootstrap_20260604T230701Z_agreement_0000_cuda0,4.674711461004335,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/agreement_0000_cuda0.log,2026-06-04T23:07:06.666085+00:00,ok
agreement_0001,agreement,"['R4:L8:I1+I2+I3+I8:T8', 'R4:L14:I1+I2+I3+I8:T8']",2,2,200,2,done,1,cuda:1,2026-06-04T23:07:01.991300+00:00,smoke_nightly_bootstrap_20260604T230701Z_agreement_0001_cuda1,5.173860165989026,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/agreement_0001_cuda1.log,2026-06-04T23:07:07.170809+00:00,ok
partial_raw_0000,partial_raw,"['R2:L0:I0:T6', 'R2:L0:I0:T8']",2,1,20,2,done,1,cuda:0,2026-06-04T23:07:06.669725+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0000_cuda0,2.969534814998042,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0000_cuda0.log,2026-06-04T23:07:09.641632+00:00,ok
partial_raw_0001,partial_raw,"['R2:L0:I1:T6', 'R2:L0:I1:T8']",2,1,20,2,done,1,cuda:1,2026-06-04T23:07:07.174415+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0001_cuda1,2.9733164250064874,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0001_cuda1.log,2026-06-04T23:07:10.152241+00:00,ok
partial_raw_0002,partial_raw,"['R2:L0:I3:T6', 'R2:L0:I3:T8']",2,1,20,2,done,1,cuda:0,2026-06-04T23:07:09.646379+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0002_cuda0,2.9190836110064993,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0002_cuda0.log,2026-06-04T23:07:12.569752+00:00,ok
partial_raw_0003,partial_raw,"['R2:L0:I4:T6', 'R2:L0:I4:T8']",2,1,20,2,done,1,cuda:1,2026-06-04T23:07:10.155878+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0003_cuda1,2.9696235900046304,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0003_cuda1.log,2026-06-04T23:07:13.129619+00:00,ok
partial_raw_0004,partial_raw,"['R2:L0:I7:T6', 'R2:L0:I7:T8']",2,1,20,2,done,1,cuda:0,2026-06-04T23:07:12.573181+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0004_cuda0,2.9700060470058816,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0004_cuda0.log,2026-06-04T23:07:15.546168+00:00,ok
partial_raw_0005,partial_raw,"['R2:L0:I8:T6', 'R2:L0:I8:T8']",2,1,20,2,done,1,cuda:1,2026-06-04T23:07:13.133357+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0005_cuda1,2.96905557300488,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0005_cuda1.log,2026-06-04T23:07:16.106843+00:00,ok
partial_raw_0006,partial_raw,"['R2:L0:I1+I3+I7:T6', 'R2:L0:I1+I3+I7:T8']",2,1,20,2,done,1,cuda:0,2026-06-04T23:07:15.550060+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0006_cuda0,2.9191505499911727,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0006_cuda0.log,2026-06-04T23:07:18.471690+00:00,ok
partial_raw_0007,partial_raw,"['R2:L0:I1+I2+I3+I8:T6', 'R2:L0:I1+I2+I3+I8:T8']",2,1,20,2,done,1,cuda:1,2026-06-04T23:07:16.110425+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0007_cuda1,3.020939616995747,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0007_cuda1.log,2026-06-04T23:07:19.135934+00:00,ok
partial_raw_0008,partial_raw,"['R2:L1:I0:T6', 'R2:L1:I0:T8']",2,1,20,2,done,1,cuda:0,2026-06-04T23:07:18.475090+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0008_cuda0,3.772563499005628,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0008_cuda0.log,2026-06-04T23:07:22.252266+00:00,ok
partial_raw_0009,partial_raw,"['R2:L1:I1:T6', 'R2:L1:I1:T8']",2,1,20,2,done,1,cuda:1,2026-06-04T23:07:19.141975+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0009_cuda1,3.771193445994868,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0009_cuda1.log,2026-06-04T23:07:22.916997+00:00,ok
partial_raw_0010,partial_raw,"['R2:L1:I3:T6', 'R2:L1:I3:T8']",2,1,20,2,done,1,cuda:0,2026-06-04T23:07:22.256911+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0010_cuda0,3.771444935002364,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0010_cuda0.log,2026-06-04T23:07:26.032596+00:00,ok
partial_raw_0011,partial_raw,"['R2:L1:I4:T6', 'R2:L1:I4:T8']",2,1,20,2,done,1,cuda:1,2026-06-04T23:07:22.920570+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0011_cuda1,3.9218771980085876,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0011_cuda1.log,2026-06-04T23:07:26.846891+00:00,ok
partial_raw_0012,partial_raw,"['R2:L1:I7:T6', 'R2:L1:I7:T8']",2,1,20,2,done,1,cuda:0,2026-06-04T23:07:26.036113+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0012_cuda0,3.7716537410015007,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0012_cuda0.log,2026-06-04T23:07:29.812234+00:00,ok
partial_raw_0013,partial_raw,"['R2:L1:I8:T6', 'R2:L1:I8:T8']",2,1,20,2,done,1,cuda:1,2026-06-04T23:07:26.850352+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0013_cuda1,3.7740050650027115,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0013_cuda1.log,2026-06-04T23:07:30.628874+00:00,ok
partial_raw_0014,partial_raw,"['R2:L1:I1+I3+I7:T6', 'R2:L1:I1+I3+I7:T8']",2,1,20,2,done,1,cuda:0,2026-06-04T23:07:29.816924+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0014_cuda0,3.7794751020119293,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0014_cuda0.log,2026-06-04T23:07:33.602384+00:00,ok
partial_raw_0015,partial_raw,"['R2:L1:I1+I2+I3+I8:T6', 'R2:L1:I1+I2+I3+I8:T8']",2,1,20,2,done,1,cuda:1,2026-06-04T23:07:30.632437+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0015_cuda1,3.920997070003068,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0015_cuda1.log,2026-06-04T23:07:34.557835+00:00,ok
partial_raw_0016,partial_raw,"['R2:L2:I0:T6', 'R2:L2:I0:T8']",2,1,20,2,done,1,cuda:0,2026-06-04T23:07:33.606026+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0016_cuda0,4.074599681989639,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0016_cuda0.log,2026-06-04T23:07:37.685224+00:00,ok
partial_raw_0017,partial_raw,"['R2:L2:I1:T6', 'R2:L2:I1:T8']",2,1,20,2,done,1,cuda:1,2026-06-04T23:07:34.563629+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0017_cuda1,4.022790562987211,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0017_cuda1.log,2026-06-04T23:07:38.592368+00:00,ok
partial_raw_0018,partial_raw,"['R2:L2:I3:T6', 'R2:L2:I3:T8']",2,1,20,2,done,1,cuda:0,2026-06-04T23:07:37.688685+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0018_cuda0,4.0766664590046275,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0018_cuda0.log,2026-06-04T23:07:41.769931+00:00,ok
partial_raw_0019,partial_raw,"['R2:L2:I4:T6', 'R2:L2:I4:T8']",2,1,20,2,done,1,cuda:1,2026-06-04T23:07:38.595919+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0019_cuda1,3.923943302987027,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0019_cuda1.log,2026-06-04T23:07:42.524262+00:00,ok
partial_raw_0020,partial_raw,"['R2:L2:I7:T6', 'R2:L2:I7:T8']",2,1,20,2,done,1,cuda:0,2026-06-04T23:07:41.774191+00:00,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0020_cuda0,3.7707815600006143,runs/phase4_algorithm_factory/smoke_nightly_bootstrap_20260604T230701Z/logs/partial_raw_0020_cuda0.log,2026-06-04T23:07:45.547218+00:00,ok
