sample_utc,gpu_index,gpu_util_pct,mem_used_mb,mem_total_mb,temperature_c,power_w
2026-06-04T23:07:02.012340+00:00,0,0.0,150.0,11264.0,23.0,8.96
2026-06-04T23:07:02.012359+00:00,1,0.0,10.0,11264.0,25.0,7.71
2026-06-04T23:07:17.037993+00:00,0,0.0,150.0,11264.0,29.0,56.92
2026-06-04T23:07:17.038009+00:00,1,0.0,10.0,11264.0,31.0,58.76
2026-06-04T23:07:32.067523+00:00,0,0.0,150.0,11264.0,32.0,52.51
2026-06-04T23:07:32.067552+00:00,1,0.0,10.0,11264.0,34.0,58.94
2026-06-04T23:07:47.097337+00:00,0,0.0,150.0,11264.0,34.0,57.78
2026-06-04T23:07:47.097355+00:00,1,0.0,10.0,11264.0,36.0,59.14
2026-06-04T23:08:02.127571+00:00,0,0.0,150.0,11264.0,36.0,58.15
2026-06-04T23:08:02.127592+00:00,1,0.0,10.0,11264.0,37.0,59.29
2026-06-04T23:08:17.155777+00:00,0,0.0,150.0,11264.0,37.0,58.17
2026-06-04T23:08:17.155806+00:00,1,1.0,196.0,11264.0,39.0,56.55
2026-06-04T23:08:32.184132+00:00,0,0.0,372.0,11264.0,38.0,58.55
2026-06-04T23:08:32.184155+00:00,1,3.0,232.0,11264.0,40.0,56.55
2026-06-04T23:08:47.210968+00:00,0,0.0,150.0,11264.0,39.0,58.74
2026-06-04T23:08:47.210989+00:00,1,0.0,10.0,11264.0,41.0,60.0
2026-06-04T23:09:02.239555+00:00,0,0.0,150.0,11264.0,40.0,58.93
2026-06-04T23:09:02.239571+00:00,1,0.0,10.0,11264.0,42.0,60.0
2026-06-04T23:09:17.271983+00:00,0,0.0,150.0,11264.0,41.0,59.03
2026-06-04T23:09:17.272003+00:00,1,1.0,196.0,11264.0,43.0,57.03
2026-06-04T23:09:32.299182+00:00,0,0.0,150.0,11264.0,42.0,59.23
2026-06-04T23:09:32.299197+00:00,1,0.0,196.0,11264.0,44.0,57.12
2026-06-04T23:09:47.327428+00:00,0,0.0,150.0,11264.0,43.0,59.41
2026-06-04T23:09:47.327451+00:00,1,0.0,232.0,11264.0,45.0,57.12
2026-06-04T23:10:02.357482+00:00,0,4.0,150.0,11264.0,44.0,59.52
2026-06-04T23:10:02.357501+00:00,1,0.0,232.0,11264.0,46.0,57.31
