capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust,chunk_id,gpu_device,child_run_id
R01,BS2DCE,200,200,0.0002844611919108,0.0004734098324384,0.0005673513425709,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False,agreement_0000,cuda:0,smoke_nightly_bootstrap_20260604T230701Z_agreement_0000_cuda0
R01,BSDC91,200,200,0.0003278468853153,0.0005416651669562,0.0006138612278366,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False,agreement_0000,cuda:0,smoke_nightly_bootstrap_20260604T230701Z_agreement_0000_cuda0
R01,BS2DCE,200,200,0.0004309470310156,0.0007693117116988,0.0008583502913517,1.0,1.0,R2:L2:I3:T6,R2,L2,I3,T6,100.88,1.0,False,agreement_0000,cuda:0,smoke_nightly_bootstrap_20260604T230701Z_agreement_0000_cuda0
R01,BSDC91,200,200,0.0004549448588733,0.0008531936569895,0.0010561584529001,1.0,1.0,R2:L2:I3:T6,R2,L2,I3,T6,100.88,1.0,False,agreement_0000,cuda:0,smoke_nightly_bootstrap_20260604T230701Z_agreement_0000_cuda0
R01,BS2DCE,200,200,0.0004028037801813,0.000716840465577,0.0008680616963734,1.0,1.0,R4:L8:I1+I2+I3+I8:T8,R4,L8,I1+I2+I3+I8,T8,104.595,1.35,True,agreement_0001,cuda:1,smoke_nightly_bootstrap_20260604T230701Z_agreement_0001_cuda1
R01,BSDC91,200,200,0.0003427352969169,0.0006686497192014,0.0008384234335667,1.0,1.0,R4:L8:I1+I2+I3+I8:T8,R4,L8,I1+I2+I3+I8,T8,104.595,1.35,True,agreement_0001,cuda:1,smoke_nightly_bootstrap_20260604T230701Z_agreement_0001_cuda1
R01,BS2DCE,200,200,0.0003728877703743,0.0005664143165526,0.0006392280489062,1.0,1.0,R4:L14:I1+I2+I3+I8:T8,R4,L14,I1+I2+I3+I8,T8,60.8855,1.35,True,agreement_0001,cuda:1,smoke_nightly_bootstrap_20260604T230701Z_agreement_0001_cuda1
R01,BSDC91,200,200,0.0003484684158015,0.0005246135739762,0.0005877114033199,1.0,1.0,R4:L14:I1+I2+I3+I8:T8,R4,L14,I1+I2+I3+I8,T8,60.8855,1.35,True,agreement_0001,cuda:1,smoke_nightly_bootstrap_20260604T230701Z_agreement_0001_cuda1
R01,BS2DCE,20,20,0.000198988984265,0.0002616847166206,0.0002701976977263,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False,partial_raw_0000,cuda:0,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0000_cuda0
R01,BS2DCE,20,20,0.000198988984265,0.0002616847166206,0.0002701976977263,1.0,1.0,R2:L0:I0:T8,R2,L0,I0,T8,45.0,1.0,True,partial_raw_0000,cuda:0,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0000_cuda0
R01,BS2DCE,20,20,0.000198988984265,0.0002616847166206,0.0002701976977263,1.0,1.0,R2:L0:I1:T6,R2,L0,I1,T6,45.0,1.0,False,partial_raw_0001,cuda:1,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0001_cuda1
R01,BS2DCE,20,20,0.000198988984265,0.0002616847166206,0.0002701976977263,1.0,1.0,R2:L0:I1:T8,R2,L0,I1,T8,45.0,1.0,True,partial_raw_0001,cuda:1,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0001_cuda1
R01,BS2DCE,20,20,0.000198988984265,0.0002616847166206,0.0002701976977263,1.0,1.0,R2:L0:I3:T6,R2,L0,I3,T6,45.0,1.0,False,partial_raw_0002,cuda:0,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0002_cuda0
R01,BS2DCE,20,20,0.000198988984265,0.0002616847166206,0.0002701976977263,1.0,1.0,R2:L0:I3:T8,R2,L0,I3,T8,45.0,1.0,True,partial_raw_0002,cuda:0,smoke_nightly_bootstrap_20260604T230701Z_partial_raw_0002_cuda0
