ID,capture,frames_4anchor,skipped,D3_std_4anchor,X_std_4anchor,Y_std_4anchor,Z_std_4anchor,radial_p95_4anchor,radial_max_4anchor,frames_all_anchor,D3_std_all_anchor,X_std_all_anchor,Y_std_all_anchor,Z_std_all_anchor,top_selected_subsets
ID01,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID01_20260513_152958,601,0,81.619798781482,64.13386426255407,23.11410175542998,44.88181489112856,170.49465212521184,423.36387248479923,601,45.0463413368328,20.136706820119528,16.393248023321135,36.809609146537824,BDEG:503;ACFG:50;ADEF:33;CDEG:15
ID02,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID02_20260513_153316,601,0,72.61028518010534,31.826190240448685,17.218608147960182,62.95130389564614,140.32917142446772,286.4679473155344,601,38.335492487778,16.26911046324731,14.207805350629895,31.67119031760178,BDEG:601
ID03,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID03_20260513_154008,600,0,45.35316975959338,28.58219335486046,18.72974257847921,29.818869415384757,77.51050921369509,115.7648340802286,600,36.93720038070156,22.118389582399058,18.278383941140035,23.260143910681084,BDEG:600
ID04,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID04_20260513_163638,601,0,90.96368809935393,35.513531264560406,22.927919257626584,80.54496985084414,215.29484020273037,547.8130569890454,601,58.87557932994345,25.509114831992115,15.44456241162569,50.76499181363179,BDEG:557;ADEF:32;CDEG:6;BDEF:6
ID05,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID05_20260513_163117,601,0,62.048894496372945,34.57076421379994,19.090888307617345,47.85880852593334,101.9568110786286,357.3802513601999,601,48.26625374289071,27.271703212522084,14.073764373200804,37.25338388158649,BDEG:601
ID06,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID06_20260513_154321,600,0,41.39275778557183,24.34682365880258,14.613612440316423,30.117020208951907,70.71020761759068,106.20358405618455,600,30.167723121360563,19.234452885049084,12.607088058779723,19.52405365742661,BDEG:593;ADEF:7
ID07,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID07_20260513_164048,600,0,80.94025155269242,34.26192684567445,26.71443698107367,68.29189957102543,119.93172826057882,729.0809852733904,600,54.638813013316366,21.204460805958142,15.314821511568175,47.9711055897354,BDEG:584;ADEF:16
ID08,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID08_20260513_162857,601,0,67.35585159734212,39.66483873262657,22.580107835664453,49.53433196125358,71.74380645098994,717.2597684450639,601,42.41959092190269,25.02175929142376,16.093376810269074,30.237997268111386,BDEG:596;ACFG:3;ADEF:2
ID09,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID09_20260513_154629,601,0,48.71541413722899,25.72648201628229,18.266347921553944,37.11711507157278,81.34034902425375,130.71637174776853,601,36.31338234684457,20.34830011550432,13.473705692699838,26.889917716199836,BDEG:601
ID11,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID11_20260513_162534,601,0,60.405367264520436,28.402651772791778,19.18796836883423,49.7385126085586,107.71236432069331,232.18616806293218,601,44.97783380952826,19.17144852841961,14.960332078022422,37.83714523632821,BDEG:549;CDEG:30;ACFG:22
ID12,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID12_20260513_154958,601,0,49.73720435409414,27.829773748176688,17.39888420064301,37.370737464744145,84.42339183417207,127.82262005132903,601,38.862618240517385,23.835190028312944,15.636127339464254,26.413979909253822,BDEG:601
ID13,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID13_20260513_161529,601,0,74.34877557128453,35.32803695409578,17.936308447167846,62.91231257239981,104.89791525605433,411.8491495238996,601,50.752555774453995,23.594079050426306,13.122840604296044,42.97595148307408,BDEG:590;ACFG:11
