mount,temporal_region_only,segment_id,point_index,hardware_s,raw_x_m,raw_y_m,raw_z_m,smoothed_x_m,smoothed_y_m,smoothed_z_m
A,vertical_original,A-vertical_original-01,0,2406.814397,2.832328534963649,1.1276800692024151,1.3602342726314514,2.8354712244012257,1.1256872251611865,1.281299022996825
A,vertical_original,A-vertical_original-01,1,2406.934382,2.824614814459577,1.090142695441897,1.3969521401365486,2.839306712655352,1.1239361444912062,1.271524091336176
A,vertical_original,A-vertical_original-01,2,2407.054562,2.856730953350149,1.12232657508847,1.2688390728779855,2.8471862157253014,1.1239040324295728,1.2454309859803332
A,vertical_original,A-vertical_original-01,3,2407.174697,2.861165057534535,1.1404803448387,1.1967738040171887,2.8565338131150435,1.125436782476337,1.2019898276492031
A,vertical_original,A-vertical_original-01,4,2407.294623,2.865469731126811,1.0431200276580614,1.2008735506261081,2.8658628871091913,1.1277009527574515,1.144231848314074
A,vertical_original,A-vertical_original-01,5,2407.414606,2.8914353309262593,1.1467798732336512,1.034401070230956,2.8751331477782225,1.1296593843076999,1.0812691721656584
A,vertical_original,A-vertical_original-01,6,2407.534377,2.8765966483307306,1.131750128151303,0.9922155087965286,2.884876289753205,1.1307571825349478,1.0250124275734471
A,vertical_original,A-vertical_original-01,7,2407.654395,2.923391275870439,1.1310217832175031,0.7766434752829678,2.8950134108394616,1.1311806149228056,0.9826130868839873
A,vertical_original,A-vertical_original-01,8,2407.774412,2.8555233697957134,1.1419837604329175,0.9280513603353293,2.904256974494579,1.1316261951770799,0.9549336449117165
A,vertical_original,A-vertical_original-01,9,2407.894399,2.9135835344015057,1.119448735952988,1.0579963501239087,2.91099450017429,1.132987195685518,0.9431698781423842
A,vertical_original,A-vertical_original-02,0,2407.894399,2.9135835344015057,1.119448735952988,1.0579963501239087,2.91099450017429,1.132987195685518,0.9431698781423842
A,vertical_original,A-vertical_original-02,1,2408.014416,2.9141278198438045,1.1725641815658674,0.9996057211359237,2.914661078796186,1.136007164619343,0.9520746444017709
A,vertical_original,A-vertical_original-02,2,2408.134408,2.910949520104912,1.1116686712713169,0.8092476929047032,2.9157560271139777,1.140772954979517,0.9860443003176332
A,vertical_original,A-vertical_original-02,3,2408.254735,2.9335552559865317,1.1337590372092319,0.8775150860662503,2.9149238032974227,1.1463843854544848,1.0455682711064376
A,vertical_original,A-vertical_original-02,4,2408.374619,2.9470249998209,1.1958340456637817,1.091638243831383,2.9124124639426627,1.1515894849977364,1.1250656200783282
A,vertical_original,A-vertical_original-02,5,2408.494426,2.841744688102345,1.1554849771863984,1.255568292315424,2.90832362652228,1.1559495315890078,1.2107402446621813
A,vertical_original,A-vertical_original-02,6,2408.614413,2.8761438733359705,1.153907402730382,1.381270403723087,2.9033968808806447,1.1599343975476342,1.2845731950831616
A,vertical_original,A-vertical_original-02,7,2408.734396,2.9205802292810508,1.1916577200939784,1.5220664080622512,2.898961401291492,1.1637564178790505,1.33216349941879
A,vertical_original,A-vertical_original-02,8,2408.854416,2.893931737422296,1.010688566772792,1.3042045246760936,2.895584886572525,1.1664684820225302,1.3444732337479175
A,vertical_original,A-vertical_original-03,0,2408.854416,2.893931737422296,1.010688566772792,1.3042045246760936,2.895584886572525,1.1664684820225302,1.3444732337479175
A,vertical_original,A-vertical_original-03,1,2408.974436,2.9375227882283688,1.1785907498754638,1.311627606592494,2.8923414185127747,1.1669332455415486,1.3159766289872292
A,vertical_original,A-vertical_original-03,2,2409.094419,2.8276385523678758,1.1945209633851537,1.3858491808048385,2.8875375286866434,1.1658021461153363,1.2460372543370297
A,vertical_original,A-vertical_original-03,3,2409.214405,2.8894324490133823,1.1567939262042453,1.1121144224919004,2.879849738163997,1.1658602875907538,1.1414827897959
A,vertical_original,A-vertical_original-03,4,2409.334738,2.8639942280995827,1.1372480637706301,1.0332379253555644,2.8691640835916656,1.170912351695047,1.0157348327118931
A,vertical_original,A-vertical_original-03,5,2409.454601,2.9016324114832783,1.20534649202751,0.7736176923087084,2.8566760064104297,1.183985367911725,0.8842988841006986
A,vertical_original,A-vertical_original-03,6,2409.574426,2.838972169031471,1.132753751569407,0.8470110969366291,2.8443930132061688,1.2044064175956464,0.7604626817004392
A,vertical_original,A-vertical_original-03,7,2409.694413,2.83797312905082,1.2315655012402131,0.7247965966771623,2.834676961521759,1.2266339255928336,0.6559991952296261
A,vertical_original,A-vertical_original-03,8,2409.814400,2.809269563590946,1.279034825690781,0.4568625620814465,2.829851978852487,1.2430856583109664,0.5868023733097655
A,vertical_original,A-vertical_original-03,9,2409.934466,2.8235533754532374,1.3035469703314941,0.5320932802590645,2.8315595794143946,1.247984300668464,0.5729044994669712
A,vertical_original,A-vertical_original-04,0,2409.934466,2.8235533754532374,1.3035469703314941,0.5320932802590645,2.8315595794143946,1.247984300668464,0.5729044994669712
A,vertical_original,A-vertical_original-04,1,2410.054437,2.791966959283831,1.2575291496297185,0.5318796374386863,2.839524670152112,1.2395680206526156,0.62701577877325
A,vertical_original,A-vertical_original-04,2,2410.174422,2.9229788483410273,1.2236834079451102,0.7175050530468418,2.8506359130950307,1.2208563458433341,0.7422120432216948
A,vertical_original,A-vertical_original-04,3,2410.294436,2.9186522000263664,1.1568544308133737,0.957959516360692,2.860499214751411,1.198549992900875,0.8914315343725449
