mount,dataset_role,hardware_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,ba_x,ba_y,ba_z,covariance_condition
A,HELDOUT,2658.606214,3.0540560214174683,1.0542057761163224,0.7787391694659402,0.0,0.0,0.0,0.7147112757031386,0.05482545998512921,0.6970480324692333,0.017492905732952514,0.0,0.0,0.0,809999.9999999999
A,HELDOUT,2658.656214,3.053825036850671,1.0532958711322549,0.7786950929900783,-0.009748709744112153,-0.03700649059167833,0.0012141929219706164,0.7147494170742209,0.054788086307592236,0.6970158297259992,0.01733405613785064,0.0,0.0,0.0,809999.9999999999
A,HELDOUT,2658.706214,3.05365279585518,1.052813451724875,0.7787396115174507,-0.022375813308096702,-0.06077507714489685,0.003500203035257062,0.7149014912227469,0.04654663599926202,0.6976191365717631,0.008764063755629655,-3.432634373642704e-07,-2.429067819778915e-06,-5.874429521505185e-07,920417.5951734153
A,HELDOUT,2658.756214,3.0522102195092655,1.049055621758725,0.7788245695171682,-0.037727935928705374,-0.08853039911423771,0.004508703319677822,0.7149046103645682,0.04656983204848867,0.6976139304466801,0.008800731173902326,-3.432634373642704e-07,-2.429067819778915e-06,-5.874429521505185e-07,920417.5951734153
A,HELDOUT,2658.806214,3.050184876957515,1.043816573171229,0.7789063541337232,-0.04678086303792419,-0.11955792603359505,0.005814861518864317,0.7149217077381076,0.046531790950030474,0.697599193181355,0.008781224774101076,-3.432634373642704e-07,-2.429067819778915e-06,-5.874429521505185e-07,920417.5951734153
A,HELDOUT,2658.856214,3.020394421968921,1.361972377541338,0.5936722447052847,0.045658030015045446,2.391177229301872,-0.12961236849101326,0.613939864247118,-0.3313641121359714,0.6118185742922443,-0.37276493991197096,-0.010627094937419363,7.207137555174932e-05,0.0014181902101112244,920417.5951734153
A,HELDOUT,2658.906214,3.0199772168315175,1.4927940377719922,0.5878958779490073,0.05635328878116895,2.8217791206569167,-0.37936175730242666,0.6139044007593739,-0.3314069251072801,0.61184341153156,-0.3727445190537803,-0.010627094937419363,7.207137555174932e-05,0.0014181902101112244,920417.5951734153
A,HELDOUT,2658.956214,2.9261127053876606,1.356734211218718,0.6022254820807991,-0.2863084419398877,1.4017706376469443,-0.016778926065623697,0.7294701221685596,-0.09210319612409064,0.6657011319811234,-0.12740622043748542,-0.008474144233995238,0.00011649848019249607,0.009143252777510663,920417.5951734153
A,HELDOUT,2659.006214,2.9095306241870986,1.4306695296939085,0.6055149645694976,-0.3227223209801361,1.5694671166623073,-0.045599069082349064,0.7294419518119697,-0.09201642760474762,0.6657795752217551,-0.12722017609303785,-0.008474144233995238,0.00011649848019249607,0.009143252777510663,920417.5951734153
A,HELDOUT,2659.056214,2.8908972122513807,1.512882098632381,0.6079265126706407,-0.36051407147349335,1.7303000155050337,-0.07290781455978342,0.729446905003252,-0.09189932833021369,0.6657897302891849,-0.127223273323268,-0.008474144233995238,0.00011649848019249607,0.009143252777510663,920417.5951734153
