mount,omitted_segment_id,rotation_change_deg
A,A-vertical_original-01,0.30415135051760095
A,A-vertical_original-02,0.46315477346821426
A,A-vertical_original-03,0.24511837006795553
A,A-vertical_original-04,0.23207632286871027
A,A-vertical_original-06,0.17950439676440988
A,A-vertical_original-07,0.4411089372298497
A,A-vertical_original-08,0.18122796339426037
A,A-vertical_original-09,0.04987596601091145
A,A-vertical_original-10,0.10944519317057103
A,A-vertical_original-11,0.3409545103714991
A,A-vertical_original-12,1.0014865943544342
A,A-vertical_retry-01,0.23166738648829374
A,A-vertical_retry-02,0.26224254101782857
A,A-vertical_retry-03,0.1723589625122455
A,A-vertical_retry-04,0.22049366037559434
A,A-vertical_retry-05,0.3962276776455357
A,A-vertical_retry-06,0.11991939827076185
A,A-vertical_retry-07,0.36416644579179436
A,A-vertical_retry-08,1.0002296263235158
A,A-horizontal_1-03,0.651820940982086
A,A-horizontal_1-04,0.8050974179628636
A,A-horizontal_1-05,0.6479897999221418
A,A-horizontal_1-06,0.40407457145359615
A,A-horizontal_1-07,0.974655598231139
A,A-horizontal_1-08,1.2150869569538116
A,A-horizontal_1-09,0.46943903898212674
A,A-horizontal_2-03,0.8833731958457942
A,A-horizontal_2-04,0.4816614759139243
A,A-horizontal_2-05,0.511691876404997
A,A-horizontal_2-07,0.8024301466886646
B,B-vertical_original-01,0.41729022517698844
B,B-vertical_original-02,0.28441131644825524
B,B-vertical_original-03,0.3319835177553189
B,B-vertical_original-04,0.22209665285689786
B,B-vertical_original-05,0.27192743015678944
B,B-vertical_original-06,0.30241588309299566
B,B-vertical_original-07,0.11176002819551668
B,B-vertical_original-08,0.27586534975162563
B,B-vertical_original-10,2.987035603250207
B,B-vertical_retry-01,1.304562102185821
B,B-vertical_retry-02,0.26527747197748247
B,B-vertical_retry-04,1.1076143504687543
B,B-vertical_retry-05,0.22106523220200242
B,B-vertical_retry-06,0.7572441097720862
B,B-vertical_retry-07,0.5195504050081236
B,B-vertical_retry-08,0.5543197245107196
B,B-horizontal_1-01,1.7963673972134222
B,B-horizontal_1-02,2.3826141151903077
B,B-horizontal_2-02,3.472643116771175
