segment_id,mount,time_offset_s,imu_samples,raw_end_velocity_mps,zupt_end_velocity_mps,zupt_displacement_N_m,decision
A-vertical_original-01,A,0.0,216,"[-0.008711288500919229,-0.045511005105573675,0.13766104474376006]","[0.0,0.0,0.0]","[0.05024630051922932,-0.0148166702486351,-0.37660559096507273]",ACCEPT
A-vertical_original-02,A,0.0,192,"[-0.003981154634615337,-0.12080982771686075,-0.029253023319140762]","[0.0,0.0,0.0]","[-0.007740283947428568,-0.016712550700218577,0.5299830964039955]",ACCEPT
A-vertical_original-03,A,0.0,216,"[0.053731780903772404,-0.13623790831816635,0.17428773349403864]","[0.0,0.0,0.0]","[0.02856948087430333,0.006081846177120836,-0.4096820922717268]",ACCEPT
A-vertical_original-04,A,0.0,192,"[0.026897032089734232,-0.1004890920890243,0.03069743281625332]","[0.0,0.0,0.0]","[0.006123577694725586,-0.0009247452450222615,0.47668337937310284]",ACCEPT
A-vertical_original-05,A,0.0,408,"[0.06747657183814143,-0.21493216743728835,0.050803063508311146]","[0.0,0.0,0.0]","[0.01989360252053395,0.0024394081129120427,0.08213832181903896]",REJECT_T4_DISPLACEMENT
A-vertical_original-06,A,0.0,192,"[0.029472574653909005,-0.14239385344165553,0.05345746259165609]","[0.0,0.0,0.0]","[-0.025543118477244397,0.004011675218406421,-0.4379974979228039]",ACCEPT
A-vertical_original-07,A,0.0,216,"[-0.07687143916598674,-0.15640675498347775,0.021697557508707103]","[0.0,0.0,0.0]","[-0.023502305413038053,-0.0010146999413754097,0.48971237023924147]",ACCEPT
A-vertical_original-08,A,0.0,192,"[-0.015877717408753607,-0.17625763966559707,0.023021239163521695]","[0.0,0.0,0.0]","[-0.002145640413414871,0.005888266359454234,-0.41352170797201626]",ACCEPT
A-vertical_original-09,A,0.0,192,"[-0.057546320192614894,-0.15469021695581606,0.08508036282880486]","[0.0,0.0,0.0]","[-0.010228140844593048,-0.007218060421991967,0.4970461542860786]",ACCEPT
A-vertical_original-10,A,0.0,216,"[0.011282844963214828,-0.17951791055448166,0.04510716394408578]","[0.0,0.0,0.0]","[0.004012912834971629,-0.013406608802747062,-0.4453059989644147]",ACCEPT
