mount,dataset_role,hardware_s,x_m,y_m,z_m,sweep
A,HELDOUT,2658.697135,3.0540560214174683,1.0542057761163224,0.7787391694659402,22150
A,HELDOUT,2658.817438,2.9698442681576886,1.3269656013861904,0.2838766646811313,22151
A,HELDOUT,2658.937112,2.8058916190746546,1.2925291535696246,0.6421894667524997,22152
A,HELDOUT,2659.057129,2.7898626235997828,1.3653925877226045,0.5216402379874981,22153
A,HELDOUT,2659.177119,2.774577574594776,1.3044663215466246,0.5447185669087673,22154
A,HELDOUT,2659.297135,2.8110426284043597,1.2780438435099952,0.587217795713267,22155
A,HELDOUT,2659.417123,2.836770697612797,1.3126546100199066,0.5568881202473426,22156
A,HELDOUT,2659.537107,2.8081929964279264,1.2429642182620795,0.6347301357875089,22157
A,HELDOUT,2659.657125,2.8700253170370886,1.165132207730265,0.7415365620592793,22158
A,HELDOUT,2659.777146,2.9211798386305183,1.2093226594171205,0.964544170417307,22159
A,HELDOUT,2659.897443,2.9239661101814662,1.2041463192116377,0.8745611280061034,22160
A,HELDOUT,2660.017367,2.840851373769377,1.1855965420528134,0.8011415341434651,22161
A,HELDOUT,2660.137164,2.8861468897111267,1.2211276941313876,0.8980469332370545,22162
A,HELDOUT,2660.257120,2.917218373192932,1.2896381951956564,0.8517424245602928,22163
A,HELDOUT,2660.377135,2.8786943318096014,1.2572224189884775,0.8827805031410333,22164
A,HELDOUT,2660.497154,2.902581683539252,1.290182322321086,0.8250320058737398,22165
A,HELDOUT,2660.617142,2.8266742999727494,1.177913609369741,0.8824101671690768,22166
A,HELDOUT,2660.737132,2.8625965577349084,1.2164231501877598,0.8737410367311056,22167
A,HELDOUT,2660.857150,2.862710158118901,1.1744359213086395,0.9467316281466333,22168
A,HELDOUT,2660.977566,2.906924667970399,1.179433046185548,0.9086687539591678,22169
A,HELDOUT,2661.097465,2.8432659747197673,1.110436284289901,0.8543317890068606,22170
A,HELDOUT,2661.217353,2.8476800004408984,1.2141596973076019,0.9139346570937612,22171
A,HELDOUT,2661.337158,2.929665006723895,1.1766044733752665,1.0902234164674305,22172
A,HELDOUT,2661.457143,2.974417813906779,1.2209587858996511,1.2437268822610223,22173
A,HELDOUT,2661.577159,2.918239676228904,1.0787690190749788,1.284975461392999,22174
A,HELDOUT,2661.697151,2.885663928927021,1.1511926639935173,1.372834400110215,22175
A,HELDOUT,2661.817166,2.9232260300824855,1.1355062244323266,1.4159927134364452,22176
A,HELDOUT,2661.937199,2.8019560515966453,1.156024510339024,1.4487458478271875,22177
A,HELDOUT,2662.057484,2.857206805806264,1.0388686445661537,1.4210565130301573,22178
A,HELDOUT,2662.177403,2.8508276449080285,1.101044424006231,1.4933429122438873,22179
A,HELDOUT,2662.297389,2.8560083222011734,1.0543450232381328,1.4658668215856197,22180
A,HELDOUT,2662.417160,2.841820831471209,1.0794488218546543,1.4801730256251753,22181
A,HELDOUT,2662.537147,2.778181039203596,1.115930546709349,1.5279182596802097,22182
A,HELDOUT,2662.657515,2.8193410115200748,1.1067823958486807,1.4171716163961021,22183
A,HELDOUT,2662.777148,2.8609267227860156,1.1025590006385362,1.5286116533618967,22184
A,HELDOUT,2662.897169,2.967881519574412,1.1078785654083372,1.4232096711455469,22185
A,HELDOUT,2663.017181,2.884258734806395,1.0847195805668994,1.2889668921163995,22186
A,HELDOUT,2663.137487,2.879753222450031,1.1506952966679576,1.2740341661596015,22187
A,HELDOUT,2663.257358,2.9776294785072173,1.1988006476545914,1.2114749553295319,22188
A,HELDOUT,2663.377176,2.847133228157303,1.154467954524088,1.0228589057158863,22189
A,HELDOUT,2663.497363,2.9146865352571387,1.1584412438468932,1.0094844772733342,22190
A,HELDOUT,2663.617181,2.999555961850305,1.0832064947490165,0.814343755049445,22191
A,HELDOUT,2663.737165,2.99849507402718,1.0944376507950708,0.7947615589150144,22192
A,HELDOUT,2663.857184,2.903794378662507,1.1194795324947435,0.7039087744308641,22193
A,HELDOUT,2663.977172,2.850086298793617,1.1364027485420147,0.7472481944159118,22194
A,HELDOUT,2664.097187,2.865912197303598,1.2165100779385867,0.8639107405250845,22195
A,HELDOUT,2664.217529,2.874492556134493,1.2471475244883294,0.8416810813835557,22196
A,HELDOUT,2664.337192,2.869476813165125,1.212654449844883,0.8266999359488079,22197
A,HELDOUT,2664.457180,2.864809469339939,1.16840039707501,0.7971879352421025,22198
A,HELDOUT,2664.577169,2.7885892065882603,1.2688301658300172,0.5285706872405775,22199
A,HELDOUT,2664.697185,2.795675458985578,1.2499844456205211,0.5621011187340346,22200
A,HELDOUT,2664.817168,2.6422178462928017,0.9835683055282597,0.988371201812525,22201
A,HELDOUT,2664.937190,2.6651946666789588,0.9156395746060024,0.846552428226904,22202
A,HELDOUT,2665.057177,2.7294095258066937,0.931818961287521,0.6957642295881684,22203
A,HELDOUT,2665.177192,2.9792973798129982,1.3891327768293542,1.1706208264253406,22204
A,HELDOUT,2665.297525,2.6671333284405683,0.742707356153685,1.0223373088035757,22205
A,HELDOUT,2665.417407,2.6805115488822535,0.6524308457859316,1.119351183158128,22206
A,HELDOUT,2665.537184,2.853687836810405,0.7648481778321674,0.9439427992304067,22207
A,HELDOUT,2665.657200,2.8814970207721924,0.6366384347998765,0.8579993966643435,22208
A,HELDOUT,2665.777185,2.790661680782462,0.5964865716225036,0.9582462066134209,22209
A,HELDOUT,2665.897451,2.81694771787007,0.5405566702861713,0.9538396268205874,22210
A,HELDOUT,2666.017192,2.848777499924202,0.5279209504583119,0.9996873221412066,22211
A,HELDOUT,2666.137214,2.8319531419367343,0.5500021799725601,1.0438674431776986,22212
A,HELDOUT,2666.257200,2.777672078285251,0.49456639968383964,1.4672439001999171,22213
A,HELDOUT,2666.377494,2.706840880689512,0.5073837403763224,1.645941000037198,22214
A,HELDOUT,2666.497451,2.775316070385546,0.49389216299081085,1.1665128966086593,22215
A,HELDOUT,2666.617183,2.88302366108851,0.48349543505690123,0.9857340700349813,22216
A,HELDOUT,2666.737207,2.8991843106172124,0.5042817603891621,0.8556429473255324,22217
A,HELDOUT,2666.857223,2.8912048608182452,0.485027877615067,0.8028053850517514,22218
A,HELDOUT,2666.977257,2.8210814935844377,0.5832569070241628,1.0424978819277189,22219
A,HELDOUT,2667.097199,2.8220821445731374,0.6676203644694986,0.8680782835976496,22220
A,HELDOUT,2667.217220,2.8410403022033597,0.6532304950862258,0.9946028711901608,22221
A,HELDOUT,2667.337234,2.8324953366939103,0.6528556980899868,1.026560887231693,22222
A,HELDOUT,2667.457530,2.7427924171146745,0.667400916245051,0.9676805472084885,22223
A,HELDOUT,2667.577261,2.6986041197675563,0.7744182642858046,1.0013631369446157,22224
A,HELDOUT,2667.697222,2.7340816184951047,0.9350760310698472,1.0209697839087,22225
A,HELDOUT,2667.817213,2.73713645278767,0.877853148325726,0.8712667174977309,22226
A,HELDOUT,2667.937229,2.6772173271747106,0.9165052194229878,0.8312556262047304,22227
A,HELDOUT,2668.057331,2.6665928123014018,0.9335199095040349,0.7935233709140094,22228
A,HELDOUT,2668.177231,2.771279809170666,1.0967292267653677,0.7712579512215835,22229
A,HELDOUT,2668.297259,2.6945312785220805,0.8603303154918165,0.856015796649723,22230
A,HELDOUT,2668.417233,2.6304260046840255,0.8955078607971835,0.8046010750234885,22231
A,HELDOUT,2668.537538,2.530273507079293,0.7372064508054101,0.878716534814038,22232
A,HELDOUT,2668.657437,2.819947374939606,1.1638684198770541,1.1115831548982347,22233
A,HELDOUT,2668.777258,2.6049328813735477,0.8231362584437171,0.8716994865098388,22234
A,HELDOUT,2668.897241,2.6765463137677203,0.9659741587757525,0.9784985374615158,22235
A,HELDOUT,2669.017229,2.725630428557822,1.0215418139879524,0.8067418863984067,22236
A,HELDOUT,2669.137413,2.7471477963980964,1.0951673418488443,0.6583093092353096,22237
A,HELDOUT,2669.257236,2.778763403704315,1.1400044510752865,0.9194959407011851,22238
A,HELDOUT,2669.377222,2.8348966577714636,1.1864549004437344,1.0806247898327184,22239
A,HELDOUT,2669.497236,2.6610366448041884,0.9835689006431049,0.8486104798827429,22240
A,HELDOUT,2669.617566,2.8750552541592382,1.1591506987693068,1.4628207353210656,22241
A,HELDOUT,2669.737239,2.772088057885321,1.0058734752105907,1.672329774287196,22242
A,HELDOUT,2669.857260,2.979543581643184,1.196105183165513,1.4837543422218777,22243
A,HELDOUT,2669.977244,3.072000060380476,1.2694594354128492,1.1210204836995932,22244
A,HELDOUT,2670.097231,3.0621316903508227,1.1682667982452772,1.3443367208450485,22245
A,HELDOUT,2670.217251,3.058202422603495,1.1653308463347578,1.038730842934869,22246
A,HELDOUT,2670.337239,3.1986120265011255,1.0574313888457811,0.7406196514721488,22247
A,HELDOUT,2670.457255,3.392555676876496,1.1943195954937846,1.0931529515512393,22248
A,HELDOUT,2670.577271,3.5561507207175276,1.1366490207598485,1.1007831382563065,22249
A,HELDOUT,2670.697740,3.5172092393420957,1.1051769553518862,0.9141375461051733,22250
