mount,dataset_role,hardware_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,ba_x,ba_y,ba_z,covariance_condition
A,HELDOUT,2658.606214,3.0540560214174683,1.0542057761163224,0.7787391694659402,0.0,0.0,0.0,0.7147112757031386,0.05482545998512921,0.6970480324692333,0.017492905732952514,0.0,0.0,0.0,809999.9999999999
A,HELDOUT,2658.656214,3.053825036850671,1.0532958711322549,0.7786950929900783,-0.009748709744112153,-0.03700649059167833,0.0012141929219706164,0.7147494170742209,0.054788086307592236,0.6970158297259992,0.01733405613785064,0.0,0.0,0.0,809999.9999999999
A,HELDOUT,2658.706214,3.0530982890740463,1.050507077400146,0.7786820508181156,-0.02308871243653899,-0.07388474450376432,0.002459367584936091,0.7147450408291659,0.05488348781764922,0.6970134642196443,0.01730780377791452,0.0,0.0,0.0,809999.9999999999
A,HELDOUT,2658.756214,3.0516172523549487,1.0458048202367636,0.7786462231037845,-0.03905979394568493,-0.11336575453207597,0.002645178245529471,0.7147478698550794,0.054906697041396176,0.697007825043356,0.01734442232999501,0.0,0.0,0.0,809999.9999999999
A,HELDOUT,2658.806214,3.049530480244816,1.0390379198104203,0.7785344179045626,-0.048730284400248416,-0.15612189769844018,0.003058683717960765,0.7147654155650948,0.05486887924771743,0.6969933004216567,0.017324721339260857,0.0,0.0,0.0,809999.9999999999
A,HELDOUT,2658.856214,3.0470576183056663,1.030137883514304,0.7783574398767428,-0.058002108629006795,-0.19723609121431124,0.003192881035486866,0.7147604422198338,0.054879240527878306,0.6969976454283765,0.0173222823002655,0.0,0.0,0.0,809999.9999999999
A,HELDOUT,2658.906214,3.0439637184784103,1.019198473660034,0.778125574948921,-0.07405958681948396,-0.2378385476929489,0.004826190741052282,0.7147541123836305,0.05482326607819132,0.6970078169238466,0.017351411304620614,0.0,0.0,0.0,809999.9999999999
A,HELDOUT,2658.956214,3.0401997834123584,1.00631815266029,0.7779010394763834,-0.08531613125777009,-0.2740405094310147,0.005767075038625853,0.7146911895913668,0.05479475551693933,0.6970713790282902,0.017479440148750046,0.0,0.0,0.0,809999.9999999999
A,HELDOUT,2659.006214,3.0359670001185104,0.9916936677943741,0.777683231792776,-0.09507546274846536,-0.30743184091668,0.007015036234870851,0.7146428122945376,0.05487865763834412,0.6971094426569886,0.017675087836572997,0.0,0.0,0.0,809999.9999999999
A,HELDOUT,2659.056214,3.0312677036340574,0.9752637875908081,0.7774172869870646,-0.10616288814403924,-0.347736340247256,0.00694510122400991,0.7146230372962955,0.05499409854958996,0.6971207227931369,0.01767092364620232,0.0,0.0,0.0,809999.9999999999
