id,sensor_name,comparison_class,best_config,seed_count,p50_mm,p95_mm,p95_seed_sd_mm,rmse_mm,thickness_p95_mm,p95_improvement_vs_b0_mm,rank,matched_p4_uwb_p95_mm
L0,Perfect Vicon IMU,synthetic_imu,A0/U4/P4/L0/I5/T2,5,64.996069,99.053441,0.000000,70.205784,96.920159,132.748697,1,138.886236
L1,Perfect sampled IMU,synthetic_imu,A0/U4/P4/L1/I5/T2,5,66.686429,108.169379,3.506614,72.711880,102.525144,123.632759,2,138.886236
L20,Xsens MTi-3,synthetic_imu,A0/U4/P4/L20/I5/T2,5,68.415278,112.119476,2.070139,75.673469,105.130362,119.682662,3,138.886236
L16,ICM-45686,synthetic_imu,A0/U4/P4/L16/I5/T2,5,68.972087,114.940373,4.693714,76.088451,107.824903,116.861765,4,138.886236
L19,LSM6DSV16X,synthetic_imu,A0/U4/P4/L19/I6/T2,5,72.286174,118.840250,6.069748,79.346588,112.188863,112.961888,5,138.886236
L15,ICM-42688-P,synthetic_imu,A0/U4/P4/L15/I5/T2,5,71.547880,120.941342,7.595648,78.435049,113.598740,110.860796,6,138.886236
L5,BMI270/LSM6DSO-like,synthetic_imu,A0/U4/P4/L5/I5/T2,5,70.234994,121.139375,4.460943,78.376048,111.573940,110.662763,7,138.886236
L14,ICM-42670-P,synthetic_imu,A0/U4/P4/L14/I6/T2,5,75.400093,127.107580,3.515995,83.459647,118.384179,104.694558,8,138.886236
L13,ICM-42605,synthetic_imu,A0/U4/P4/L13/I5/T2,5,74.524921,127.161826,4.460813,82.313105,114.087375,104.640312,9,138.886236
L18,BMI088,synthetic_imu,A0/U4/P4/L18/I6/T2,5,76.215373,127.851325,5.206402,84.532598,124.577223,103.950813,10,138.886236
L12,ICM-20602,synthetic_imu,A0/U4/P4/L12/I5/T4,5,76.173534,129.392864,1.600980,85.179496,107.949289,102.409274,11,138.886236
L2,MPU6050-like,synthetic_imu,A0/U4/P4/L2/I5/T4,5,75.030663,129.480724,2.146039,83.402438,112.424517,102.321414,12,138.886236
L3,MPU9250/ICM20948-like,synthetic_imu,A0/U4/P4/L3/I5/T4,5,75.469285,129.997020,2.268850,84.168649,112.890757,101.805118,13,138.886236
L17,BMI270,synthetic_imu,A0/U4/P4/L17/I5/T4,5,75.256845,130.201731,5.809504,82.064812,107.674256,101.600407,14,138.886236
L11,ICM-20948,synthetic_imu,A0/U4/P4/L11/I5/T4,5,77.058236,132.597356,0.928580,85.723743,115.767815,99.204782,15,138.886236
L4,LIS2DH12 accel proxy,synthetic_imu,A0/U4/P4/L4/I1/T4,5,76.896586,133.564839,5.239968,84.659359,116.926151,98.237299,16,138.886236
L10,MPU-6050,synthetic_imu,A0/U4/P4/L10/I7/T4,5,76.741984,135.069239,3.928012,85.398013,116.565527,96.732899,17,138.886236
L8,Mis-mounted IMU,synthetic_imu,A0/U4/P4/L8/I6/T5,5,76.928316,135.490767,0.859202,85.388321,116.569468,96.311371,18,138.886236
L7,Poor low-cost clone,synthetic_imu,A0/U4/P4/L7/I0/T2,5,78.575697,135.645487,1.916899,87.627714,118.767895,96.156651,19,138.886236
B0,Pure UWB control,uwb_only_control,A0/U4/P0/no-IMU/T1,5,105.837847,231.802138,0.000000,132.829738,173.570572,0.000000,20,138.886236
