peer,anchor,N,mean_residual_mm,median_residual_mm,mad_sigma_mm,rms_residual_mm,p10_mm,p90_mm,median_quality
ALL,A,5396,-38.62604838508222,-23.112678929097683,49.86287759212506,105.51861801825828,-147.61482655360646,44.79664830346633,100.0
ALL,B,5370,-28.24802114523665,-13.930566806528304,52.81784334787992,141.2292188417293,-121.87584885833792,52.45405841514514,100.0
ALL,C,5382,-33.65938009002073,-14.02876453564545,58.85172216465076,122.38842457344774,-168.5487857069844,54.745523531524455,100.0
ALL,D,5380,-42.00573121491951,-23.514616404181197,47.12903528918852,109.87683524281485,-164.54473379270365,39.14266064938743,100.0
ALL,E,5382,-32.92448953069312,-16.34437349902032,55.84264060979524,109.72655419355885,-147.56873912771977,52.94980711795253,100.0
ALL,F,5372,-68.33499990679836,-41.71423334677411,70.08287968241089,134.53842161977803,-204.08669483756046,32.52269829412366,100.0
ALL,G,5372,-65.76110402504615,-36.802866932966026,67.1907223460557,136.95357138307511,-202.36829763090662,32.57941294277341,100.0
ALL,H,3494,-65.10613864709131,-38.623141857461405,71.71274468909783,133.37330938998426,-206.11319111452974,35.89057546048757,84.0
BSCCF4,A,1799,-29.847884548395534,-17.91754634707604,42.284178180470185,92.95507289972684,-115.78752573079336,39.799089962080416,100.0
BSCCF4,B,1793,-15.581780370991808,-2.9383603392393525,52.144377501117134,142.36518239115446,-90.9088451738342,58.77992657580753,100.0
BSCCF4,C,1796,-24.680200362892123,-10.101578623964542,49.65827931980923,118.74297150090992,-137.5528679156498,56.75090297630845,100.0
BSCCF4,D,1792,-34.58886740560511,-19.23521278599992,47.72750791951371,98.59004663775399,-148.6700328708611,40.39069836115557,100.0
BSCCF4,E,1793,-43.43208025674443,-21.902433498078608,58.18747182934529,112.15162538445507,-163.9872617247971,43.7610820614921,100.0
BSCCF4,F,1787,-79.39314038269495,-44.47406547532455,73.86845041546701,144.54720197789618,-228.17594889525253,25.843902461704175,100.0
BSCCF4,G,1794,-80.76482044836908,-47.61216827382168,89.60694955081468,153.04521279267635,-233.3774790717362,38.4835982307876,100.0
BSCCF4,H,1230,-61.410503868138214,-31.44985768955371,65.2228258931758,128.46228531171445,-206.58966127220188,33.96008923523073,75.0
BS9336,A,1798,-49.23640168940266,-32.17363551068257,54.3677047870231,108.59425205955428,-162.88084242859586,35.3894535273543,100.0
BS9336,B,1789,-44.6535364573899,-24.746417985754306,53.19433212875573,170.14763499715806,-149.20565207730877,42.342793348216965,100.0
BS9336,C,1793,-49.59696334198597,-25.342976166906737,70.45447567786977,125.1708764762635,-187.56540567952342,47.61645432497698,100.0
BS9336,D,1794,-42.070578485760244,-24.32376907988055,48.858688044261655,107.3309733571284,-161.92858634674593,41.00391789903406,100.0
BS9336,E,1795,-29.232291577144746,-13.584343936079676,48.14788718119788,99.37346516691319,-127.0105422080167,45.9672089952993,100.0
BS9336,F,1795,-57.70987549257375,-38.66712876754036,62.37752040204236,121.93887485212997,-176.714300317975,36.256409349516,100.0
BS9336,G,1786,-52.81407385323053,-30.306485974982934,50.49440523461505,116.4288160111177,-166.35530633139922,25.67884996152611,100.0
BS9336,H,1642,-64.63421672268643,-40.90448622783106,77.06520899150364,134.51917608043053,-200.1051609327752,40.57906753933446,95.0
BS955A,A,1799,-36.79975683479384,-20.631700757278395,58.345687491339966,113.88391081368295,-158.14294263860384,54.26926219509952,100.0
BS955A,B,1788,-24.534991399587216,-13.989780034576597,51.92159439232495,103.01978911103008,-115.08381276553641,52.220741328789735,100.0
BS955A,C,1793,-26.716000290327095,-7.777741240344767,61.331820410504655,123.16902445422166,-161.87982824248346,58.065497510172186,100.0
BS955A,D,1794,-49.34947923186662,-27.210901512043165,45.16448212704234,122.37727946834555,-184.8100056307726,37.117445276496,100.0
BS955A,E,1794,-26.11701191352999,-14.718081898305854,63.07881942611269,116.91100916499488,-150.82480007796698,95.7841032423505,100.0
BS955A,F,1790,-67.95019615993017,-42.105891437641276,72.38139118435163,136.2075105325267,-211.10643252308506,34.02779977025608,100.0
BS955A,G,1792,-63.644323122937585,-35.110606068357356,63.669884510841925,138.80819433714507,-195.17091865813137,33.79850628609266,100.0
BS955A,H,622,-73.66003989787121,-43.941633965158985,65.5330863576262,139.71721419495944,-216.44046713067974,28.902718490480353,40.0
