solver,criterion,points_total,points_usable,usable_percent,median_abs_residual_mm,p90_abs_residual_mm,usable_60mm_percent
V3,used_anchors>=7 and median_abs_residual<=40mm,5400,2448,45.333333333333336,,,
V3,used_anchors>=7 and median_abs_residual<=60mm,5400,4610,85.37037037037037,,,
V3,used_anchors>=7 and median_abs_residual<=80mm,5400,5063,93.75925925925925,,,
V3,used_anchors>=7 and median_abs_residual<=120mm,5400,5317,98.46296296296296,,,
V3,peer=BS9336,1800,,,41.71384091824302,68.11510700931487,84.83333333333333
V3,peer=BS955A,1800,,,42.940173477425446,64.29476937818835,86.72222222222223
V3,peer=BSCCF4,1800,,,40.34620667897502,69.8973882891453,84.55555555555556
