peer_name,sweep,x_mm,y_mm,z_mm,used_anchors,median_abs_residual_mm,p80_abs_residual_mm,rms_residual_mm,median_quality_percent
BSCCF4,10712,1521.0396964199006,2318.9717611268916,1676.3602344262622,8,34.6437832387619,63.723243661009846,52.46112915248178,100.0
BSCCF4,10713,1582.1792772206636,2311.0206462091883,1627.3299030814333,8,43.2296299595439,62.26434126554823,62.00649107645348,100.0
BSCCF4,10714,1516.7073011041105,2315.7910557891964,1704.4860599120211,7,28.74078621924309,47.66537983273065,37.19662318494394,100.0
BSCCF4,10715,1541.46501333721,2290.913228657192,1678.453989797909,8,24.509772807419722,55.031616991231765,46.3812989930954,100.0
BSCCF4,10716,1499.4039814654675,2309.4884427165885,1677.2130694827324,8,47.70006440485099,64.31857594868843,51.27188281265998,100.0
BSCCF4,10717,1517.3257613505234,2297.4536084776746,1688.1261014822776,7,54.50716006605808,63.43259083504718,51.19359872409546,100.0
BSCCF4,10718,1506.6649399070177,2340.1248115106573,1672.3984258886294,8,34.97563483914382,59.92867141104135,44.77551559401772,100.0
BSCCF4,10719,1539.1214106354269,2331.007623198902,1623.9873874203813,7,35.44589783719084,53.503858331276945,52.33155871580987,100.0
BSCCF4,10720,1530.907105197314,2341.606413883658,1648.9600718272945,8,45.03139996307027,55.79683715668953,48.69668191933164,100.0
BSCCF4,10721,1523.534059467955,2307.7244631124076,1667.9273585748988,8,27.020072350439477,55.02713326321218,37.39266858815965,100.0
BSCCF4,10722,1539.5018399715182,2313.4894289265603,1703.4371913777686,7,41.88713779253521,59.100116909786735,56.632731200543546,100.0
BSCCF4,10723,1521.812309177636,2308.192083289965,1728.6730534284661,8,34.43632057981222,41.079791964580366,33.23067742674358,100.0
BSCCF4,10724,1568.5632184673505,2325.923225961595,1677.7427125478648,8,21.543086216944175,34.80914242347126,25.93613871299206,100.0
BSCCF4,10725,1538.7559148121657,2299.7818432642025,1716.7033989448064,7,44.299701678718066,59.622129495895756,47.50731938078732,100.0
BSCCF4,10726,1509.5895315727391,2305.127296506616,1667.4423063870286,8,30.349813643810194,59.357899792395166,40.54785942458772,100.0
BSCCF4,10727,1539.5450558796722,2311.2108711459196,1623.835928741552,8,24.032064490200355,61.6097400074541,52.625174165276036,100.0
BSCCF4,10728,1518.089263856735,2320.0337072261227,1635.1555724750779,7,28.614398750764394,59.09291026974079,42.67043152372195,100.0
BSCCF4,10729,1545.5012936252142,2308.9909437435354,1676.6662478993321,7,31.980416926786802,94.12404621172931,62.05699031135103,100.0
BSCCF4,10730,1508.5685142632178,2311.2461639896264,1659.3258932594285,8,33.552731381149215,49.09753424941137,49.62819542040821,100.0
BSCCF4,10731,1528.3916561099609,2322.1797039611756,1647.782429523686,8,48.77674801187618,66.47257518830466,143.99599534565309,100.0
BSCCF4,10732,1551.8462932074094,2308.68888594618,1612.4414439473735,8,44.415712039769915,86.33047494773328,59.543637428494726,100.0
BSCCF4,10733,1554.9893801022515,2320.1410836770656,1652.7405831151887,8,30.059426683376614,50.16263517646248,45.08592495047432,100.0
BSCCF4,10734,1540.6650627742104,2334.8157671219174,1647.855828056499,8,29.08073010425187,42.5208658940077,33.59350467465236,100.0
BSCCF4,10735,1538.301103665633,2319.0190381889715,1633.5168841496875,8,43.625873345425134,81.0544001604796,77.80608299557997,100.0
