metric,mean,std,p05,p95
sim3_scale,1.0097822709713298,0.0,1.0097822709713298,1.0097822709713298
dtag,49.077866055297854,1.3887552224119062,46.655967712402344,51.249200439453126
v4_median,72.25629306793213,1.9491650123853024,69.43257141113281,75.52326545715331
v5_median,92.95071755523682,3.467314277562377,87.93119087219239,99.02767944335938
vicon_median,89.82944974060058,3.693649617376076,83.85861625671387,96.1962043762207
